gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4400038019,2023-08-19T15:50:31,2023,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/179211794,POINT (-71.403295 45.762442),21E,-71.4058275854024,45.761936635568,"-226130,23+200885,99",P,,,,R,2,30,B,1A,30.0,R,75.0,17,30,"{'RZ': 0.9, 'FT': 0.1}",0.0025825146717129276,2,0.3250829733914482,[4.3625],[10.258333],[24.95945],[1105.2831],[24.3],[-16.8],[41.1],[17.45],[-3.85],[17.45],[-9.833333],[1163.],[131.],[70.],[17.702202],[358.],[227.],[358.],[252.]
4440936389,2023-10-29T12:55:47,2023,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/190696238,POINT (-71.537924 46.717949),21L,-71.5394759255111,46.7169959407612,"-232076,74+307276,72",,,,,M,3,JIR,A,5A,30.0,MF,85.0,16,JIN,"{'PE': 0.4, 'EO': 0.2, 'BG': 0.1, 'SB': 0.2, 'TO': 0.1}",0.001821206936248735,5,1.4708084763221112,[4.354167],[9.958333],[23.710318],[1142.8721],[24.7],[-17.3],[42.],[16.916666],[-4.2333336],[17.766666],[-10.383333],[1187.],[127.],[67.],[17.737177],[356.],[230.],[352.],[247.]
4006509824,2022-09-02,2022,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/144421807,POINT (-71.311982 46.833643),21L,-71.3134622969858,46.8336640369842,"-214155,06+319293,86",,,,,F,2,VIR,B,5A,31.0,F,65.0,21,VIN,"{'PE': 0.5, 'FT': 0.2, 'FH': 0.1, 'FN': 0.1, 'SE': 0.1}",0.0014804464599857386,5,1.3592367006650063,[4.929167],[10.474999],[23.861048],[1194.1724],[26.8],[-17.1],[43.9],[17.933332],[-9.1],[19.233334],[-10.383333],[1261.],[132.],[71.],[17.008015],[378.],[248.],[369.],[258.]
3903565570,2022-08-29T14:38:24,2022,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/133101155,POINT (-71.32135 46.916844),21L,-71.3235645453214,46.9154430349879,"-214655,84+328664,39",,,,,M,2,JIR,D,2BE,20.0,MF,75.0,18,JIN,"{'EO': 0.4, 'PE': 0.2, 'BJ': 0.1, 'SE': 0.2, 'EP': 0.1}",0.0026204797167094077,5,1.4708084763221112,[3.7583332],[10.233334],[23.853924],[1163.6636],[24.8],[-18.1],[42.9],[16.466667],[-4.733333],[17.6],[-11.216666],[1334.],[137.],[80.],[16.411882],[394.],[258.],[385.],[290.]
2988291465,2012-09-02,2012,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/41356783,POINT (-71.339615 46.832927),21L,-71.3394069794699,46.8330822238902,"-216340,75+319597,57",,,CP,,M,2,JIR,A,5A,30.0,MF,65.0,20,JIN,"{'EO': 0.3, 'PE': 0.2, 'BJ': 0.1, 'FN': 0.1, 'EB': 0.2, 'SB': 0.1}",0.0002595515305892114,6,1.6957425341696346,[4.8416667],[10.400001],[23.85321],[1188.815],[26.5],[-17.1],[43.6],[17.783333],[-9.133333],[19.05],[-10.4],[1250.],[131.],[71.],[17.037874],[375.],[247.],[368.],[258.]
2597693168,2012-09-02,2012,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/41356728,POINT (-71.341052 46.833174),21L,-71.3409354138174,46.8322890912498,"-216269,90+319516,03",,,,,F,2,50,A,5A,30.0,F,75.0,19,50,"{'PE': 0.4, 'EO': 0.3, 'BP': 0.2, 'RX': 0.1}",0.00089255578769967,4,1.2798542258336674,[4.8416667],[10.400001],[23.85321],[1188.815],[26.5],[-17.1],[43.6],[17.783333],[-9.133333],[19.05],[-10.4],[1250.],[131.],[71.],[17.037874],[375.],[247.],[368.],[258.]
1135071283,2007-08-30,2007,Québec,Guepinia helvelloides,CMMF009905,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1135070227,2006-07-29,2006,Québec,Guepinia helvelloides,CMMF008826,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
4021970346,2017-09-08,2017,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/41296682,POINT (-71.39929 47.007789),21M,-71.3996584438697,47.0069929906019,"-220023,91+339042,58",,,CP,,F,1,VIN,D,1A,30.0,F,65.0,22,VIN,"{'ES': 0.8, 'BJ': 0.1, 'HG': 0.1}",0.0008771441426513625,3,0.639031859650177,[3.2791667],[9.991667],[23.84646],[1134.7035],[23.5],[-18.4],[41.9],[15.683333],[-5.],[16.616667],[-11.416667],[1371.],[141.],[82.],[15.706165],[401.],[271.],[393.],[295.]
3923369587,2022-08-23T12:39:45,2022,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/132196030,POINT (-70.366387 47.462742),21M,-70.3678173690282,47.4630745697993,"-140434,12+387008,21",,,,,M,2,VIR,F,2BD,20.0,MF,75.0,20,VIN,"{'PE': 0.3, 'BP': 0.2, 'BJ': 0.1, 'ES': 0.1, 'PB': 0.2, 'SE': 0.1}",0.0014685224643297271,6,1.6957425341696346,[3.4541667],[9.308333],[23.387772],[1080.5438],[22.7],[-17.1],[39.800003],[13.616667],[-10.383333],[16.25],[-10.383333],[937.],[95.],[58.],[15.216516],[277.],[187.],[271.],[187.]
2597884998,2017-09-08,2017,Québec,Guepinia helvelloides,https://www.inaturalist.org/observations/41296785,POINT (-71.399459 47.008767),21M,-71.4010282996163,47.0089949019674,"-220126,14+339266,42",,,CP,,F,1,VIN,E,1AY,20.0,F,65.0,22,VIN,"{'ES': 0.8, 'BJ': 0.1, 'HG': 0.1}",0.0015857618334684167,3,0.639031859650177,[2.8333333],[10.1],[23.93365],[1141.021],[23.2],[-19.],[42.2],[15.3],[-5.4666667],[16.316668],[-11.9],[1433.],[145.],[90.],[14.267656],[414.],[288.],[405.],[319.]
