gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617554802	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000524	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus (Peck) Hesler	(Peck) Hesler	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1989-06-26	26	6	1989	3342895	3342895	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000524		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.046Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548492	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001425	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus (Peck) Hesler	(Peck) Hesler	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1991-08-20	20	8	1991	3342895	3342895	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001425		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Johansson, John			2024-01-24T16:38:17.557Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5007099524	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252683613	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.037455	-74.071997	1953.0						2024-09-17T12:04	17	9	2024	3342895	3342895	HUMAN_OBSERVATION	iNaturalist	Observations	252683613		Annabelle Langlois	2024-11-23T05:42:37	CC_BY_NC_4_0	Annabelle Langlois	Annabelle Langlois			2025-01-14T13:45:11.452Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4987608894	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252689110	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.037455	-74.071997	1953.0						2024-10-15T12:09	15	10	2024	3342895	3342895	HUMAN_OBSERVATION	iNaturalist	Observations	252689110		Annabelle Langlois	2024-11-23T07:15:48	CC_BY_NC_4_0	Annabelle Langlois	Annabelle Langlois			2025-01-14T13:39:58.765Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4978409015	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/249696542	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.439922	-73.603155	10.0						2024-09-27T13:04:30	27	9	2024	3342895	3342895	HUMAN_OBSERVATION	iNaturalist	Observations	249696542		Chantal Gauthier	2024-10-29T23:54:25	CC_BY_NC_4_0	Chantal Gauthier	Chantal Gauthier			2025-01-14T12:55:40.797Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952831893	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246255825	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.440888	-73.604463	203.0						2024-10-07T21:27:11	7	10	2024	3342895	3342895	HUMAN_OBSERVATION	iNaturalist	Observations	246255825		gr3yhound	2024-10-08T01:29:07	CC_BY_NC_4_0	gr3yhound	gr3yhound			2025-01-14T12:52:45.844Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952184428	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244206941	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.358432	-72.23072	399.0						2024-09-23T14:52:07	23	9	2024	3342895	3342895	HUMAN_OBSERVATION	iNaturalist	Observations	244206941		ratonvoleur	2024-09-26T21:58:14	CC_BY_NC_4_0	ratonvoleur	ratonvoleur			2025-01-14T12:52:22.330Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936398356	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/238499372	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.854807	-71.294763	26935.0						2024-08-28T18:25:24	28	8	2024	3342895	3342895	HUMAN_OBSERVATION	iNaturalist	Observations	238499372		Keith Wauthy	2024-08-28T22:42:48	CC_BY_NC_4_0	Keith Wauthy	Keith Wauthy			2025-01-14T12:50:18.870Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901142458	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/224189180	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.481564	-73.619637							2024-06-21T09:46	21	6	2024	3342895	3342895	HUMAN_OBSERVATION	iNaturalist	Observations	224189180		karolanegb	2024-06-21T14:30:49	CC_BY_NC_4_0	karolanegb	karolanegb			2025-01-14T12:54:10.159Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4852348562	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/189810862	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Gymnopilus	Gymnopilus luteus		SPECIES	Gymnopilus luteus (Peck) Hesler	Gymnopilus luteus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.872811	-76.4339	501.0						2023-08-18T14:58	18	8	2023	3342895	3342895	HUMAN_OBSERVATION	iNaturalist	Observations	189810862		L Joan Heyding	2023-11-03T12:26:12	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:44:58.588Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
