gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1412706791,1995-09-03,1995,Québec,Hapalopilus rutilans,CMMF015238,POINT (-71.167805 45.826543),21E,-71.1695339121753,45.8279818797392,"-207453,96+207502,65",,,,,F,2,JIN,C,1AY,20.0,F,85.0,18,JIN,"{'EO': 0.5, 'BP': 0.2, 'ES': 0.1, 'PE': 0.1, 'RX': 0.1}",0.002249335949509698,5,1.3592367006650063,[4.025],[10.066667],[24.733824],[1098.7897],[23.7],[-17.],[40.7],[17.066668],[-4.133333],[17.066668],[-10.083333],[1132.],[133.],[69.],[19.358932],[357.],[221.],[357.],[241.]
1412708253,1988-09,1988,Québec,Hapalopilus rutilans,CMMF016678,POINT (-70.556636 46.980077),21L,-70.5577072039646,46.9865378015301,"-156126,60+334544,84",,,,,F,3,30,A,5A,40.0,F,35.0,13,30,"{'EO': 0.3, 'FN': 0.3, 'BJ': 0.2, 'FH': 0.1, 'FX': 0.1}",0.006549002545813148,5,1.5047882836811908,[4.4375],[9.708334],[23.33734],[1130.3301],[24.9],[-16.7],[41.6],[17.866667],[-9.1],[17.866667],[-10.],[1107.],[120.],[59.],[21.44833],[345.],[204.],[345.],[210.]
1412708242,1973-12-08,1973,Québec,Hapalopilus rutilans,CMMF016679,POINT (-71.274964 46.781692),21L,-71.2722958302962,46.7796049000976,"-211343,83+313444,00",,,,,F,2,VIR,A,1A,30.0,F,85.0,19,VIN,"{'ES': 0.7, 'FT': 0.2, 'EO': 0.1}",0.003387493995690502,3,0.8018185525433372,[5.070833],[10.391666],[23.56387],[1201.81],[27.2],[-16.9],[44.1],[18.183334],[-8.983334],[19.6],[-10.216666],[1260.],[133.],[71.],[16.673409],[377.],[254.],[372.],[260.]
1412708235,1989-09,1989,Québec,Hapalopilus rutilans,CMMF016677,POINT (-71.159834 46.818327),21L,-71.1589970073641,46.8168093275778,"-202559,53+317244,25",,,,,F,2,JIN,C,1AY,20.0,F,85.0,20,JIN,"{'ES': 0.4, 'EO': 0.2, 'FT': 0.2, 'FI': 0.1, 'FR': 0.1}",0.0017331723092754616,5,1.4708084763221112,[5.0041666],[9.958334],[23.212898],[1167.471],[26.2],[-16.7],[42.9],[17.933334],[-8.733334],[19.066668],[-9.833334],[1242.],[133.],[68.],[18.970552],[376.],[231.],[370.],[250.]
1412708225,1973-09-21,1973,Québec,Hapalopilus rutilans,CMMF016676,POINT (-71.374844 46.780042),21L,-71.3734073678032,46.7799564370761,"-219042,87+313784,68",FR,,,,F,5,10,B,5S,20.0,F,75.0,6,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",0.0014391779191010694,3,0.8979457248567797,[4.6083336],[10.150001],[23.714952],[1167.6838],[25.7],[-17.1],[42.800003],[17.35],[-3.9999998],[18.433334],[-10.416667],[1215.],[128.],[69.],[17.370836],[366.],[238.],[356.],[253.]
1412708192,1985-03-30,1985,Québec,Hapalopilus rutilans,CMMF016715,POINT (-71.470098 46.937798),21L,-71.4726029641384,46.9385541356988,"-225871,88+331680,21",,,,,M,3,JIR,A,2BE,20.0,MR,65.0,15,JIN,"{'ML': 0.2, 'PB': 0.2, 'SB': 0.2, 'EO': 0.3, 'PE': 0.1}",0.002616598274424478,5,1.5571130980576455,[3.4916666],[10.266666],[24.043716],[1157.2534],[24.3],[-18.4],[42.699997],[16.133333],[-5.],[17.183332],[-11.433333],[1343.],[141.],[79.],[17.766272],[401.],[254.],[388.],[288.]
1412708177,1970-09-10,1970,Québec,Hapalopilus rutilans,CMMF016682,POINT (-71.280377 46.791462),21L,-71.2781909855745,46.7908610990714,"-211629,48+314727,67",,,,,F,1,VIR,B,1A,30.0,F,55.0,24,VIN,"{'ES': 0.6, 'EO': 0.2, 'FT': 0.2}",0.002267099687819085,3,0.9502705392332347,[5.1125],[10.375],[23.526077],[1201.3556],[27.2],[-16.9],[44.1],[18.2],[-8.95],[19.616667],[-10.2],[1252.],[133.],[71.],[16.897345],[376.],[253.],[370.],[258.]
1412708158,1976-09-05,1976,Québec,Hapalopilus rutilans,CMMF016681,POINT (-71.246157 46.778722),21L,-71.2465153577813,46.7785238785829,"-209385,33+313248,37",,,,,F,2,VIN,B,5S,20.0,F,45.0,20,VIN,"{'FT': 0.5, 'ES': 0.3, 'PI': 0.1, 'RX': 0.1}",0.00040947819885579935,4,1.1682824501765625,[5.1125],[10.258333],[23.528288],[1188.9474],[26.9],[-16.7],[43.6],[18.15],[-8.833333],[19.466667],[-10.],[1225.],[130.],[69.],[17.861032],[369.],[237.],[363.],[253.]
1412708110,1973-12-08,1973,Québec,Hapalopilus rutilans,CMMF016737,POINT (-71.374844 46.780042),21L,-71.3734073678032,46.7799564370761,"-219042,87+313784,68",FR,,,,F,5,10,B,5S,20.0,F,75.0,6,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",0.0014391779191010694,3,0.8979457248567797,[4.6083336],[10.150001],[23.714952],[1167.6838],[25.7],[-17.1],[42.800003],[17.35],[-3.9999998],[18.433334],[-10.416667],[1215.],[128.],[69.],[17.370836],[366.],[238.],[356.],[253.]
1412708109,1985-09,1985,Québec,Hapalopilus rutilans,CMMF016698,POINT (-70.556636 46.980077),21L,-70.5577072039646,46.9865378015301,"-156126,60+334544,84",,,,,F,3,30,A,5A,40.0,F,35.0,13,30,"{'EO': 0.3, 'FN': 0.3, 'BJ': 0.2, 'FH': 0.1, 'FX': 0.1}",0.006549002545813148,5,1.5047882836811908,[4.4375],[9.708334],[23.33734],[1130.3301],[24.9],[-16.7],[41.6],[17.866667],[-9.1],[17.866667],[-10.],[1107.],[120.],[59.],[21.44833],[345.],[204.],[345.],[210.]
