gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694158685	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	27326	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Boletus subglabripes Peck	Boletus subglabripes Peck	Peck	CA	Ottawa, Central Experimental Farm, Forest belt	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.378618	-75.722408	1632.0						1935-07-21	21	7	1935	7240549	8140114	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC158062	F.5927	Snell. W.H.		CC0_1_0	Royal Ontario Museum	Conners I.L.			2024-01-25T00:59:40.037Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156854	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13306	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Leccinum subglabripes (Peck) Singer	Leccinum subglabripes Peck	Peck	CA	Algonquin Provincial Park, Opeongo Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.698027	-78.369598	8499.0						1958-09-10	10	9	1958	7240512	8140114	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC034018		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:41.011Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617555662	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000091	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Boletus subglabripes Peck	Boletus subglabripes Peck	Peck	CA	Saint-Joseph-du-Lac	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.534465	-74.013251	5000.0						1988-07-23	23	7	1988	7240549	8140114	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000091		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.618Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550767	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002418	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Boletus subglabripes Peck	Boletus subglabripes Peck	Peck	CA	Mt Orford	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.340394	-72.208677	6500.0						1995-07-28	28	7	1995	7240549	8140114	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002418		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.489Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5007910211	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/129689265	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Hemileccinum subglabripes (Peck) Halling	Hemileccinum subglabripes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.97731	-73.170456	11.0						2022-08-06T11:54:47	6	8	2022	8140114	8140114	HUMAN_OBSERVATION	iNaturalist	Observations	129689265		Kevin Boudreau	2022-08-06T16:30:23	CC_BY_NC_4_0	abeillestephanie1974	abeillestephanie1974			2025-01-14T13:24:07.802Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5006890632	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241769620	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Hemileccinum subglabripes (Peck) Halling	Hemileccinum subglabripes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.518433	-74.829467	5.0						2024-09-14T19:11:50	14	9	2024	8140114	8140114	HUMAN_OBSERVATION	iNaturalist	Observations	241769620		Elisabeth Greene	2024-09-15T00:51:03	CC_BY_NC_4_0	Elisabeth Greene	Elisabeth Greene			2025-01-14T13:43:17.917Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994464648	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/254728411	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Hemileccinum subglabripes (Peck) Halling	Hemileccinum subglabripes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.872811	-76.4339	501.0						2024-08-19T12:53	19	8	2024	8140114	8140114	HUMAN_OBSERVATION	iNaturalist	Observations	254728411		L Joan Heyding	2024-12-10T16:18:36	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:55:46.134Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994417935	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/56185201	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Hemileccinum subglabripes (Peck) Halling	Hemileccinum subglabripes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.401305	-74.463773	33185.0						2020-08-10T12:25:59	10	8	2020	8140114	8140114	HUMAN_OBSERVATION	iNaturalist	Observations	56185201		cinna_latifolia	2021-09-12T04:20:13	CC_BY_NC_4_0	skyluna	skyluna			2025-01-14T13:09:26.510Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994360343	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/53487033	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Hemileccinum subglabripes (Peck) Halling	Hemileccinum subglabripes		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.915384	-74.057176	50.0						2020-07-17T15:42:49	17	7	2020	8140114	8140114	HUMAN_OBSERVATION	iNaturalist	Observations	53487033		cinna_latifolia	2022-02-20T02:06:57	CC_BY_NC_4_0	timfoster	timfoster			2025-01-14T13:02:19.211Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994230969	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/254201581	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Hemileccinum	Hemileccinum subglabripes		SPECIES	Hemileccinum subglabripes (Peck) Halling	Hemileccinum subglabripes		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.23039	-76.805632	30.0						2024-08-10T16:12	10	8	2024	8140114	8140114	HUMAN_OBSERVATION	iNaturalist	Observations	254201581		bogend	2024-12-05T13:15:20	CC_BY_NC_4_0	bogend	bogend			2025-01-14T13:44:31.830Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
