gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555704	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000928	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Pholiota albocrenulata (Peck) Sacc.	Pholiota albocrenulata (Peck) Sacc.	(Peck) Sacc.	CA	Saint-Joseph-du-Lac	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.534465	-74.013251	5000.0						1990-06-22	22	6	1990	2529544	2529541	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000928		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:21.634Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551737	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002839	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Pholiota albocrenulata (Peck) Sacc.	Pholiota albocrenulata (Peck) Sacc.	(Peck) Sacc.	CA	Saint-Bruno-de-Montarville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.526599	-73.344507	5500.0						1996-07-24	24	7	1996	2529544	2529541	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002839		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.635Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548489	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001424	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Pholiota albocrenulata (Peck) Sacc.	Pholiota albocrenulata (Peck) Sacc.	(Peck) Sacc.	CA	L'Assomption	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.864396	-73.439575	9000.0						1991-08-20	20	8	1991	2529544	2529541	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001424		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.555Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5006921759	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/255125727	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Hemistropharia albocrenulata (Peck) Jacobsson & E.Larss.	Hemistropharia albocrenulata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.442925	-75.188447	5.0						2021-10-10T12:58:45	10	10	2021	2529541	2529541	HUMAN_OBSERVATION	iNaturalist	Observations	255125727		Lynn Ovenden	2024-12-15T00:23:19	CC_BY_NC_4_0	Lynn Ovenden	Lynn Ovenden			2025-01-14T12:54:33.118Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4982007860	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/59470753	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Hemistropharia albocrenulata (Peck) Jacobsson & E.Larss.	Hemistropharia albocrenulata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.511381	-75.340801	93.0						2020-09-03	3	9	2020	2529541	2529541	HUMAN_OBSERVATION	iNaturalist	Observations	59470753		jonathan_mack	2020-10-10T18:12:25	CC_BY_NC_4_0	kevinwallace	kevinwallace			2025-01-14T12:15:43.186Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4980303725	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/29610328	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Hemistropharia albocrenulata (Peck) Jacobsson & E.Larss.	Hemistropharia albocrenulata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.0189	-76.117711	5.0						2018-09-20T15:29:26	20	9	2018	2529541	2529541	HUMAN_OBSERVATION	iNaturalist	Observations	29610328		mycowalt	2020-03-04T06:24:41	CC_BY_NC_4_0	littlec7	littlec7			2025-01-14T12:08:31.703Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4950605369	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/178625877	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Hemistropharia albocrenulata (Peck) Jacobsson & E.Larss.	Hemistropharia albocrenulata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.883644	-71.104709	143.0						2023-08-15T12:19:51	15	8	2023	2529541	2529541	HUMAN_OBSERVATION	iNaturalist	Observations	178625877		Camille Boucher	2023-08-16T02:00:55	CC_BY_NC_4_0	Camille Boucher	Camille Boucher			2025-01-14T13:28:57.292Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4950580893	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186454419	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Hemistropharia albocrenulata (Peck) Jacobsson & E.Larss.	Hemistropharia albocrenulata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.77553	-71.28827	44.0						2023-10-05T14:07:47	5	10	2023	2529541	2529541	HUMAN_OBSERVATION	iNaturalist	Observations	186454419		Camille Boucher	2023-10-06T20:44:38	CC_BY_NC_4_0	Camille Boucher	Camille Boucher			2025-01-14T13:28:12.255Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946470166	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239657265	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Hemistropharia albocrenulata (Peck) Jacobsson & E.Larss.	Hemistropharia albocrenulata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.542162	-73.151292	5.0						2024-08-26T14:16:16	26	8	2024	2529541	2529541	HUMAN_OBSERVATION	iNaturalist	Observations	239657265		sophiedlf	2024-09-03T18:33:20	CC_BY_NC_4_0	sophiedlf	sophiedlf			2025-01-14T12:50:43.089Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945475456	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240632465	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tubariaceae	Hemistropharia	Hemistropharia albocrenulata		SPECIES	Hemistropharia albocrenulata (Peck) Jacobsson & E.Larss.	Hemistropharia albocrenulata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.103764	-76.341957	361.0						2024-09-08T15:39	8	9	2024	2529541	2529541	HUMAN_OBSERVATION	iNaturalist	Observations	240632465		Igor Khomenko	2024-09-08T21:16:37	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T12:53:00.672Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
