gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4950196682,2024-09-21T11:51:23,2024,Québec,Hericium americanum,https://www.inaturalist.org/observations/243239396,POINT (-71.494356 45.882709),21E,-71.4947167172364,45.8813695492378,"-232579,29+214389,44",,,,,F,1,VIN,C,1A,30.0,F,85.0,22,VIN,{'ES': 1.0},0.0013871716797082883,1,-0.0,[3.7791667],[9.841667],[24.121733],[1113.6559],[23.5],[-17.3],[40.8],[16.9],[-4.5833335],[16.9],[-10.533333],[1257.],[137.],[81.],[16.359488],[382.],[247.],[382.],[287.]
4950028742,2024-09-03T15:02:45,2024,Québec,Hericium americanum,https://www.inaturalist.org/observations/240351507,POINT (-71.921592 45.380133),21E,-71.9210129701979,45.3810199028508,"-268188,05+160327,11",,,,,M,2,50,C,1AY,30.0,MF,85.0,20,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",0.0010591846762847406,5,1.4184836619456564,[5.383333],[10.616667],[25.644123],[1109.2756],[25.5],[-15.9],[41.4],[18.5],[-7.7166667],[18.5],[-8.916667],[1077.],[130.],[52.],[26.338058],[358.],[178.],[358.],[195.]
4414277839,2023-09-16T10:40:35,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/183585446,POINT (-71.904536 45.383009),21E,-71.9045144444585,45.3827245136886,"-266893,10+160453,27",,,,,F,2,JIN,C,1AY,30.0,F,95.0,19,JIN,"{'EO': 0.4, 'FR': 0.2, 'BG': 0.1, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1}",0.00028530177486908313,6,1.6094379124341,[5.4541664],[10.675],[25.785025],[1108.0869],[25.6],[-15.8],[41.4],[18.55],[-7.633333],[18.55],[-8.833333],[1056.],[128.],[50.],[27.17826],[353.],[171.],[353.],[187.]
3903304613,2022-09-09T10:29:12,2022,Québec,Hericium americanum,https://www.inaturalist.org/observations/134298369,POINT (-71.901774 45.390589),21E,-71.8989540347911,45.3866032713643,"-266428,96+160740,39",,,,,F,2,JIR,C,1AM,30.0,F,75.0,17,JIN,"{'EO': 0.3, 'ES': 0.2, 'BG': 0.1, 'BJ': 0.1, 'FT': 0.1, 'PA': 0.1, 'TA': 0.1}",0.004882441657288613,7,1.8343719702816235,[5.679167],[10.841666],[25.9992],[1114.0272],[26.],[-15.7],[41.7],[18.85],[-7.483333],[18.85],[-8.666667],[1043.],[127.],[48.],[28.065313],[354.],[166.],[354.],[180.]
4950041684,2024-09-16T16:20,2024,Québec,Hericium americanum,https://www.inaturalist.org/observations/242162003,POINT (-71.104119 46.882722),21L,-71.1029546144704,46.8828194749004,"-198024,13+324405,45",,,CP,,M,2,VIR,A,5S,30.0,MR,85.0,20,VIN,"{'PU': 0.4, 'EU': 0.2, 'SE': 0.1, 'BJ': 0.2, 'EO': 0.1}",0.0011684583936666965,5,1.4708084763221112,[4.3875],[9.825],[23.504784],[1138.0848],[24.6],[-17.2],[41.800003],[16.933334],[-9.2],[17.833334],[-10.233334],[1229.],[134.],[66.],[21.729609],[379.],[216.],[372.],[240.]
4908631304,2023-10-09T13:27,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/224684047,POINT (-71.201944 46.741667),21L,-71.2033451484636,46.7402189565775,"-206463,44+308849,46",,,,,F,2,JIN,D,1AY,30.0,F,65.0,20,JIN,"{'ES': 0.5, 'FT': 0.2, 'PE': 0.2, 'RX': 0.1}",0.0020149557738303385,4,1.2206072645530173,[4.7458334],[10.158334],[23.734425],[1162.4513],[25.8],[-17.],[42.8],[17.5],[-9.016666],[18.583334],[-10.166667],[1203.],[130.],[67.],[18.664148],[364.],[228.],[361.],[246.]
4596830537,2023-10-02,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/193379469,POINT (-71.215077 46.911888),21L,-71.2133925218677,46.9113287951282,"-206291,20+327889,97",,,,,F,3,30,C,1A,30.0,F,95.0,14,30,"{'EO': 0.3, 'BP': 0.2, 'HG': 0.2, 'ES': 0.1, 'FN': 0.1, 'SB': 0.1}",0.0017748737044666766,6,1.6957425341696346,[3.8875],[10.241667],[23.87335],[1162.8964],[24.9],[-18.],[42.9],[16.6],[-9.783334],[17.75],[-11.05],[1330.],[138.],[79.],[15.944893],[390.],[263.],[386.],[284.]
4535599071,2023-12-02T13:18:21,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/193797816,POINT (-71.32169 46.755591),21L,-71.3205404941924,46.7554216724348,"-215149,43+310859,10",,,,,M,2,VIN,A,5S,20.0,MF,85.0,20,VIN,"{'ES': 0.3, 'EO': 0.2, 'FT': 0.2, 'PB': 0.1, 'RX': 0.1, 'SB': 0.1}",0.0011619102487077486,6,1.6957425341696346,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
4416835105,2023-09-22T17:54:27,2023,Québec,Hericium americanum,https://www.inaturalist.org/observations/184860937,POINT (-71.398843 46.740237),21L,-71.3981104841412,46.7402321978722,"-221114,41+309456,07",,,,,M,2,JIN,B,2A,20.0,MF,85.0,20,JIN,"{'EO': 0.3, 'FT': 0.2, 'PE': 0.2, 'PB': 0.1, 'PU': 0.1, 'SB': 0.1}",0.00073253159919919,6,1.6957425341696346,[4.508333],[9.95],[23.634205],[1148.2651],[25.2],[-16.9],[42.1],[17.15],[-4.116667],[18.1],[-10.216666],[1191.],[126.],[68.],[17.63551],[359.],[229.],[352.],[252.]
4018526668,2022-09-19T18:02,2022,Québec,Hericium americanum,https://www.inaturalist.org/observations/135716379,POINT (-71.322083 46.757563),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,22,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",0.0011999476458200578,4,1.2798542258336674,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
3988719672,2022-09-11,2022,Québec,Hericium americanum,https://www.inaturalist.org/observations/142907716,POINT (-71.233714 46.913181),21L,-71.2332257529369,46.914210028756,"-207877,96+328379,51",,,CP,,F,1,VIN,C,1A,30.0,F,75.0,22,VIN,"{'ES': 0.6, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1}",0.0011389843613087793,4,1.0888999753452235,[3.6708333],[10.325],[23.900463],[1169.4336],[24.9],[-18.3],[43.199997],[16.45],[-4.866667],[17.65],[-11.333333],[1367.],[139.],[84.],[14.170418],[395.],[277.],[391.],[299.]
