gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694157103	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14365	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata		SPECIES	Hygrophorus marginatus Peck	Hygrophorus marginatus Peck	Peck	CA	University of Toronto Forest	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.183005	-78.85025	7575.0						1963-09-11	11	9	1963	2538407	2538406	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC050110		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.616Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617555015	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000619	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata	concolor	VARIETY	Hygrocybe marginata var. concolor (A.H.Sm.) Bessette, A.R.Bessette, Roody & W.E.Sturgeon	Hygrocybe marginata var. concolor (Sm.) Y. Lamoureux comb. prov.	(Sm.) Y. Lamoureux comb. prov.	CA	Saint-Joseph-du-Lac	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.534465	-74.013251	5000.0						1989-08-08	8	8	1989	7798226	2538406	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000619		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Garneau, Yves			2024-01-24T16:38:20.210Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551144	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002585	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata		SPECIES	Hygrocybe marginata (Peck) Murrill	Hygrocybe marginata (Peck) Murrill	(Peck) Murrill	CA	Saint-Majorique	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931221	-72.584529	5000.0						1995-09-11	11	9	1995	8015613	2538406	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002585		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.565Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550301	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002211	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata	olivacea	VARIETY	Hygrocybe marginata var. olivacea (A.H.Sm. & Hesler) Bessette, A.R.Bessette, Roody & W.E.Sturgeon	Hygrocybe marginata var. olivacea (A.H. Sm. & Hesler) A.E. Bessette, A.R. Bessette, W.C. Roody & W.E. Sturgeon	(A.H. Sm. & Hesler) A.E. Bessette, A.R. Bessette, W.C. Roody & W.E. Sturgeon	CA	Mt Orford	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.340394	-72.208677	6500.0						1994-07-27	27	7	1994	7894090	2538406	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002211		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.291Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549194	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001736	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata		SPECIES	Hygrocybe marginata (Peck) Murrill	Hygrocybe marginata (Peck) Murrill	(Peck) Murrill	CA	Mirabel	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.659599	-74.064294	18500.0						1992-08-09	9	8	1992	8015613	2538406	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001736		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.153Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549002	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001654	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata	olivacea	VARIETY	Hygrocybe marginata var. olivacea (A.H.Sm. & Hesler) Bessette, A.R.Bessette, Roody & W.E.Sturgeon	Hygrocybe marginata var. olivacea (A.H. Sm. & Hesler) A.E. Bessette, A.R. Bessette, W.C. Roody & W.E. Sturgeon	(A.H. Sm. & Hesler) A.E. Bessette, A.R. Bessette, W.C. Roody & W.E. Sturgeon	CA	Sainte-Ursule	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.288837	-73.033517	3000.0						1992-07-12	12	7	1992	7894090	2538406	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001654		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Brochu, Marguerite			2024-01-24T16:38:17.702Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548657	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000150	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata		SPECIES	Hygrocybe marginata (Peck) Murrill	Hygrocybe marginata (Peck) Murrill	(Peck) Murrill	CA	Sainte-Marguerite-Station	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.990446	-74.119788	3000.0						1988-08-08	8	8	1988	8015613	2538406	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000150		Sicard, Matthieu		CC0_1_0	Université de Montréal Biodiversity Centre	Sicard, Matthieu			2024-01-24T16:38:20.547Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4994516632	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/55939325	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata		SPECIES	Humidicutis marginata (Peck) Singer	Humidicutis marginata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.066311	-74.356089	4.0						2020-08-09T13:39:57	9	8	2020	2538406	2538406	HUMAN_OBSERVATION	iNaturalist	Observations	55939325		cinna_latifolia	2021-02-22T00:30:16	CC_BY_NC_4_0	pannecotta	pannecotta			2025-01-14T12:14:13.302Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994143429	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241922319	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata		SPECIES	Humidicutis marginata (Peck) Singer	Humidicutis marginata		CA		Nova Scotia	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.321175	-64.466803	15.0						2024-08-22T16:11	22	8	2024	2538406	2538406	HUMAN_OBSERVATION	iNaturalist	Observations	241922319		Alexis Tinker-Tsavalas	2024-09-15T18:05:12	CC_BY_4_0	Alexis Tinker-Tsavalas	Alexis Tinker-Tsavalas			2025-01-14T13:44:10.337Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4993769120	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/57976797	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hygrophoraceae	Humidicutis	Humidicutis marginata		SPECIES	Humidicutis marginata (Peck) Singer	Humidicutis marginata		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.781023	-75.853775	13742.0						2020-08-27T15:14:44	27	8	2020	2538406	2538406	HUMAN_OBSERVATION	iNaturalist	Observations	57976797		cinna_latifolia	2021-01-04T20:16:57	CC_BY_NC_4_0	allseeds	allseeds			2025-01-14T12:14:43.406Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
