gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555130	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000670	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum (Hornem.) P. Karst.	(Hornem.) P. Karst.	CA	Saint-Herménégilde	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.105574	-71.672847	3000.0						1989-08-23	23	8	1989	2522245	2522245	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000670		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.120Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617555066	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000643	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum (Hornem.) P. Karst.	(Hornem.) P. Karst.	CA	Mirabel	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.659599	-74.064294	18500.0						1989-08-20	20	8	1989	2522245	2522245	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000643		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Farnesi, Carlo			2024-01-24T16:38:20.118Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554059	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003880	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum (Hornem.) P. Karst.	(Hornem.) P. Karst.	CA	Saint-Côme	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.269761	-73.774867	15000.0						2004-08-26	26	8	2004	2522245	2522245	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003880		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.536Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4980486399	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/55145431	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.287363	-78.935189							2020-07-30T07:48:34	30	7	2020	2522245	2522245	HUMAN_OBSERVATION	iNaturalist	Observations	55145431		mfmclean1261	2020-08-27T14:06:07	CC_BY_NC_4_0	kstronks	kstronks			2025-01-14T12:14:04.673Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4953085528	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246049791	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.570061	-78.680048	94.0						2024-09-26T10:13	26	9	2024	2522245	2522245	HUMAN_OBSERVATION	iNaturalist	Observations	246049791		William Van Hemessen	2024-10-07T00:57:26	CC_BY_NC_4_0	jeanh	jeanh			2025-01-14T13:38:08.737Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952688315	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244991590	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.582051	-78.514014	124.0						2024-09-28T16:47	28	9	2024	2522245	2522245	HUMAN_OBSERVATION	iNaturalist	Observations	244991590		jonathan_mack	2024-10-01T00:00:02	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T13:43:48.660Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4949913988	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/243125488	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.259975	-77.200222							2024-09-21T12:26:14	21	9	2024	2522245	2522245	HUMAN_OBSERVATION	iNaturalist	Observations	243125488		Lee Cumming	2024-09-21T16:45:28	CC_BY_NC_4_0	Lee Cumming	Lee Cumming			2025-01-14T12:51:17.882Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946618170	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239699319	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.588597	-71.670597	31.0						2024-09-01T13:55	1	9	2024	2522245	2522245	HUMAN_OBSERVATION	iNaturalist	Observations	239699319		jonathan_mack	2024-09-03T22:44:07	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T13:43:10.652Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945969468	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239909637	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.599884	-76.096561							2024-08-27T13:38	27	8	2024	2522245	2522245	HUMAN_OBSERVATION	iNaturalist	Observations	239909637		Peter Meisenheimer	2024-09-05T03:35:15	CC_BY_NC_4_0	Peter Meisenheimer	Peter Meisenheimer			2025-01-14T13:43:12.655Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4921432431	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/232811535	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Bankeraceae	Hydnellum	Hydnellum caeruleum		SPECIES	Hydnellum caeruleum (Hornem.) P.Karst.	Hydnellum caeruleum		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.482813	-71.206222	11.0						2024-07-30T08:13:10	30	7	2024	2522245	2522245	HUMAN_OBSERVATION	iNaturalist	Observations	232811535		germain_savard	2024-07-31T01:07:06	CC_BY_NC_4_0	germain_savard	germain_savard			2025-01-14T12:48:27.320Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
