gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4453679079,2023-09-23T12:03,2023,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/186580776,POINT (-71.211 45.4796),21E,-71.2128070296205,45.4808761169263,"-212291,96+168936,05",,,,,F,2,VIN,B,1A,31.0,F,75.0,19,VIN,"{'BJ': 0.3, 'ES': 0.3, 'EO': 0.1, 'FX': 0.1, 'RX': 0.1, 'SB': 0.1}",0.002212200365920751,6,1.6434177197931796,[3.7291667],[10.491667],[25.969471],[1078.2698],[23.2],[-17.2],[40.4],[16.45],[-4.166667],[16.45],[-10.150001],[1300.],[140.],[82.],[14.949485],[383.],[264.],[383.],[288.]
2988457420,2019-08-24T10:37,2019,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/38805027,POINT (-71.1695 45.8215),21E,-71.1691945990486,45.8221141048857,"-207453,29+206848,77",,,,,M,2,JIN,B,1A,40.0,MF,85.0,18,JIN,"{'EO': 0.3, 'BP': 0.2, 'PE': 0.1, 'SB': 0.3, 'EU': 0.1}",0.0006858531561187534,5,1.5047882836811908,[4.133333],[10.133333],[24.836601],[1097.7277],[23.9],[-16.9],[40.8],[17.15],[-4.016667],[17.15],[-9.966667],[1121.],[131.],[68.],[19.615238],[355.],[217.],[355.],[238.]
4919567676,2024-07-24T22:55:50,2024,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/231544323,POINT (-71.228576 46.666496),21L,-71.227028049482,46.6657428395495,"-208363,45+300675,16",,,,,R,1,50,A,5S,30.0,R,75.0,23,50,"{'ML': 0.7, 'RX': 0.1, 'EO': 0.2}",0.0017214533018302368,3,0.8018185525433373,[4.233333],[10.033334],[23.775671],[1145.9362],[24.7],[-17.5],[42.2],[17.766666],[-4.3166666],[17.766666],[-10.516666],[1193.],[130.],[68.],[18.1674],[362.],[228.],[362.],[252.]
4600134583,2023-07-29,2023,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/203501153,POINT (-71.338657 46.792737),21L,-71.3389256996817,46.7917289800549,"-216371,23+314984,66",,,,,M,3,JIR,A,5A,40.0,MR,65.0,16,70,"{'SB': 0.5, 'ML': 0.2, 'EO': 0.2, 'BG': 0.1}",0.0010432179679586125,4,1.2206072645530173,[4.9875],[10.308333],[23.697319],[1185.1086],[26.6],[-16.9],[43.5],[17.9],[-8.983334],[19.133333],[-10.216666],[1233.],[130.],[69.],[16.961092],[370.],[246.],[362.],[251.]
4600091578,2023-07-29,2023,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/203501688,POINT (-71.338391 46.791692),21L,-71.3389256996817,46.7917289800549,"-216371,23+314984,66",,,,,M,3,JIR,A,5A,40.0,MR,65.0,16,70,"{'SB': 0.5, 'ML': 0.2, 'EO': 0.2, 'BG': 0.1}",0.0005359769342649819,4,1.2206072645530173,[4.9875],[10.308333],[23.697319],[1185.1086],[26.6],[-16.9],[43.5],[17.9],[-8.983334],[19.133333],[-10.216666],[1233.],[130.],[69.],[16.961092],[370.],[246.],[362.],[251.]
4535732650,2023-08-06,2023,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/201116857,POINT (-71.238467 46.916345),21L,-71.237950637423,46.9175805222307,"-208121,73+328557,01",,,,,M,3,JIN,B,1A,30.0,MR,75.0,16,JIN,"{'SB': 0.3, 'EP': 0.2, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1, 'PE': 0.1}",0.0013390838261603995,6,1.6957425341696346,[3.6708333],[10.325],[23.900463],[1169.4336],[24.9],[-18.3],[43.199997],[16.45],[-4.866667],[17.65],[-11.333333],[1367.],[139.],[84.],[14.170418],[395.],[277.],[391.],[299.]
4525203267,2023-08-15,2023,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/199792891,POINT (-71.338796 46.792405),21L,-71.3389256996817,46.7917289800549,"-216371,23+314984,66",,,,,M,3,JIR,A,5A,40.0,MR,65.0,16,70,"{'SB': 0.5, 'ML': 0.2, 'EO': 0.2, 'BG': 0.1}",0.000688349456024582,4,1.2206072645530173,[4.9875],[10.308333],[23.697319],[1185.1086],[26.6],[-16.9],[43.5],[17.9],[-8.983334],[19.133333],[-10.216666],[1233.],[130.],[69.],[16.961092],[370.],[246.],[362.],[251.]
4416951357,2022-08-19T15:58:41,2022,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/131495916,POINT (-70.707687 46.11026),21L,-70.7078313236462,46.1106049994803,"-170642,29+237692,73",,,,,R,1,7070,B,1AY,30.0,R,35.0,26,70,{'PB': 1.0},0.00037397052860101555,1,-0.0,[4.0541663],[11.325],[26.33721],[1129.1921],[24.8],[-18.2],[43.],[17.383333],[-9.3],[17.383333],[-10.533334],[1029.],[120.],[52.],[24.782642],[344.],[181.],[344.],[194.]
4416721613,2023-08-13T12:00:50,2023,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/178816005,POINT (-71.338163 46.790637),21L,-71.3371586361927,46.7902365595338,"-216254,18+314729,41",,,,,R,2,JIR,A,5A,50.0,R,85.0,21,70,"{'ML': 0.6, 'EN': 0.2, 'EO': 0.2}",0.0010812489187852494,3,0.9502705392332347,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
4416656485,2023-08-05T13:16:39,2023,Québec,Hygrocybe cantharellus,https://www.inaturalist.org/observations/176825034,POINT (-71.32396 46.757352),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,22,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",0.0007483886164992488,4,1.2798542258336674,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
