gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1891336750,2018-08-14T17:07,2018,Québec,Hygrocybe coccinea,https://www.inaturalist.org/observations/15437458,POINT (-71.928561 45.178136),21E,-71.9287576739045,45.1775348106474,"-269884,82+137731,14",,,,,F,2,JIR,D,1A,20.0,F,85.0,21,JIN,"{'EO': 0.3, 'BJ': 0.2, 'ES': 0.2, 'PE': 0.2, 'EB': 0.1}",0.000632541905640095,5,1.5571130980576458,[4.795833],[10.591666],[26.087849],[1077.6162],[24.5],[-16.1],[40.6],[17.516666],[-7.9333334],[17.516666],[-9.1],[1157.],[127.],[65.],[19.640688],[362.],[218.],[362.],[235.]
4946377258,2024-09-01T14:21:53,2024,Québec,Hygrocybe coccinea,https://www.inaturalist.org/observations/239707112,POINT (-71.17588 46.770725),21L,-71.1751060902131,46.7710503408721,"-203968,71+312213,53",,,,,F,1,VIN,C,8AM,20.0,F,85.0,23,VIN,"{'ES': 0.5, 'FT': 0.2, 'HG': 0.2, 'CR': 0.1}",0.0008395135742326024,4,1.2206072645530173,[4.741667],[10.05],[23.481308],[1162.3152],[25.8],[-17.],[42.8],[17.566668],[-9.],[18.65],[-10.1],[1226.],[132.],[68.],[18.213158],[369.],[233.],[367.],[249.]
4011591630,2022-09-11,2022,Québec,Hygrocybe coccinea,https://www.inaturalist.org/observations/143187759,POINT (-71.237859 46.916951),21L,-71.237950637423,46.9175805222307,"-208121,73+328557,01",,,,,M,3,JIN,B,1A,30.0,MR,75.0,16,JIN,"{'SB': 0.3, 'EP': 0.2, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1, 'PE': 0.1}",0.0006361569430911063,6,1.6957425341696346,[3.3958333],[10.308333],[23.917248],[1164.3228],[24.5],[-18.6],[43.1],[16.116667],[-5.1],[17.316668],[-11.533334],[1385.],[141.],[87.],[13.877102],[399.],[280.],[395.],[309.]
3892455717,2022-08-11T08:46:19,2022,Québec,Hygrocybe coccinea,https://www.inaturalist.org/observations/130365979,POINT (-71.794342 46.965478),21L,-71.7944422882564,46.9641047775499,"-250183,33+335550,39",,,,,M,3,JIN,D,1A,30.0,MR,75.0,15,JIN,"{'SB': 0.4, 'EP': 0.2, 'EO': 0.2, 'BJ': 0.1, 'BP': 0.1}",0.0013768796722397612,5,1.4708084763221112,[3.1041665],[10.391666],[24.393583],[1145.8928],[23.5],[-19.1],[42.6],[15.583333],[-10.466667],[16.516666],[-11.766666],[1418.],[152.],[79.],[20.891361],[425.],[251.],[404.],[286.]
2573926294,2019-10-13T13:30:23,2019,Québec,Hygrocybe coccinea,https://www.inaturalist.org/observations/34320660,POINT (-71.28789 46.775498),21L,-71.2884079969597,46.7751209399292,"-212586,44+312993,02",,,,,F,2,VIR,A,1A,30.0,F,85.0,20,VIN,"{'ES': 0.5, 'FR': 0.2, 'EO': 0.1, 'FI': 0.1, 'FT': 0.1}",0.0006406989521206749,5,1.3592367006650063,[5.0291667],[10.358334],[23.541666],[1200.5537],[27.1],[-16.9],[44.],[18.116667],[-9.033333],[19.533333],[-10.25],[1265.],[134.],[71.],[16.788204],[379.],[256.],[374.],[261.]
1135069422,2011-09-03,2011,Québec,Hygrocybe coccinea,CMMF007986,POINT (-71.357983 46.810667),21L,-71.3584144804531,46.8102086947266,"-217846,00+316982,97",,,,,F,2,VIN,A,5S,30.0,F,85.0,21,VIN,"{'ES': 0.4, 'EO': 0.2, 'FT': 0.2, 'BJ': 0.1, 'PE': 0.1}",0.000629459375210055,5,1.4708084763221112,[4.7166667],[10.3],[23.787529],[1181.5232],[26.2],[-17.1],[43.300003],[17.6],[-9.2],[18.8],[-10.45],[1247.],[129.],[71.],[16.471052],[371.],[250.],[363.],[258.]
1135069324,1980-07-26,1980,Québec,Hygrocybe coccinea,CMMF007820,POINT (-70.11105 46.6275),21L,-70.1113799934914,46.6286184191154,"-123256,06+294045,72",CT,2001.0,,,F,4,10,B,1A,30.0,F,75.0,8,10,"{'BP': 0.5, 'EO': 0.2, 'BJ': 0.1, 'EU': 0.1, 'SB': 0.1}",0.0011660861983802556,5,1.3592367006650063,[2.625],[10.716667],[25.33491],[1125.2524],[23.2],[-19.1],[42.300003],[16.033333],[-5.483333],[16.033333],[-11.833333],[1205.],[129.],[75.],[16.106167],[366.],[245.],[366.],[269.]
1135069281,1979-08-11,1979,Québec,Hygrocybe coccinea,CMMF007830,POINT (-70.11105 46.6275),21L,-70.1113799934914,46.6286184191154,"-123256,06+294045,72",CT,2001.0,,,F,4,10,B,1A,30.0,F,75.0,8,10,"{'BP': 0.5, 'EO': 0.2, 'BJ': 0.1, 'EU': 0.1, 'SB': 0.1}",0.0011660861983802556,5,1.3592367006650063,[2.625],[10.716667],[25.33491],[1125.2524],[23.2],[-19.1],[42.300003],[16.033333],[-5.483333],[16.033333],[-11.833333],[1205.],[129.],[75.],[16.106167],[366.],[245.],[366.],[269.]
1135069278,1976-07-20,1976,Québec,Hygrocybe coccinea,CMMF007829,POINT (-70.11105 46.6275),21L,-70.1113799934914,46.6286184191154,"-123256,06+294045,72",CT,2001.0,,,F,4,10,B,1A,30.0,F,75.0,8,10,"{'BP': 0.5, 'EO': 0.2, 'BJ': 0.1, 'EU': 0.1, 'SB': 0.1}",0.0011660861983802556,5,1.3592367006650063,[2.625],[10.716667],[25.33491],[1125.2524],[23.2],[-19.1],[42.300003],[16.033333],[-5.483333],[16.033333],[-11.833333],[1205.],[129.],[75.],[16.106167],[366.],[245.],[366.],[269.]
1135066618,2007-09-19,2007,Québec,Hygrocybe coccinea,CMMF010044,POINT (-71.312257 46.907478),21L,-71.3130161072813,46.9059506537654,"-213823,34+327509,31",,,,,M,3,30,C,1A,30.0,MM,55.0,12,30,"{'SB': 0.4, 'EB': 0.1, 'EO': 0.3, 'FX': 0.1, 'PE': 0.1}",0.0017055879880125556,5,1.4184836619456564,[4.0041666],[10.308333],[23.806774],[1172.5466],[25.3],[-18.],[43.3],[16.8],[-4.5333333],[17.983334],[-11.066667],[1333.],[137.],[79.],[16.173788],[395.],[263.],[385.],[285.]
1453425671,2012-09-16T15:14:56,2012,Québec,Hygrocybe coccinea,http://inaturalist.ca/observations/5109423,POINT (-64.266736 48.844412),22A,-64.2685971060402,48.8462405126809,"+308933,85+547533,40",,,,,F,2,VIN,D,8AY,20.0,F,85.0,19,VIN,"{'ES': 0.6, 'BJ': 0.3, 'EO': 0.1}",0.0026090562119515403,3,0.8979457248567797,[2.9041667],[9.091666],[24.179964],[1007.7753],[21.3],[-16.3],[37.6],[-0.7499999],[-9.05],[15.066667],[-9.716666],[1176.],[121.],[73.],[13.177147],[332.],[263.],[308.],[263.]
2868356495,2020-09-02T15:11:10,2020,Québec,Hygrocybe coccinea,https://www.inaturalist.org/observations/58355594,POINT (-76.032444 45.737589),31F,-76.0334807876633,45.7380193540243,"-585552,85+224482,63",,,,,F,1,VIN,C,1AY,30.0,F,85.0,22,VIN,"{'ES': 0.6, 'CR': 0.2, 'FT': 0.1, 'TA': 0.1}",0.001122556566501432,4,1.0888999753452235,[4.45],[10.85],[24.828375],[1163.3318],[25.5],[-18.2],[43.7],[13.2],[-9.566667],[17.966667],[-10.6],[997.],[99.],[62.],[14.543391],[285.],[200.],[282.],[209.]
4414221590,2023-09-14T10:42:55,2023,Québec,Hygrocybe coccinea,https://www.inaturalist.org/observations/183310699,POINT (-74.252186 45.898306),31G,-74.2535360837041,45.8968008025181,"-446131,79+229225,44",,,,,M,1,VIN,D,1AY,20.0,MF,75.0,22,VIN,"{'BJ': 0.3, 'EO': 0.2, 'BP': 0.1, 'ES': 0.1, 'PU': 0.2, 'RX': 0.1}",0.0020219657434327348,6,1.6957425341696346,[4.0166664],[10.45],[24.473068],[1149.8445],[24.6],[-18.1],[42.7],[17.516666],[-4.5333333],[17.516666],[-10.75],[1127.],[114.],[72.],[14.223594],[319.],[226.],[319.],[253.]
3772637451,2021-10-09T12:29:49,2021,Québec,Hygrocybe coccinea,https://www.inaturalist.org/observations/97690414,POINT (-75.843842 45.685262),31G,-75.8434054845545,45.6841736395071,"-571576,08+217067,98",,,,,M,1,VIR,F,R1A,10.0,MR,85.0,27,VIN,"{'PB': 0.7, 'CR': 0.2, 'PE': 0.1}",0.0011726356197332083,3,0.8018185525433372,[4.2791667],[10.841667],[24.923372],[1159.7971],[25.3],[-18.2],[43.5],[12.983334],[-9.666667],[17.766666],[-10.733334],[1045.],[103.],[67.],[13.992242],[297.],[209.],[290.],[220.]
2423613219,1986-08-09,1986,Québec,Hygrocybe coccinea,CMMF018879,POINT (-74.005679 45.988108),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,20,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",0.001252830787520495,5,1.4708084763221112,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
