gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4937170122,2024-08-17T16:09:32,2024,Québec,Hygrocybe conica,https://www.inaturalist.org/observations/237398794,POINT (-71.269529 45.416093),21E,-71.2713617725327,45.4156225200071,"-217141,58+161971,12",,,,,F,3,50,B,1A,40.0,F,65.0,14,50,"{'EO': 0.6, 'BJ': 0.2, 'BP': 0.1, 'ES': 0.1}",0.0018921962319791022,4,1.0888999753452235,[3.5833335],[10.55],[26.113861],[1082.4622],[23.1],[-17.3],[40.4],[16.4],[-4.333333],[16.4],[-10.349999],[1270.],[139.],[81.],[15.49846],[374.],[258.],[374.],[283.]
4416646105,2023-09-20T16:53:46,2023,Québec,Hygrocybe conica,https://www.inaturalist.org/observations/184175792,POINT (-71.901383 45.375703),21E,-71.9025111059729,45.3768921052035,"-266784,82+159837,53",,,,,F,2,JIR,D,1AM,20.0,F,95.0,20,JIN,"{'EO': 0.3, 'ES': 0.2, 'BG': 0.1, 'BJ': 0.1, 'FR': 0.1, 'FT': 0.1, 'TA': 0.1}",0.001639083363074839,7,1.8343719702816235,[5.4541664],[10.675],[25.785025],[1108.0869],[25.6],[-15.8],[41.4],[18.55],[-7.633333],[18.55],[-8.833333],[1056.],[128.],[50.],[27.17826],[353.],[171.],[353.],[187.]
4405446146,2023-08-25T15:04:20,2023,Québec,Hygrocybe conica,https://www.inaturalist.org/observations/180450895,POINT (-71.793542 45.140342),21E,-71.7926060521735,45.1415784041613,"-259357,82+133230,99",,,,,M,2,VIN,D,4GS,10.0,MR,75.0,21,VIN,"{'TO': 0.3, 'PU': 0.2, 'RX': 0.1, 'SB': 0.1, 'EO': 0.1, 'FI': 0.1, 'FT': 0.1}",0.001550707446306375,7,1.8343719702816235,[4.945833],[10.974999],[26.703163],[1084.6877],[24.9],[-16.2],[41.1],[17.783333],[-7.8333335],[17.783333],[-9.016666],[1154.],[128.],[67.],[19.412357],[365.],[221.],[365.],[240.]
4127027539,2018-08-16T13:19:36,2018,Québec,Hygrocybe conica,https://www.inaturalist.org/observations/42573937,POINT (-71.768372 45.481519),21E,-71.7688373348033,45.4815554797358,"-255737,32+170920,44",CPR,,,,F,5,10,A,7E,60.0,F,85.0,5,10,"{'FN': 0.6, 'FX': 0.4}",0.0004667625202194125,2,0.6730116670092565,[4.7375],[10.675],[25.910194],[1095.9495],[24.7],[-16.5],[41.2],[17.65],[-8.233334],[17.65],[-9.4],[1099.],[128.],[58.],[22.541363],[354.],[195.],[354.],[214.]
3925087661,2022-08-22T07:50:07,2022,Québec,Hygrocybe conica,https://www.inaturalist.org/observations/135063405,POINT (-71.986836 45.579059),21E,-71.9864643233522,45.578955494686,"-272396,94+182506,37",,,,,M,1,VIR,B,1AM,20.0,MR,85.0,23,VIN,"{'PB': 0.3, 'SB': 0.2, 'PU': 0.1, 'BJ': 0.2, 'EO': 0.2}",0.00038581975137099805,5,1.5571130980576458,[5.025],[10.6],[25.54217],[1110.6642],[25.1],[-16.4],[41.5],[18.1],[-8.316667],[18.1],[-9.283333],[1139.],[130.],[59.],[22.735184],[367.],[202.],[367.],[225.]
3039254422,2019-08-10T11:53:03,2019,Québec,Hygrocybe conica,https://www.inaturalist.org/observations/30545442,POINT (-71.474181 45.91672),21E,-71.4751868063429,45.9177315694681,"-230802,80+218289,69",,,,,F,2,JIN,C,1AY,30.0,F,75.0,17,JIN,"{'BJ': 0.3, 'ES': 0.3, 'EO': 0.2, 'BP': 0.1, 'RX': 0.1}",0.0014265059369751312,5,1.5047882836811908,[3.8041668],[9.958333],[24.288618],[1116.0511],[23.7],[-17.3],[41.],[16.983334],[-4.55],[16.983334],[-10.533333],[1253.],[135.],[80.],[16.014278],[377.],[246.],[377.],[287.]
4014857365,2020-09-11,2020,Québec,Hygrocybe conica,https://www.inaturalist.org/observations/59282498,POINT (-71.307873 46.794305),21L,-71.3073872572502,46.7950518210351,"-213945,85+315180,89",,,,,F,2,VIN,A,5A,40.0,F,85.0,20,VIN,"{'ES': 0.6, 'EO': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0008908915071177237,4,1.0888999753452235,[5.2291665],[10.358334],[23.595293],[1197.2363],[27.1],[-16.8],[43.9],[18.266666],[-8.833333],[19.6],[-10.083333],[1230.],[131.],[68.],[17.870241],[372.],[242.],[365.],[249.]
4009884643,2022-08-29,2022,Québec,Hygrocybe conica,https://www.inaturalist.org/observations/144540545,POINT (-71.229485 46.912375),21L,-71.2300431563054,46.9122546066695,"-207559,90+328029,91",,,,,F,3,JIN,B,1A,30.0,F,85.0,16,JIN,"{'BJ': 0.3, 'BP': 0.2, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SE': 0.1}",0.0005709930080908499,6,1.6957425341696346,[3.7583334],[10.283334],[23.859241],[1167.8492],[24.9],[-18.2],[43.1],[16.533333],[-4.7833333],[17.683332],[-11.233334],[1353.],[139.],[83.],[14.542984],[393.],[273.],[389.],[295.]
1135071304,2007-08-19,2007,Québec,Hygrocybe conica,CMMF009797,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
1135070317,2006-08-03,2006,Québec,Hygrocybe conica,CMMF008878,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
