gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617554769	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000509	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Mirabel	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.659599	-74.064294	18500.0						1989-06-10	10	6	1989	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000509		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.037Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554035	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003869	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Saint-Alphonse-Rodriguez	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.183333	-73.7	7500.0						2004-08-17	17	8	2004	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003869		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.528Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551662	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002801	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Saint-Roch-sur-Richelieu	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.891936	-73.179027	4000.0						1996-07-08	8	7	1996	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002801		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.629Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550272	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002199	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Mt Orford	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.340394	-72.208677	6500.0						1994-07-25	25	7	1994	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002199		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.393Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548625	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001487	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						1991-09-07	7	9	1991	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001487		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.608Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4414441798	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184001388	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.895106	-78.817276	350.0						2023-08-19T14:27	19	8	2023	2530973	2530973	HUMAN_OBSERVATION	iNaturalist	Observations	184001388		Pierre Cartier	2023-09-19T17:04:47	CC_BY_NC_4_0	Pierre Cartier	Pierre Cartier			2025-01-14T13:32:26.324Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4062989528	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/136635717	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.678603	-75.848647	7.0						2022-09-26T10:59:01	26	9	2022	2530973	2530973	HUMAN_OBSERVATION	iNaturalist	Observations	136635717		cinna_latifolia	2022-10-25T05:10:21	CC_BY_NC_4_0	Celine Perrier	Celine Perrier			2025-01-14T13:25:47.737Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3963350552	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/133536719	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.691456	-64.017853	20.0						2022-09-02T12:03	2	9	2022	2530973	2530973	HUMAN_OBSERVATION	iNaturalist	Observations	133536719		Jessika Gauvin	2022-09-03T23:32:54	CC_BY_NC_4_0	Rosemary Curley	Rosemary Curley			2025-01-14T12:32:05.821Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3961237830	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/140113475	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.929551	-76.497839	27095.0						2022-10-25T10:55	25	10	2022	2530973	2530973	HUMAN_OBSERVATION	iNaturalist	Observations	140113475		L Joan Heyding	2022-10-27T01:00:32	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:32:27.071Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
3349368044	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN992432	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor		CA	Quebec, Anticosti		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	49.84	-64.42							2015-09-08	8	9	2015	2530973	2530973	PRESERVED_SPECIMEN			ANT097-QFB28717		Renee Lebeuf		CC_BY_4_0					2025-01-18T13:05:59.278Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3349331081	d8cd16ba-bb74-4420-821e-083f2bac17c2	MN992606	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor		CA	Quebec, Chibougamau		PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230	49.76	-74.36							2017-09-05	5	9	2017	2530973	2530973	PRESERVED_SPECIMEN			MQ17062-QFB29570		Renee Lebeuf		CC_BY_4_0					2025-01-18T13:05:50.722Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;TAXON_MATCH_TAXON_ID_IGNORED
3044604346	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/16333768	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.4036	-68.57575	22730.0						2013-08-09	9	8	2013	2530973	2530973	HUMAN_OBSERVATION	iNaturalist	Observations	16333768		pinonbistro	2018-09-08T21:58:41	CC_BY_NC_4_0	pinonbistro	pinonbistro			2025-01-14T13:00:27.249Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
1135071404	21705170-d2b6-42de-8904-c3bca4b83591	CMMF009925	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Chemin de la Chapelle sud, Lac-Beauport.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.948621	-71.283499	150.0						2007-09-05	5	9	2007	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF009925	1509	Labrecque, Jacqueline		CC0_1_0	Université de Montréal Biodiversity Centre	Labrecque, Jacqueline			2024-01-24T16:38:21.403Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1135070583	21705170-d2b6-42de-8904-c3bca4b83591	CMMF009133	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Chemin Chapelle, Lac-Beauport.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.949281	-71.284722	250.0						2006-09-05	5	9	2006	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF009133	717	Labrecque, Jacqueline		CC0_1_0	Université de Montréal Biodiversity Centre	Labrecque, Jacqueline			2024-01-24T16:38:20.238Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1135070466	21705170-d2b6-42de-8904-c3bca4b83591	CMMF009053	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Château Bigot, Lac-Beauport.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.898375	-71.266801	2000.0						2006-08-26	26	8	2006	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF009053	636	Labbé, Roland		CC0_1_0	Université de Montréal Biodiversity Centre	Labrecque, Jacqueline			2024-01-24T16:38:20.167Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1135070458	21705170-d2b6-42de-8904-c3bca4b83591	CMMF009010	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Chemin Chapelle, Lac-Beauport.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.949281	-71.284722	250.0						2006-08-21	21	8	2006	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF009010	593	Labrecque, Jacqueline		CC0_1_0	Université de Montréal Biodiversity Centre	Labrecque, Jacqueline			2024-01-24T16:38:20.127Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1135070320	21705170-d2b6-42de-8904-c3bca4b83591	CMMF008849	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Chemin de la Chapelle, Lac-Beauport.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.949281	-71.284722	250.0						2006-07-31	31	7	2006	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF008849	432	Labbé, Roland		CC0_1_0	Université de Montréal Biodiversity Centre	Labrecque, Jacqueline			2024-01-24T16:38:18.871Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1135070261	21705170-d2b6-42de-8904-c3bca4b83591	CMMF008795	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Chemin Chapelle, Lac-Beauport.	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.949281	-71.284722	250.0						2006-07-24	24	7	2006	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF008795	377	Labbé, Roland		CC0_1_0	Université de Montréal Biodiversity Centre	Labrecque, Jacqueline			2024-01-24T16:38:18.833Z		INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1135069829	21705170-d2b6-42de-8904-c3bca4b83591	CMMF008291	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Parc de la Gaspésie (sortie sud)	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	48.856883	-66.20075	100.0						2007-07-21	21	7	2007	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF008291	C3116	McNeil, Raymond		CC0_1_0	Université de Montréal Biodiversity Centre	McNeil, Raymond			2024-01-24T16:38:18.325Z	StillImage	COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
1135069710	21705170-d2b6-42de-8904-c3bca4b83591	CMMF008280	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria bicolor		SPECIES	Laccaria bicolor (Maire) P.D.Orton	Laccaria bicolor (Maire) P.D. Orton	(Maire) P.D. Orton	CA	Parc de la Gaspésie (sortie sud)	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	48.856883	-66.20075	100.0						2005-09-14	14	9	2005	2530973	2530973	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF008280	C2482	McNeil, Raymond		CC0_1_0	Université de Montréal Biodiversity Centre	McNeil, Raymond			2024-01-24T16:38:18.319Z	StillImage	COORDINATE_ROUNDED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
