gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4994426537,2023-08-27T08:28:12,2023,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/180447985,POINT (-71.910456 45.374531),21E,-71.911723108871,45.3749548581634,"-267392,65+159628,17",,,,,M,2,JIN,C,1AY,30.0,MF,95.0,20,JIN,"{'EO': 0.3, 'ES': 0.1, 'FR': 0.1, 'FT': 0.1, 'PB': 0.2, 'EU': 0.1, 'PU': 0.1}",0.001336121489109991,7,1.8343719702816235,[5.204167],[10.508333],[25.56772],[1103.8413],[25.2],[-15.9],[41.1],[18.25],[-7.833333],[18.25],[-9.033333],[1095.],[130.],[55.],[25.092941],[360.],[186.],[360.],[204.]
4525174082,2023-08-15,2023,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/199557183,POINT (-71.32599 46.791103),21L,-71.3281348268425,46.7914058515474,"-215432,65+314784,30",,,CP,,F,2,JIR,A,5A,40.0,F,55.0,18,JIN,"{'EO': 0.3, 'PA': 0.3, 'BP': 0.1, 'FH': 0.1, 'FN': 0.1, 'FT': 0.1}",0.002166102777814662,6,1.6434177197931796,[5.054167],[10.275001],[23.566513],[1187.0599],[26.7],[-16.9],[43.6],[17.983334],[-8.933333],[19.25],[-10.15],[1226.],[129.],[68.],[17.313992],[369.],[243.],[360.],[249.]
4133772335,2019-09-12T22:32,2019,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/32741944,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,20,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",0.001883593060471962,4,1.2798542258336674,[5.0958333],[10.408333],[23.601662],[1202.7251],[27.2],[-16.9],[44.1],[18.216667],[-8.966666],[19.633333],[-10.216666],[1253.],[133.],[71.],[16.758148],[375.],[252.],[370.],[258.]
4018163389,2020-09-05T10:15,2020,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/58837572,POINT (-71.321405 46.757591),21L,-71.320578256682,46.7567730677949,"-215120,01+310974,47",,,,,F,3,50,A,5S,30.0,F,95.0,14,50,"{'EO': 0.4, 'BP': 0.3, 'BJ': 0.1, 'PU': 0.1, 'SB': 0.1}",0.0011629779043432773,5,1.4184836619456564,[4.7166667],[9.983334],[23.380173],[1165.224],[25.8],[-16.9],[42.699997],[17.533333],[-9.033333],[18.633333],[-10.183333],[1232.],[130.],[70.],[16.618198],[368.],[246.],[363.],[258.]
3986407480,2022-09-11,2022,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/143269363,POINT (-71.237248 46.923065),21L,-71.2375050401265,46.9217940003558,"-208213,91+329216,03",,,,,F,2,VIN,C,1A,30.0,F,85.0,20,VIN,"{'ES': 0.5, 'HG': 0.3, 'BJ': 0.1, 'EO': 0.1}",0.0012967303968791657,4,1.1682824501765625,[3.3958333],[10.308333],[23.917248],[1164.3228],[24.5],[-18.6],[43.1],[16.116667],[-5.1],[17.316668],[-11.533334],[1385.],[141.],[87.],[13.877102],[399.],[280.],[395.],[309.]
3383873649,2020-08-16T12:34:16,2020,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/75300978,POINT (-71.355799 46.797765),21L,-71.3558151087965,46.7995353923483,"-217508,68+315906,30",,,,,F,3,JIR,C,5S,20.0,F,65.0,16,JIN,"{'EO': 0.4, 'FH': 0.2, 'FN': 0.2, 'FT': 0.1, 'PE': 0.1}",0.0017704656337353857,5,1.4708084763221112,[4.7708335],[10.241667],[23.707561],[1179.2206],[26.2],[-17.],[43.2],[17.633333],[-9.133333],[18.8],[-10.366667],[1239.],[130.],[70.],[16.660275],[371.],[250.],[362.],[255.]
2856864532,2020-08-27T14:27:45,2020,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/57758067,POINT (-71.394868 46.741904),21L,-71.396238869904,46.7416226436324,"-220960,63+309603,85",,,,,M,1,VIN,C,2A,20.0,MF,85.0,22,VIN,"{'FT': 0.3, 'ER': 0.2, 'PE': 0.1, 'PU': 0.3, 'PB': 0.1}",0.00139944478249979,5,1.5047882836811908,[4.491667],[9.983334],[23.657188],[1150.3691],[25.2],[-17.],[42.2],[17.133333],[-9.183333],[18.083334],[-10.283334],[1199.],[125.],[68.],[17.056007],[360.],[235.],[352.],[252.]
1135071302,2007-08-31,2007,Québec,Laccaria ochropurpurea,CMMF009892,POINT (-71.266994 46.892305),21L,-71.2651856828206,46.896364512591,"-210300,58+326372,10",,,,,F,1,VIN,C,1A,30.0,F,85.0,22,VIN,"{'HG': 0.4, 'EO': 0.3, 'ES': 0.3}",0.004444058223940911,3,1.0888999753452238,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
1135070321,2006-08-03,2006,Québec,Laccaria ochropurpurea,CMMF008879,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
4413784653,2023-09-06T10:24:58,2023,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/182055125,POINT (-70.873855 47.071878),21M,-70.8735578194162,47.0728694760606,"-179879,00+344877,70",,,,,F,2,VIN,A,2BD,30.0,F,75.0,21,VIN,"{'ES': 0.6, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'HG': 0.1}",0.0010350560748775104,5,1.2275294114572126,[3.6416667],[9.816667],[23.541166],[1130.235],[23.8],[-17.9],[41.699997],[16.05],[-9.783333],[16.983334],[-10.916667],[1236.],[127.],[67.],[19.947315],[368.],[227.],[367.],[230.]
4400445905,2023-08-19T15:13:35,2023,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/179213153,POINT (-70.534722 47.439083),21M,-70.5343559924038,47.4387158009646,"-153016,89+384674,66",CPR,2001.0,,,M,5,10,B,5S,30.0,MM,65.0,4,10,"{'RX': 0.5, 'FX': 0.3, 'FN': 0.2}",0.0005184560657088869,3,1.0296530140645737,[3.2875],[9.674999],[23.42615],[1121.9203],[23.3],[-18.],[41.3],[13.983333],[-11.1],[16.583332],[-11.1],[1039.],[107.],[66.],[13.859978],[304.],[214.],[292.],[214.]
3328017385,2016-08-27,2016,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/71216600,POINT (-70.779356 47.08297),21M,-70.7799647790993,47.0826585849377,"-172629,80+345761,63",,,,,F,1,VIN,D,5S,30.0,F,95.0,25,VIN,"{'ES': 0.8, 'FI': 0.1, 'FT': 0.1}",0.0006838065024330082,3,0.639031859650177,[3.8625002],[9.575],[23.353659],[1110.2521],[23.6],[-17.4],[41.],[14.400001],[-10.5],[16.85],[-10.5],[1147.],[121.],[56.],[24.49532],[352.],[193.],[348.],[193.]
4414385309,2023-09-16T12:30:18,2023,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/183589312,POINT (-74.270973 45.903825),31G,-74.2709977186945,45.9052707986665,"-447359,04+230205,38",,,,,F,1,VIN,F,1AY,20.0,F,65.0,23,VIN,"{'ES': 0.7, 'CR': 0.1, 'FT': 0.1, 'PU': 0.1}",0.0014460099577518503,4,0.9404479886553263,[3.7708333],[10.475],[24.531618],[1150.8346],[24.3],[-18.4],[42.699997],[17.283333],[-4.8166666],[17.283333],[-11.],[1157.],[115.],[75.],[13.185565],[323.],[237.],[323.],[262.]
3915595899,2022-09-24T10:48:27,2022,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/136335698,POINT (-74.33081 45.993384),31G,-74.332346767702,45.9947663347384,"-451338,40+240574,76",,,,,F,2,VIN,D,1AY,30.0,F,75.0,17,VIN,"{'ES': 0.4, 'BJ': 0.2, 'BP': 0.2, 'EO': 0.1, 'SB': 0.1}",0.0020670037007521984,5,1.4708084763221112,[2.925],[11.05],[25.4023],[1159.7365],[23.9],[-19.6],[43.5],[16.6],[-5.616667],[16.6],[-11.983334],[1199.],[117.],[80.],[13.033188],[335.],[246.],[335.],[275.]
3915579000,2022-09-25T15:57:22,2022,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/136506700,POINT (-75.114274 45.607127),31G,-75.1119476935008,45.6041700827468,"-515623,01+202551,41",,,CP,,F,2,JIR,B,5A,30.0,F,65.0,20,JIN,"{'FR': 0.4, 'FH': 0.2, 'FT': 0.2, 'EA': 0.1, 'PE': 0.1}",0.003762321300805299,5,1.4708084763221112,[5.3125],[10.741667],[24.693487],[1169.8721],[26.3],[-17.2],[43.5],[13.95],[-8.8],[18.933334],[-9.866667],[1021.],[100.],[62.],[16.439312],[297.],[197.],[287.],[212.]
3320852388,2020-09-22T13:22:36,2020,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/60469504,POINT (-75.868667 45.595517),31G,-75.8680733333376,45.5957841091262,"-574369,15+207417,99",,,,,F,2,VIR,F,R1A,20.0,F,85.0,20,VIN,"{'CR': 0.4, 'ES': 0.4, 'FT': 0.2}",0.0006509895477961887,3,1.0549201679861442,[4.891667],[10.666666],[24.691359],[1156.9353],[25.9],[-17.3],[43.199997],[13.566667],[-9.016666],[18.416668],[-10.016666],[1002.],[97.],[63.],[15.284984],[285.],[193.],[277.],[209.]
617549291,1992-08-20,1992,Québec,Laccaria ochropurpurea,CMMF001775,POINT (-73.169757 45.569155),31H,-73.1702470925857,45.5697208073335,"-364714,08+186716,46",,,,,F,2,JIR,D,1A,30.0,F,75.0,20,JIN,"{'ES': 0.4, 'EO': 0.2, 'FT': 0.2, 'BJ': 0.1, 'FR': 0.1}",0.0007485510545013657,5,1.4708084763221112,[6.070833],[9.775001],[23.441246],[1143.3175],[26.2],[-15.5],[41.7],[19.466667],[-7.5666666],[19.466667],[-8.733334],[1057.],[104.],[62.],[14.818656],[303.],[206.],[303.],[228.]
617547779,1990-08-15,1990,Québec,Laccaria ochropurpurea,CMMF001116,POINT (-73.477185 45.544154),31H,-73.4781398017723,45.5453502837324,"-388807,61+185682,18",,,,,F,3,30,A,1A,40.0,F,75.0,14,30,"{'EO': 0.3, 'EA': 0.2, 'FR': 0.2, 'FT': 0.1, 'PE': 0.1, 'PL': 0.1}",0.001530601578718979,6,1.6957425341696346,[6.6666665],[9.933333],[23.70724],[1143.186],[27.1],[-14.8],[41.9],[19.216667],[-6.916667],[20.15],[-8.033334],[1003.],[97.],[62.],[12.667946],[281.],[207.],[273.],[222.]
617547685,1990-08-03,1990,Québec,Laccaria ochropurpurea,CMMF001077,POINT (-73.477185 45.544154),31H,-73.4781398017723,45.5453502837324,"-388807,61+185682,18",,,,,F,3,30,A,1A,40.0,F,75.0,14,30,"{'EO': 0.3, 'EA': 0.2, 'FR': 0.2, 'FT': 0.1, 'PE': 0.1, 'PL': 0.1}",0.001530601578718979,6,1.6957425341696346,[6.6666665],[9.933333],[23.70724],[1143.186],[27.1],[-14.8],[41.9],[19.216667],[-6.916667],[20.15],[-8.033334],[1003.],[97.],[62.],[12.667946],[281.],[207.],[273.],[222.]
4400423308,2023-08-16T06:44,2023,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/178720201,POINT (-72.962183 45.653448),31H,-72.9608997059808,45.6539074467694,"-347729,98+195117,02",,,,,F,3,JIN,A,5A,40.0,F,85.0,16,JIN,"{'EO': 0.4, 'PE': 0.3, 'ES': 0.2, 'FT': 0.1}",0.0013630608473717827,4,1.2798542258336674,[5.9541664],[10.108333],[23.953396],[1153.4581],[26.3],[-15.9],[42.199997],[19.483334],[-7.9333334],[19.483334],[-8.916667],[1064.],[109.],[61.],[17.272886],[315.],[200.],[315.],[225.]
4172159537,2023-08-05T10:36:08,2023,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/177315385,POINT (-72.960312 45.650591),31H,-72.9610609660388,45.6502825361477,"-347865,07+194797,77",,,,,F,1,JIN,A,5A,30.0,F,85.0,23,JIN,"{'EO': 0.5, 'ES': 0.3, 'FR': 0.1, 'FT': 0.1}",0.0008100000465737176,4,1.1682824501765625,[5.9541664],[10.108333],[23.953396],[1153.4581],[26.3],[-15.9],[42.199997],[19.483334],[-7.9333334],[19.483334],[-8.916667],[1064.],[109.],[61.],[17.272886],[315.],[200.],[315.],[225.]
4171874223,2023-08-07T13:52:27,2023,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/177231889,POINT (-73.250453 45.447678),31H,-73.2491263196064,45.4473720158022,"-371689,62+173639,55",,,,,F,2,JIN,A,1A,30.0,F,85.0,20,JIN,"{'EO': 0.4, 'CR': 0.2, 'ES': 0.2, 'FT': 0.2}",0.00136150916120244,4,1.3321790402101223,[6.179167],[9.958334],[23.938303],[1132.0726],[26.3],[-15.3],[41.6],[19.45],[-7.35],[19.45],[-8.466666],[1017.],[98.],[60.],[14.902287],[290.],[197.],[290.],[219.]
4153455410,2018-09-11T13:52,2018,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/171455876,POINT (-73.501366 45.682525),31H,-73.4971073075093,45.6804691054621,"-389156,08+200668,80",,,,,F,3,30,A,5A,40.0,F,45.0,16,30,"{'PE': 0.3, 'EA': 0.2, 'FN': 0.2, 'PL': 0.2, 'FR': 0.1}",0.004728970721136817,5,1.5571130980576458,[6.2208333],[10.058333],[23.666666],[1161.033],[26.9],[-15.6],[42.5],[8.783334],[-7.733333],[19.883333],[-8.683333],[984.],[96.],[60.],[14.181365],[278.],[195.],[268.],[214.]
3399374689,2021-10-08T15:31:56,2021,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/98942793,POINT (-73.583345 45.512012),31H,-73.5865581924405,45.5129712188364,"-397438,15+182610,36",,,,,F,1,VIR,C,5S,30.0,F,85.0,26,VIN,"{'CR': 0.2, 'ES': 0.2, 'FR': 0.2, 'FT': 0.2, 'EA': 0.1, 'FN': 0.1}",0.003353312755450634,6,1.7480673485460894,[6.4625],[9.875],[23.511906],[1152.9786],[27.],[-15.],[42.],[19.016666],[-7.1],[20.083332],[-8.383333],[1043.],[100.],[64.],[12.65168],[294.],[215.],[288.],[229.]
3398899380,2021-10-05T15:05:39,2021,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/98645390,POINT (-73.579365 45.511523),31H,-73.585473329584,45.5076706608286,"-397430,05+181955,95",,,,,F,1,VIR,F,1AY,20.0,F,85.0,25,VIN,"{'ES': 0.5, 'FR': 0.2, 'FT': 0.2, 'CR': 0.1}",0.0072216485235953925,4,1.2206072645530173,[6.6541667],[9.891666],[23.551586],[1154.4508],[27.2],[-14.8],[42.],[19.233334],[-6.9333334],[20.3],[-8.2],[1024.],[98.],[63.],[12.301348],[287.],[213.],[282.],[224.]
3344013503,2021-08-21T12:26:23,2021,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/92226737,POINT (-72.820062 45.042842),31H,-72.8187081812955,45.0417299156942,"-340767,23+126429,77",,,,,M,1,JIN,B,2BD,20.0,MM,85.0,22,JIN,"{'PU': 0.5, 'BJ': 0.2, 'EO': 0.2, 'PE': 0.1}",0.0017520150078784767,4,1.2206072645530173,[5.9166665],[10.866667],[26.439579],[1084.4717],[25.9],[-15.2],[41.1],[17.683334],[-6.9166665],[18.683334],[-8.116667],[1115.],[117.],[59.],[19.329027],[340.],[206.],[335.],[216.]
3335175198,2021-08-02T14:49:38,2021,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/89708628,POINT (-72.818352 45.041469),31H,-72.8187081812955,45.0417299156942,"-340767,23+126429,77",,,,,M,1,JIN,B,2BD,20.0,MM,85.0,22,JIN,"{'PU': 0.5, 'BJ': 0.2, 'EO': 0.2, 'PE': 0.1}",0.0004415224963058289,4,1.2206072645530173,[5.925],[10.883333],[26.48013],[1083.3671],[25.9],[-15.2],[41.1],[17.683334],[-6.9],[18.683334],[-8.083333],[1114.],[117.],[59.],[19.364197],[339.],[205.],[333.],[215.]
2850845426,2020-08-18T21:57:04Z,2020,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/56881157,POINT (-73.639338 45.763504),31H,-73.6408359842526,45.7622065990062,"-399774,64+210666,95",,,,,M,3,30,A,5S,30.0,MF,45.0,14,30,"{'PE': 0.4, 'BG': 0.2, 'PB': 0.4}",0.001981717981897293,3,1.0549201679861442,[5.6625],[10.241667],[23.81783],[1170.6313],[26.5],[-16.5],[43.],[8.216667],[-8.4],[19.4],[-9.416667],[987.],[99.],[55.],[17.684603],[291.],[185.],[266.],[209.]
1913174072,2018-09-09T14:47,2018,Québec,Laccaria ochropurpurea,https://www.inaturalist.org/observations/16372341,POINT (-72.477057 45.246593),31H,-72.4760367556935,45.2475813637686,"-312486,12+147744,97",,,,,F,1,VIN,C,1A,30.0,F,65.0,25,VIN,"{'ES': 0.8, 'FR': 0.1, 'FT': 0.1}",0.0014204792796953514,3,0.639031859650177,[5.116667],[10.416667],[25.593777],[1084.4843],[24.8],[-15.9],[40.699997],[17.883333],[-2.95],[17.883333],[-8.816667],[1273.],[127.],[77.],[14.282185],[366.],[255.],[366.],[286.]
1412709004,1981-08-13,1981,Québec,Laccaria ochropurpurea,CMMF017554,POINT (-73.547316 45.461124),31H,-73.5508344525263,45.4555615338568,"-395183,37+175917,35",,,,,F,1,VIN,A,3AN,40.0,F,85.0,25,VIN,"{'EA': 0.4, 'FR': 0.2, 'FT': 0.2, 'PL': 0.2}",0.006581833921794617,4,1.3321790402101223,[6.7374997],[9.891666],[23.778046],[1134.0537],[27.1],[-14.5],[41.6],[19.2],[-6.6],[20.183332],[-7.7833333],[978.],[93.],[59.],[13.512445],[277.],[197.],[270.],[215.]
1412708838,1981-08-04,1981,Québec,Laccaria ochropurpurea,CMMF017270,POINT (-73.547316 45.461124),31H,-73.5508344525263,45.4555615338568,"-395183,37+175917,35",,,,,F,1,VIN,A,3AN,40.0,F,85.0,25,VIN,"{'EA': 0.4, 'FR': 0.2, 'FT': 0.2, 'PL': 0.2}",0.006581833921794617,4,1.3321790402101223,[6.7374997],[9.891666],[23.778046],[1134.0537],[27.1],[-14.5],[41.6],[19.2],[-6.6],[20.183332],[-7.7833333],[978.],[93.],[59.],[13.512445],[277.],[197.],[270.],[215.]
1135068752,2010-07-21,2010,Québec,Laccaria ochropurpurea,CMMF007313,POINT (-73.643917 45.767033),31H,-73.6432255657109,45.7674038260941,"-399922,26+211277,71",,,,,F,3,30,A,5S,40.0,F,75.0,14,30,"{'EO': 0.4, 'BG': 0.2, 'FT': 0.1, 'PE': 0.1, 'ML': 0.1, 'RX': 0.1}",0.0007845975836095189,6,1.6094379124341,[5.525],[10.233333],[23.853924],[1171.001],[26.3],[-16.6],[42.9],[8.116667],[-8.566667],[19.266666],[-9.55],[987.],[98.],[54.],[17.839685],[289.],[184.],[269.],[209.]
