gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555556	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000861	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Psathyrella lacrymabunda (Bull.) M.M.Moser	Psathyrella lacrymabunda (Bull.) M.M. Moser	(Bull.) M.M. Moser	CA	Saint-Jérôme	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.783333	-74.0	7000.0						1989-09-24	24	9	1989	7564605	5242798	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000861		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Goodhue, Peter			2024-01-24T16:38:21.483Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549167	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001725	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Psathyrella lacrymabunda (Bull.) M.M.Moser	Psathyrella lacrymabunda (Bull.) M.M. Moser	(Bull.) M.M. Moser	CA	Saint-Lambert	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.495367	-73.506523	3000.0						1992-08-06	6	8	1992	7564605	5242798	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001725		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Rocheleau, Yvette			2024-01-24T16:38:17.096Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548079	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000125	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Psathyrella lacrymabunda (Bull.) M.M.Moser	Psathyrella lacrymabunda (Bull.) M.M. Moser	(Bull.) M.M. Moser	CA	L'Assomption	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.864396	-73.439575	9000.0						1988-07-30	30	7	1988	7564605	5242798	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000125		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Laurendeau, Gabriel			2024-01-24T16:38:20.522Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4908912560	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/225182553	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Lacrymaria lacrymabunda (Bull.) Pat.	Lacrymaria lacrymabunda		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.608749	-75.644705	4.0						2024-06-25T17:21	25	6	2024	5242798	5242798	HUMAN_OBSERVATION	iNaturalist	Observations	225182553		Guy Laflamme	2024-06-25T21:24:32	CC_BY_NC_4_0	Guy Laflamme	Guy Laflamme			2025-01-14T12:48:50.915Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4872406557	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/217374529	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Lacrymaria lacrymabunda (Bull.) Pat.	Lacrymaria lacrymabunda		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.589449	-73.561128	40.0						2024-05-21T14:34:42	21	5	2024	5242798	5242798	HUMAN_OBSERVATION	iNaturalist	Observations	217374529		Taylor Routledge	2024-05-22T05:32:37	CC_BY_NC_4_0	nathan_schryer	nathan_schryer			2025-01-14T12:45:46.897Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4506227519	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/95032613	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Lacrymaria lacrymabunda (Bull.) Pat.	Lacrymaria lacrymabunda		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.693711	-64.079378	20.0						2021-09-14T15:58	14	9	2021	5242798	5242798	HUMAN_OBSERVATION	iNaturalist	Observations	95032613		Rosemary Curley	2021-09-16T14:09:10	CC_BY_NC_4_0	Rosemary Curley	Rosemary Curley			2025-01-14T12:21:08.782Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4413660728	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/182215775	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Lacrymaria lacrymabunda (Bull.) Pat.	Lacrymaria lacrymabunda		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.182695	-77.715562	5.0						2023-09-03T11:06:09	3	9	2023	5242798	5242798	HUMAN_OBSERVATION	iNaturalist	Observations	182215775		Lynn Ovenden	2023-09-07T18:04:22	CC_BY_NC_4_0	Lynn Ovenden	Lynn Ovenden			2025-01-14T13:28:49.317Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4165804280	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/174462472	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Lacrymaria lacrymabunda (Bull.) Pat.	Lacrymaria lacrymabunda		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.427783	-71.216622	6.0						2023-07-23T08:33:33	23	7	2023	5242798	5242798	HUMAN_OBSERVATION	iNaturalist	Observations	174462472		eric_wilmot	2023-07-23T12:58:07	CC_BY_NC_4_0	eric_wilmot	eric_wilmot			2025-01-14T12:37:39.766Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4153870372	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/98489330	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Lacrymaria lacrymabunda (Bull.) Pat.	Lacrymaria lacrymabunda		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.84478	-72.56871	65.0						2021-10-17T10:06:08	17	10	2021	5242798	5242798	HUMAN_OBSERVATION	iNaturalist	Observations	98489330		vanessareg	2021-10-17T14:06:19	CC_BY_NC_4_0	vanessareg	vanessareg			2025-01-14T14:02:45.054Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4145634434	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/170329603	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Lacrymaria	Lacrymaria lacrymabunda		SPECIES	Lacrymaria lacrymabunda (Bull.) Pat.	Lacrymaria lacrymabunda		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.560176	-73.482716	31.0						2023-06-29T20:42	29	6	2023	5242798	5242798	HUMAN_OBSERVATION	iNaturalist	Observations	170329603		Antoine Fortin	2023-06-30T19:54:59	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T13:31:04.620Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
