gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555325	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000754	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius helvus (Fr.) Fr.	Lactarius helvus (Fr.) Fr.	(Fr.) Fr.	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						1989-09-09	9	9	1989	5248660	5248660	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000754		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.210Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552098	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000300	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius helvus (Fr.) Fr.	Lactarius helvus (Fr.) Fr.	(Fr.) Fr.	CA	Contrecoeur	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.876777	-73.209987	12000.0						1988-09-04	4	9	1988	5248660	5248660	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000300		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Garneau, Yves			2024-01-24T16:38:20.768Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551010	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002529	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius helvus (Fr.) Fr.	Lactarius helvus (Fr.) Fr.	(Fr.) Fr.	CA	Saint-Majorique	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931221	-72.584529	5000.0						1995-08-27	27	8	1995	5248660	5248660	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002529		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.545Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4945871430	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239391785	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius helvus (Fr.) Fr.	Lactarius helvus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.225768	-66.372496	3.0						2024-08-21T11:02	21	8	2024	5248660	5248660	HUMAN_OBSERVATION	iNaturalist	Observations	239391785		David Malloch	2024-09-02T14:08:36	CC_BY_NC_4_0	David Malloch	David Malloch			2025-01-14T13:39:23.216Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4846779197	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/187314724	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius helvus (Fr.) Fr.	Lactarius helvus		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.61688	-64.05155	20.0						2023-10-12T13:15	12	10	2023	5248660	5248660	HUMAN_OBSERVATION	iNaturalist	Observations	187314724		Denis Gallant	2023-10-13T01:02:54	CC_BY_NC_4_0	Denis Gallant	Denis Gallant			2025-01-14T12:42:31.037Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4416973390	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184628534	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius helvus (Fr.) Fr.	Lactarius helvus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.024703	-71.895571	342.0						2023-09-23T12:23	23	9	2023	5248660	5248660	HUMAN_OBSERVATION	iNaturalist	Observations	184628534		Antoine Fortin	2023-09-24T02:06:16	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T12:40:11.344Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4414161502	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/182723632	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius helvus (Fr.) Fr.	Lactarius helvus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.909576	-72.391571							2023-09-10T14:41	10	9	2023	5248660	5248660	HUMAN_OBSERVATION	iNaturalist	Observations	182723632		Paul Vézina	2023-09-10T23:03:51	CC_BY_NC_4_0	Paul Vézina	Paul Vézina			2025-01-14T12:41:56.404Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4406536319	fb9d7c38-5759-4c30-9e09-5b6bd43f78a6	http://id.luomus.fi/MY.14952764	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius helvus (Fr.) Fr.	Lactarius helvus (Fr.:Fr.) Fr.		CA		Ontario	PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	45.35	-75.93							1958-09-11T00:00Z	11	9	1958	5248660	5248660	PRESERVED_SPECIMEN	H		http://id.luomus.fi/HA.H7080536				CC_BY_4_0		Groves, J. W.			2025-01-17T02:41:19.961Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
4166304552	695cef75-b65f-4776-b2ed-74565eebb16e	02-01000973424	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius aquifluus Peck	Lactarius aquifluus	Peck	CA	Route Principale, near Lac Grandpré & Lac Nadreau	Quebec	PRESENT		055bd978-2daa-4543-b3f0-44e0e87e86ca	47.455556	-71.245833							1981-08-15	15	8	1981	5248662	5248660	PRESERVED_SPECIMEN	AAFC	DAOM	180827		S.A. Redhead		CC_BY_4_0	©His Majesty the King in Right of Canada, as represented by the Minister of Agriculture and Agri-Food	M.E. Elliott foray group			2025-01-12T05:11:16.282Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4100050465	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	a08a94ee-7a13-4dc8-8dfb-bacb5d6ae186	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius helvus		SPECIES	Lactarius helvus (Fr.) Fr.	Lactarius helvus	(Fr.) Fr.	CA	Tourville	Quebec	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	47.1	-69.983333	18019.0						1955-09-17	17	9	1955	5248660	5248660	PRESERVED_SPECIMEN	BPI		BPI 759391		Groves, J. W.		CC0_1_0		Groves, J. W.; Jackson, H. A. C.			2025-01-15T04:59:41.781Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
