gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617549880	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002030	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo (Schwein.) Fr.	(Schwein.) Fr.	CA	Contrecoeur	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.876777	-73.209987	12000.0						1993-09-10	10	9	1993	7240044	7240044	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002030		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.927Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547949	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001190	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo (Schwein.) Fr.	(Schwein.) Fr.	CA	Contrecoeur	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.876777	-73.209987	12000.0						1990-09-01	1	9	1990	7240044	7240044	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001190		Archambault, Raymond		CC0_1_0	Université de Montréal Biodiversity Centre	Archambault, Raymond			2024-01-24T16:38:16.595Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617547721	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001091	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo (Schwein.) Fr.	(Schwein.) Fr.	CA	Contrecoeur	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.876777	-73.209987	12000.0						1990-08-12	12	8	1990	7240044	7240044	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001091		Archambault, Raymond		CC0_1_0	Université de Montréal Biodiversity Centre	Archambault, Raymond			2024-01-24T16:38:16.499Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4978428875	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/249764684	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.476431	-74.039209	500.0						2024-09-03T14:10:22	3	9	2024	7240044	7240044	HUMAN_OBSERVATION	iNaturalist	Observations	249764684		Chantal Gauthier	2024-10-30T15:11:47	CC_BY_NC_4_0	Chantal Gauthier	Chantal Gauthier			2025-01-14T12:56:09.428Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945994043	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241320966	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.485474	-75.787018	4.0						2024-09-12T14:05:32	12	9	2024	7240044	7240044	HUMAN_OBSERVATION	iNaturalist	Observations	241320966		benwelland	2024-09-12T18:06:02	CC_BY_NC_4_0	benwelland	benwelland			2025-01-14T13:44:05.323Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945926021	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241530290	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.369853	-75.792328	5.0						2024-09-13T11:07	13	9	2024	7240044	7240044	HUMAN_OBSERVATION	iNaturalist	Observations	241530290		Deborah Mosher	2024-09-13T20:57:57	CC_BY_NC_4_0	Deborah Mosher	Deborah Mosher			2025-01-14T13:40:38.254Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945791880	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/239236783	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.357075	-76.470612	170.0						2024-09-01T13:38:18	1	9	2024	7240044	7240044	HUMAN_OBSERVATION	iNaturalist	Observations	239236783		monchandail	2024-09-02T02:22:30	CC_BY_NC_4_0	wabakat3	wabakat3			2025-01-14T12:50:34.256Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945499935	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240598701	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.482639	-76.222749							2024-09-08T14:37:55	8	9	2024	7240044	7240044	HUMAN_OBSERVATION	iNaturalist	Observations	240598701		tjbonell	2024-09-08T18:39:07	CC_BY_NC_4_0	tjbonell	tjbonell			2025-01-14T13:40:07.442Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945492363	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241910530	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.110014	-76.343839	48.0						2024-09-15T12:29:21	15	9	2024	7240044	7240044	HUMAN_OBSERVATION	iNaturalist	Observations	241910530		Igor Khomenko	2024-09-15T17:13:41	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T13:43:52.961Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4937211819	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/238619941	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius indigo		SPECIES	Lactarius indigo (Schwein.) Fr.	Lactarius indigo		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.502051	-76.152694	6.0						2024-08-29T12:34:58	29	8	2024	7240044	7240044	HUMAN_OBSERVATION	iNaturalist	Observations	238619941		thrinley	2024-08-29T16:39:06	CC_BY_NC_4_0	thrinley	thrinley			2025-01-14T12:57:08.144Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
