gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
617555099,1989-08-23,1989,Québec,Lactarius salmonicolor,CMMF000657,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,8,10,{'RZ': 1.0},0.0033703726164918592,1,-0.0,[4.125],[10.75],[26.54321],[1073.572],[23.8],[-16.7],[40.5],[16.85],[-8.5],[16.85],[-9.650001],[1171.],[132.],[68.],[19.422709],[369.],[225.],[369.],[243.]
4976622413,2024-09-07T18:15:32,2024,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/240434060,POINT (-71.631707 45.855301),21E,-71.6316228587307,45.8561849458228,"-243207,28+212090,69",,,,,R,3,50,B,1A,40.0,R,75.0,14,50,"{'SB': 0.5, 'EB': 0.3, 'TO': 0.2}",0.0008879414230940587,3,1.0296530140645737,[3.95],[10.15],[24.695864],[1116.2701],[23.9],[-17.2],[41.1],[17.116667],[-4.366667],[17.116667],[-10.4],[1236.],[134.],[76.],[17.12216],[378.],[239.],[378.],[272.]
4950410491,2024-09-16T11:47,2024,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/242582201,POINT (-70.903096 45.48627),21E,-70.904182186745,45.4848688852685,"-188123,39+168630,56",CPR,1988.0,,,F,5,30,A,3AN,50.0,F,85.0,5,30,"{'FX': 0.9, 'RX': 0.1}",0.0017728294153241343,2,0.3250829733914482,[3.7125],[10.775],[26.409313],[1077.0564],[23.4],[-17.4],[40.8],[16.466667],[-4.4166665],[16.466667],[-10.083333],[1178.],[127.],[73.],[16.321491],[360.],[235.],[360.],[257.]
4416834300,2023-09-20T14:21:15,2023,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/184287763,POINT (-70.868147 45.52257),21E,-70.8686654505006,45.5236932241875,"-185202,37+172861,36",,,,,M,2,JIR,A,1BF,40.0,MF,75.0,17,JIN,"{'BP': 0.3, 'EO': 0.2, 'PE': 0.2, 'SB': 0.2, 'EN': 0.1}",0.0012371028643380906,5,1.5571130980576458,[3.8041666],[10.741667],[26.327614],[1077.2766],[23.5],[-17.3],[40.8],[16.583334],[-4.4333334],[16.583334],[-9.95],[1147.],[125.],[71.],[16.866009],[354.],[228.],[354.],[248.]
4407283934,2023-09-03T13:26:09,2023,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/181738071,POINT (-71.724883 45.352653),21E,-71.7242126219598,45.3533397694569,"-252998,90+156540,32",,,,,M,3,JIN,A,1A,40.0,MF,55.0,16,JIN,"{'BJ': 0.2, 'BP': 0.2, 'PE': 0.2, 'EO': 0.1, 'SB': 0.2, 'TO': 0.1}",0.0009597181897496786,6,1.7480673485460894,[4.7458334],[10.725],[26.158537],[1088.3943],[24.6],[-16.4],[41.],[17.6],[-8.083333],[17.6],[-9.316667],[1116.],[128.],[61.],[20.871384],[354.],[206.],[354.],[225.]
4405266193,2023-08-27T11:05:43,2023,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/180449665,POINT (-71.97921 45.7206),21E,-71.9800505918496,45.7203829174819,"-271066,37+198213,46",P,,,,R,6,10,B,1A,30.0,R,,3,10,{},0.0008681701891298714,0,-0.0,[4.4666667],[10.233334],[24.778048],[1116.1914],[24.4],[-16.9],[41.3],[17.583334],[-8.966667],[17.583334],[-9.9],[1169.],[130.],[65.],[20.494036],[369.],[218.],[369.],[240.]
4400188517,2023-08-16T09:31:22,2023,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/179174245,POINT (-71.171089 45.841217),21E,-71.1724366857244,45.8419852188117,"-207727,10+209138,60",,,,,M,3,JIN,C,1A,30.0,MR,85.0,16,JIN,"{'SB': 0.5, 'RX': 0.1, 'EO': 0.2, 'BP': 0.1, 'PE': 0.1}",0.0015512630191016955,5,1.3592367006650063,[4.0166664],[10.066667],[24.733824],[1100.8062],[23.7],[-17.],[40.7],[17.066668],[-4.15],[17.066668],[-10.133333],[1130.],[132.],[69.],[19.322834],[357.],[220.],[357.],[241.]
3772983441,2021-09-26T10:23:57,2021,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/96245681,POINT (-70.942371 45.717073),21E,-70.9425971565139,45.715472242307,"-190250,34+194367,04",CT,1990.0,,,M,3,30,B,1A,40.0,MF,85.0,13,30,"{'BP': 0.3, 'EO': 0.3, 'PE': 0.1, 'SB': 0.3}",0.0016166545581765964,4,1.313834033192747,[3.1416667],[10.15],[25.186104],[1091.5186],[22.6],[-17.7],[40.300003],[16.083334],[-5.083333],[16.083334],[-10.833333],[1259.],[137.],[80.],[16.576694],[386.],[252.],[386.],[274.]
3772763451,2021-09-28T17:37:46Z,2021,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/96521447,POINT (-70.899621 45.729141),21E,-70.8993581959894,45.7292957203642,"-186830,74+195782,83",,,,,M,3,50,B,1A,30.0,MR,95.0,14,50,"{'SB': 0.5, 'RX': 0.1, 'BP': 0.2, 'EO': 0.1, 'PE': 0.1}",0.0003049661277707038,5,1.3592367006650063,[3.2833333],[10.333333],[25.45156],[1094.9519],[22.9],[-17.7],[40.6],[16.266666],[-4.983333],[16.266666],[-10.75],[1204.],[132.],[76.],[17.463243],[374.],[237.],[374.],[261.]
4522594584,2023-08-24,2023,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/198389152,POINT (-71.389439 46.961618),21L,-71.3912447909061,46.9623573719129,"-219574,76+333994,77",,,,,M,2,JIR,A,3AN,50.0,MR,35.0,18,JIN,"{'ML': 0.5, 'SB': 0.1, 'TO': 0.1, 'PE': 0.2, 'FH': 0.1}",0.0019512948578197748,5,1.3592367006650063,[3.575],[10.066667],[23.911322],[1138.5946],[24.],[-18.1],[42.1],[16.033333],[-4.75],[16.966667],[-11.183333],[1323.],[137.],[78.],[17.051212],[392.],[254.],[381.],[283.]
3915495660,2022-09-03T15:41:12,2022,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/133787000,POINT (-71.479155 46.842737),21L,-71.4804811106075,46.8426748178781,"-226910,28+321040,43",,,,,M,3,JIR,A,1A,40.0,MF,75.0,16,JIN,"{'EO': 0.4, 'BJ': 0.2, 'SB': 0.3, 'TO': 0.1}",0.0013275676855027234,4,1.2798542258336674,[3.2749999],[9.95],[23.634205],[1145.1111],[23.7],[-18.4],[42.1],[15.816667],[-5.1833334],[16.833334],[-11.45],[1359.],[140.],[83.],[14.863845],[393.],[271.],[390.],[299.]
3456249355,2021-10-06,2021,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/104459798,POINT (-71.236218 46.920848),21L,-71.2347842666099,46.9208594198768,"-207947,87+329032,26",,,,,M,2,VIR,C,1A,30.0,MF,75.0,18,VIN,"{'BJ': 0.3, 'EO': 0.2, 'ES': 0.1, 'HG': 0.1, 'SB': 0.2, 'EP': 0.1}",0.0014337788697829856,6,1.6957425341696346,[3.3958333],[10.308333],[23.917248],[1164.3228],[24.5],[-18.6],[43.1],[16.116667],[-5.1],[17.316668],[-11.533334],[1385.],[141.],[87.],[13.877102],[399.],[280.],[395.],[309.]
1135071331,2007-08-30,2007,Québec,Lactarius salmonicolor,CMMF009887,POINT (-71.306427 46.964353),21L,-71.3067062763375,46.9670278941486,"-213011,91+334224,46",,,,,F,2,JIN,D,1A,30.0,F,75.0,18,JIN,"{'PE': 0.3, 'BJ': 0.2, 'EO': 0.2, 'FT': 0.1, 'EP': 0.1, 'SB': 0.1}",0.002689433765476705,6,1.6957425341696346,[3.1416667],[10.033333],[24.003191],[1132.9584],[23.4],[-18.4],[41.8],[15.55],[-5.15],[16.5],[-11.483334],[1378.],[141.],[85.],[15.069558],[402.],[274.],[395.],[303.]
1135071047,2007-07-16,2007,Québec,Lactarius salmonicolor,CMMF009540,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
1135070425,2006-08-24,2006,Québec,Lactarius salmonicolor,CMMF009042,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
1135069318,1976-07-20,1976,Québec,Lactarius salmonicolor,CMMF007852,POINT (-70.128333 46.638667),21L,-70.1274996000133,46.6386660711901,"-124449,93+295117,61",,,,,M,2,JIR,A,1A,30.0,MF,75.0,18,JIN,"{'PE': 0.3, 'BP': 0.2, 'EO': 0.2, 'SB': 0.2, 'EU': 0.1}",0.0008334005042745343,5,1.5571130980576458,[2.5916667],[10.633333],[25.137903],[1127.4283],[23.2],[-19.1],[42.300003],[16.033333],[-5.5333333],[16.033333],[-11.883333],[1212.],[130.],[76.],[16.066036],[368.],[246.],[368.],[272.]
1135069300,1979-08-11,1979,Québec,Lactarius salmonicolor,CMMF007853,POINT (-70.128333 46.638667),21L,-70.1274996000133,46.6386660711901,"-124449,93+295117,61",,,,,M,2,JIR,A,1A,30.0,MF,75.0,18,JIN,"{'PE': 0.3, 'BP': 0.2, 'EO': 0.2, 'SB': 0.2, 'EU': 0.1}",0.0008334005042745343,5,1.5571130980576458,[2.5916667],[10.633333],[25.137903],[1127.4283],[23.2],[-19.1],[42.300003],[16.033333],[-5.5333333],[16.033333],[-11.883333],[1212.],[130.],[76.],[16.066036],[368.],[246.],[368.],[272.]
4982336235,2022-08-23T11:35:04,2022,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/132197057,POINT (-70.364608 47.459962),21M,-70.3662920158668,47.4593755726265,"-140330,98+386634,58",,,,,F,1,70,D,5A,30.0,F,65.0,24,70,"{'PE': 0.7, 'BJ': 0.2, 'ES': 0.1}",0.0017832011956096588,3,0.8018185525433372,[3.4541667],[9.308333],[23.387772],[1080.5438],[22.7],[-17.1],[39.800003],[13.616667],[-10.383333],[16.25],[-10.383333],[937.],[95.],[58.],[15.216516],[277.],[187.],[271.],[187.]
1135069572,2004-09-08,2004,Québec,Lactarius salmonicolor,CMMF008082,POINT (-70.048867 47.43365),21M,-70.0484926939426,47.4347287322167,"-116497,59+383292,72",,,,,R,3,JIN,A,8AY,30.0,R,65.0,12,JIN,"{'SB': 0.4, 'EB': 0.2, 'TO': 0.2, 'FX': 0.1, 'PE': 0.1}",0.0011418267031140057,5,1.4708084763221112,[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38]
4413965125,2023-09-06T15:48,2023,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/182805623,POINT (-66.095007 48.815347),22B,-66.0964880631369,48.8157134560458,"+175532,57+537829,95",,,,,R,3,VIR,A,7T,50.0,R,45.0,13,VIN,"{'EN': 0.5, 'EB': 0.2, 'ML': 0.1, 'SB': 0.1, 'TO': 0.1}",0.0015257254173036642,5,1.3592367006650063,[0.89166665],[9.116667],[23.021885],[1076.3234],[20.4],[-19.2],[39.6],[-9.45],[-7.083333],[14.016666],[-12.733334],[1170.],[120.],[73.],[16.46424],[344.],[230.],[316.],[299.]
4075633744,2022-07-28T15:32:37,2022,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/129152074,POINT (-67.546883 48.761762),22B,-67.546664906559,48.7610246070465,"+69699,66+529354,92",,,,,F,2,JIN,D,8AM,20.0,F,85.0,19,JIN,"{'ES': 0.9, 'FT': 0.1}",0.0007689688659951819,2,0.3250829733914482,[2.5749998],[9.366667],[22.789942],[1110.6704],[22.4],[-18.7],[41.1],[-1.6666666],[-5.75],[15.833333],[-11.666667],[1037.],[101.],[67.],[13.600754],[287.],[204.],[275.],[255.]
1806349821,2013-08-10,2013,Québec,Lactarius salmonicolor,https://www.inaturalist.org/observations/9573773,POINT (-67.531 48.84385),22B,-67.5247056042195,48.839779865036,"+71256,29+538170,98",,,,,F,3,JIR,D,6S,20.0,F,55.0,15,JIN,"{'PE': 0.5, 'BP': 0.3, 'EB': 0.1, 'RX': 0.1}",0.007495693221229222,4,1.1682824501765625,[3.1458335],[9.391666],[23.1893],[1091.0701],[22.7],[-17.8],[40.5],[13.450001],[-5.0166664],[16.233334],[-10.799999],[988.],[99.],[62.],[13.444025],[270.],[197.],[262.],[237.]
1412703311,1972-08-21,1972,Québec,Lactarius salmonicolor,CMMF011745,POINT (-67.590575 48.434787),22B,-67.5891949349253,48.4355048389969,"+67115,50+493352,34",,,,,F,3,70,B,8A,40.0,F,75.0,16,70,"{'BP': 0.5, 'PE': 0.3, 'FN': 0.1, 'SB': 0.1}",0.0015555939174062366,4,1.1682824501765625,[1.4250001],[9.933333],[23.538706],[1138.2811],[21.9],[-20.3],[42.199997],[15.016666],[-6.983333],[15.016666],[-13.233334],[1145.],[116.],[73.],[13.555181],[322.],[229.],[322.],[264.]
