gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4976382423,2024-09-07T09:37:54,2024,Québec,Lactarius torminosus,https://www.inaturalist.org/observations/240432493,POINT (-71.801799 46.540028),21L,-71.8029742584134,46.5401568699114,"-252997,20+288605,34",,,,,M,2,JIN,A,5S,50.0,MM,95.0,17,JIN,"{'SB': 0.4, 'PU': 0.1, 'BJ': 0.2, 'EO': 0.2, 'PE': 0.1}",0.0011823027498594858,5,1.4708084763221114,[4.2708335],[10.325],[24.12383],[1157.9183],[24.7],[-18.1],[42.800003],[17.783333],[-4.4666667],[17.783333],[-10.716666],[1148.],[124.],[66.],[19.005089],[346.],[216.],[346.],[238.]
1135071419,2007-09-10,2007,Québec,Lactarius torminosus,CMMF009981,POINT (-71.284979 46.950203),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.0009568191481111001,6,1.6094379124341,[3.25],[10.],[23.866348],[1137.5712],[23.6],[-18.3],[41.9],[15.7],[-5.0833335],[16.683334],[-11.433333],[1370.],[140.],[84.],[14.961075],[399.],[273.],[393.],[300.]
1135071405,2007-08-29,2007,Québec,Lactarius torminosus,CMMF009886,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1135070487,2006-08-23,2006,Québec,Lactarius torminosus,CMMF009021,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1135070448,2006-08-29,2006,Québec,Lactarius torminosus,CMMF009062,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1135066654,2007-09-25,2007,Québec,Lactarius torminosus,CMMF010083,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1412703076,1944-09-09,1944,Québec,Lactarius torminosus,CMMF011570,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30.0,MR,65.0,12,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0077904354444864685,5,1.3592367006650063,[4.2000003],[9.566667],[23.56322],[1111.9741],[24.3],[-16.3],[40.6],[16.516666],[-4.1666665],[17.466667],[-10.],[936.],[94.],[59.],[13.417938],[271.],[193.],[267.],[210.]
1841192455,2009-09-06T14:56:08,2009,Québec,Lactarius torminosus,https://www.inaturalist.org/observations/10888489,POINT (-74.912595 45.94733),31G,-74.9135721101478,45.9460523405795,"-496812,48+239075,95",,,CP,,M,2,JIR,B,2BE,20.0,MF,55.0,17,JIN,"{'PE': 0.3, 'BJ': 0.1, 'EO': 0.1, 'FH': 0.1, 'SB': 0.2, 'EU': 0.1, 'RX': 0.1}",0.0016084644340902982,7,1.8343719702816235,[3.9458334],[11.291666],[25.721336],[1161.3344],[25.],[-18.9],[43.9],[17.416666],[-10.05],[17.416666],[-11.116667],[1075.],[109.],[64.],[18.160955],[320.],[207.],[320.],[215.]
1412709338,1977-08-24,1977,Québec,Lactarius torminosus,CMMF017843,POINT (-74.002148 45.990692),31G,-74.0020258348292,45.9910917116154,"-425815,79+238206,80",,,,,F,2,VIN,D,1AY,30.0,F,85.0,20,VIN,"{'BP': 0.4, 'EO': 0.2, 'PE': 0.2, 'FT': 0.1, 'RX': 0.1}",0.0004179637597201276,5,1.4708084763221112,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
1135069097,1979-09-15,1979,Québec,Lactarius torminosus,CMMF007631,POINT (-74.003633 45.989333),31G,-74.0037398207613,45.9880375679074,"-426019,46+237738,62",,,,,F,2,VIR,D,1AY,31.0,F,75.0,19,VIN,"{'BP': 0.5, 'EO': 0.2, 'PE': 0.1, 'EB': 0.1, 'SB': 0.1}",0.0012998288278055054,5,1.3592367006650063,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
