gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4901050343,2024-06-22T09:54:38,2024.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/224395480,POINT (-71.558497 45.088215),21E,-71.558438110441,45.089800808686,"-241171,46+126651,31",CT,1992.0,,,M,3,30,C,1A,30.0,MR,65.0,13,30,"{'SB': 0.6, 'BP': 0.2, 'EO': 0.1, 'PE': 0.1}",0.001586901751451218,4,1.0888999753452235,[3.9375],[10.724999],[26.679104],[1066.4088],[23.4],[-16.8],[40.199997],[16.55],[-8.533334],[16.55],[-9.766666],[1166.],[131.],[68.],[18.942654],[367.],[228.],[367.],[241.]
4863872062,2023-10-27T12:52:21,2023.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/214713014,POINT (-71.860611 45.370581),21E,-71.8590192323505,45.374342013183,"-263369,25+159351,98",,,,,F,2,JIR,C,3AN,40.0,F,55.0,20,JIN,"{'PA': 0.3, 'EA': 0.2, 'EO': 0.2, 'OR': 0.2, 'FR': 0.1}",0.004083986338458186,5,1.5571130980576458,[5.6291666],[10.991667],[26.358913],[1106.1799],[25.9],[-15.8],[41.7],[18.683334],[-7.4666667],[18.683334],[-8.65],[1036.],[123.],[52.],[24.753313],[340.],[174.],[340.],[193.]
4413666013,2023-09-08T07:59:45,2023.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/182312968,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,16,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",0.0012410549294449833,5,1.4708084763221112,[5.0041666],[10.591667],[25.583736],[1109.9763],[25.],[-16.4],[41.4],[18.066668],[-8.333333],[18.066668],[-9.283333],[1144.],[129.],[59.],[22.326933],[368.],[204.],[368.],[225.]
4006678357,2020-08-19T15:29:16,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/56960953,POINT (-71.852676 45.370648),21E,-71.8515684830868,45.3702585041827,"-262679,12+158793,83",,,,,F,2,JIN,B,3AN,40.0,F,75.0,19,JIN,"{'EO': 0.3, 'PA': 0.2, 'BJ': 0.1, 'EA': 0.1, 'ES': 0.1, 'PE': 0.1, 'RX': 0.1}",0.0011740105215621102,7,1.8343719702816235,[5.695833],[11.058333],[26.455341],[1105.7072],[26.],[-15.8],[41.8],[18.75],[-7.4],[18.75],[-8.583333],[1037.],[121.],[53.],[23.778776],[338.],[177.],[338.],[197.]
4006534407,2021-09-25T12:47:10,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/96104022,POINT (-71.881767 45.376717),21E,-71.8813634894606,45.376975559642,"-265190,82+159728,40",,,,,F,2,JIR,C,1A,30.0,F,95.0,21,50,"{'PE': 0.7, 'ES': 0.2, 'EO': 0.1}",0.0004792429904309685,3,0.8018185525433372,[5.6208334],[10.841667],[25.9992],[1109.7102],[25.9],[-15.8],[41.7],[18.75],[-7.4833336],[18.75],[-8.683333],[1027.],[126.],[48.],[28.159327],[348.],[162.],[348.],[180.]
3773570296,2021-09-07T17:33:51,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/115962124,POINT (-71.903717 45.366055),21E,-71.9036669731713,45.3670973555911,"-266880,21+158618,04",,,,,F,1,JIN,C,1AY,30.0,F,75.0,23,JIN,"{'BJ': 0.2, 'EO': 0.2, 'ES': 0.2, 'FR': 0.2, 'HG': 0.1, 'RX': 0.1}",0.0010435553947344496,6,1.7480673485460894,[5.2125],[10.558333],[25.689375],[1101.2908],[25.2],[-15.9],[41.1],[18.216667],[-7.7999997],[18.216667],[-8.983334],[1064.],[128.],[52.],[26.5892],[354.],[175.],[354.],[194.]
3385123857,2021-09-14T10:16:16,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/94822061,POINT (-71.828961 45.356818),21E,-71.8295349398868,45.3577367584084,"-261143,91+157402,40",,,,,R,3,30,C,1A,33.0,R,25.0,15,30,"{'PB': 0.9, 'EO': 0.1}",0.0010832931305339026,2,0.3250829733914482,[5.366667],[10.966666],[26.425703],[1097.589],[25.5],[-16.],[41.5],[18.333334],[-7.633333],[18.333334],[-8.8],[1039.],[122.],[53.],[23.937384],[338.],[177.],[338.],[197.]
3333265564,2021-07-17T10:51,2021.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/87951009,POINT (-71.930964 45.419239),21E,-71.9314535420994,45.419158498993,"-268806,06+164605,32",,,,,M,2,70,B,1A,40.0,MR,85.0,19,70,"{'EU': 0.5, 'SE': 0.1, 'TO': 0.1, 'EO': 0.2, 'BJ': 0.1}",0.0004961167999719614,5,1.3592367006650063,[5.204167],[10.675],[25.847458],[1102.4425],[25.2],[-16.1],[41.300003],[18.216667],[-7.883333],[18.216667],[-9.016666],[1053.],[128.],[50.],[27.352573],[354.],[169.],[354.],[189.]
2883079660,2020-08-21T14:09:55,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/61937354,POINT (-70.69421 45.396416),21E,-70.6935969284236,45.3966003211387,"-171957,98+158280,44",,,,,M,3,50,B,2A,20.0,MR,95.0,14,50,"{'SB': 0.5, 'EU': 0.2, 'BP': 0.2, 'PE': 0.1}",0.0006401804745187734,4,1.2206072645530173,[3.5041668],[11.475],[27.784504],[1071.4167],[23.4],[-17.9],[41.3],[16.216667],[-4.2833333],[16.216667],[-10.266666],[1120.],[117.],[68.],[16.647028],[341.],[221.],[341.],[239.]
2862486411,2020-07-12T19:33,2020.0,Québec,Laetiporus sulphureus,https://www.inaturalist.org/observations/52879351,POINT (-71.895991 45.420282),21E,-71.896190226164,45.4218575900138,"-266192,72+164679,85",,,,,F,1,50,D,2BD,20.0,F,75.0,22,50,"{'PE': 0.4, 'FR': 0.3, 'EO': 0.2, 'ES': 0.1}",0.001588135685641978,4,1.2798542258336674,[5.4125],[10.825],[26.084337],[1104.1515],[25.5],[-16.],[41.5],[18.433332],[-7.7],[18.433332],[-8.85],[1049.],[127.],[50.],[26.54842],[350.],[170.],[350.],[188.]
