gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4872122306,2023-11-06T13:51:21,2023.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/190314688,POINT (-71.918853 45.380642),21E,-71.9182193736625,45.3793151931858,"-267980,68+160126,07",,,,,F,2,50,C,1AY,30.0,F,95.0,19,50,"{'EO': 0.4, 'FR': 0.3, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1}",0.0014703396402807182,5,1.4184836619456564,[5.383333],[10.616667],[25.644123],[1109.2756],[25.5],[-15.9],[41.4],[18.5],[-7.7166667],[18.5],[-8.916667],[1077.],[130.],[52.],[26.338058],[358.],[178.],[358.],[195.]
4442497041,2023-09-23T15:59,2023.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/187207058,POINT (-71.209069 45.483669),21E,-71.2084938537288,45.4826973164811,"-211935,28+169241,56",,,,,F,2,VIN,B,1A,30.0,F,65.0,19,VIN,"{'BJ': 0.5, 'EO': 0.2, 'ES': 0.2, 'RX': 0.1}",0.001129142193958211,4,1.2206072645530173,[3.7458334],[10.475],[25.928217],[1079.2832],[23.2],[-17.2],[40.4],[16.483334],[-4.15],[16.483334],[-10.166667],[1291.],[140.],[82.],[15.542287],[383.],[259.],[383.],[286.]
4442469036,2023-10-16T19:29:12,2023.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/187839774,POINT (-71.90374 45.373992),21E,-71.9025111059729,45.3768921052035,"-266784,82+159837,53",,,,,F,2,JIR,D,1AM,20.0,F,95.0,20,JIN,"{'EO': 0.3, 'ES': 0.2, 'BG': 0.1, 'BJ': 0.1, 'FR': 0.1, 'FT': 0.1, 'TA': 0.1}",0.003149728674219691,7,1.8343719702816235,[5.25],[10.533333],[25.628548],[1104.2892],[25.2],[-15.9],[41.1],[18.3],[-7.7833333],[18.3],[-8.966666],[1083.],[130.],[54.],[25.773554],[358.],[182.],[358.],[200.]
4413829180,2023-09-14T12:51:41,2023.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/183235271,POINT (-71.848854 45.365479),21E,-71.8501108553304,45.3633043452582,"-262699,00+158070,64",,,,,M,1,VIN,D,2AE,10.0,MM,95.0,25,VIN,"{'PU': 0.3, 'EB': 0.1, 'PB': 0.1, 'EO': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1}",0.002511734175342033,7,1.8343719702816235,[5.6],[11.083334],[26.515152],[1103.1299],[25.9],[-15.9],[41.8],[18.633333],[-7.4666667],[18.633333],[-8.633333],[1039.],[122.],[53.],[23.698547],[338.],[178.],[338.],[199.]
4413706253,2023-09-13T07:28:15,2023.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/183070551,POINT (-71.995144 45.577185),21E,-71.9958224440115,45.5782241973158,"-273083,42+182419,75",,,,,F,3,30,B,1A,40.0,F,55.0,16,30,"{'EO': 0.4, 'BG': 0.2, 'PE': 0.2, 'BJ': 0.1, 'FH': 0.1}",0.0012410549294449833,5,1.4708084763221112,[5.0041666],[10.591667],[25.583736],[1109.9763],[25.],[-16.4],[41.4],[18.066668],[-8.333333],[18.066668],[-9.283333],[1144.],[129.],[59.],[22.326933],[368.],[204.],[368.],[225.]
4607090733,2022-09-08T17:41:20,2022.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/134242814,POINT (-71.333593 46.827129),21L,-71.3353212930997,46.8283115735181,"-215936,36+318907,36",,,,,F,2,VIR,B,5A,30.0,F,65.0,18,VIN,"{'PA': 0.3, 'FN': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EO': 0.1, 'FH': 0.1, 'SE': 0.1}",0.0020941530899608782,7,1.8343719702816235,[4.8416667],[10.400001],[23.85321],[1188.815],[26.5],[-17.1],[43.6],[17.783333],[-9.133333],[19.05],[-10.4],[1250.],[131.],[71.],[17.037874],[375.],[247.],[368.],[258.]
4606906444,2023-10-21T14:37:31,2023.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/188438570,POINT (-71.387467 46.741886),21L,-71.3865279541209,46.7430566912473,"-220218,22+309577,06",,,,,F,2,JIN,A,5S,20.0,F,85.0,18,JIN,"{'EO': 0.4, 'ES': 0.2, 'FT': 0.2, 'EB': 0.1, 'PB': 0.1}",0.0015007748530555857,5,1.4708084763221112,[4.445833],[9.975],[23.63744],[1151.9716],[25.2],[-17.],[42.2],[17.133333],[-9.216666],[18.1],[-10.333333],[1217.],[127.],[70.],[16.6143],[365.],[241.],[356.],[258.]
4606660897,2023-08-21,2023.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/198890462,POINT (-71.214503 46.910459),21L,-71.2148628019427,46.9096192774913,"-206419,69+327696,89",,,,,F,2,VIN,C,1A,30.0,F,85.0,20,VIN,"{'HG': 0.5, 'EO': 0.2, 'ES': 0.2, 'BJ': 0.1}",0.0009135597022608426,4,1.2206072645530173,[3.8875],[10.241667],[23.87335],[1162.8964],[24.9],[-18.],[42.9],[16.6],[-9.783334],[17.75],[-11.05],[1330.],[138.],[79.],[15.944893],[390.],[263.],[386.],[284.]
4506304331,2023-10-02,2023.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/193380550,POINT (-71.214202 46.914954),21L,-71.2138115996593,46.9153523948492,"-206320,91+328324,57",,,,,F,3,30,C,1A,30.0,F,85.0,12,30,"{'EO': 0.3, 'BP': 0.2, 'BJ': 0.1, 'FN': 0.1, 'FT': 0.1, 'SB': 0.2}",0.0005577910736930932,6,1.6957425341696346,[3.8875],[10.241667],[23.87335],[1162.8964],[24.9],[-18.],[42.9],[16.6],[-9.783334],[17.75],[-11.05],[1330.],[138.],[79.],[15.944893],[390.],[263.],[386.],[284.]
4129834477,2022-10-05,2022.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/141168303,POINT (-71.339871 46.789132),21L,-71.3401360077422,46.788197225471,"-216472,58+314598,42",,,,,F,2,VIR,A,5A,40.0,F,75.0,20,VIN,"{'EO': 0.5, 'BJ': 0.2, 'ES': 0.1, 'PB': 0.1, 'SE': 0.1}",0.0009716133611130477,5,1.3592367006650063,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
4129833431,2022-09-29,2022.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/141815777,POINT (-71.218831 46.912786),21L,-71.2183948270753,46.9132034268062,"-206672,22+328104,43",,,DP,,F,2,VIN,C,1A,30.0,F,75.0,20,VIN,"{'HG': 0.6, 'ES': 0.2, 'BJ': 0.1, 'EO': 0.1}",0.0006037316943573494,4,1.0888999753452235,[3.7958333],[10.241667],[23.87335],[1163.7566],[24.8],[-18.1],[42.9],[16.516666],[-4.7166667],[17.666666],[-11.150001],[1346.],[139.],[82.],[14.957371],[392.],[270.],[388.],[292.]
4129758462,2022-10-28,2022.0,Québec,Lenzites betulinus,https://www.inaturalist.org/observations/141074194,POINT (-71.235116 46.914121),21L,-71.2367984150602,46.9149064525761,"-208063,41+328344,40",,,DP,,F,2,VIN,C,1A,30.0,F,75.0,20,VIN,"{'ES': 0.5, 'HG': 0.3, 'BJ': 0.1, 'EO': 0.1}",0.0018567326636030465,4,1.1682824501765625,[3.6708333],[10.325],[23.900463],[1169.4336],[24.9],[-18.3],[43.199997],[16.45],[-4.866667],[17.65],[-11.333333],[1367.],[139.],[84.],[14.170418],[395.],[277.],[391.],[299.]
