gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
3881507901,2022-07-31T19:33:44,2022,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/128894467,POINT (-71.966447 45.364383),21E,-71.967677945972,45.3667487160823,"-271944,59+158886,82",,,,,F,2,JIR,B,1A,30.0,F,65.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'FN': 0.1, 'FR': 0.1, 'OR': 0.1, 'PB': 0.1, 'RX': 0.1}",0.0026668034363332635,7,1.8343719702816235,[5.429167],[10.775],[25.963856],[1104.5782],[25.6],[-15.9],[41.5],[18.483334],[-7.65],[18.483334],[-8.816667],[1063.],[125.],[52.],[25.053432],[350.],[178.],[350.],[197.]
3321029307,2021-06-29T13:15:52,2021,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/84994418,POINT (-71.964343 45.377337),21E,-71.962799246842,45.377410531652,"-271484,26+160085,51",,,,,M,1,VIR,D,1A,30.0,MF,75.0,24,VIN,"{'ES': 0.3, 'BG': 0.1, 'EO': 0.1, 'FT': 0.1, 'PB': 0.4}",0.0015455033861791188,5,1.4184836619456562,[5.4583335],[10.833333],[25.979216],[1107.345],[25.7],[-16.],[41.7],[18.533333],[-7.666667],[18.533333],[-8.833333],[1074.],[127.],[52.],[25.532015],[356.],[179.],[356.],[197.]
4946581697,2024-09-08T08:58:04,2024,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/240743848,POINT (-71.250105 46.781447),21L,-71.2533965184884,46.779100247136,"-209838,28+313265,39",,,,,F,2,VIN,B,5S,20.0,F,75.0,21,VIN,"{'FT': 0.5, 'ES': 0.4, 'EO': 0.1}",0.004042442697694649,3,0.9433483923290391,[5.0833335],[10.333334],[23.538345],[1197.481],[27.1],[-16.8],[43.9],[18.166666],[-8.933333],[19.566668],[-10.133333],[1243.],[132.],[70.],[16.960426],[372.],[245.],[367.],[257.]
4177360994,2023-08-13T14:51:37,2023,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/178251696,POINT (-71.237972 46.806068),21L,-71.2413595058934,46.8017853024566,"-208984,18+315815,55",,,,,F,1,VIR,B,5S,20.0,F,65.0,24,VIN,"{'ES': 0.6, 'FT': 0.4}",0.005460466502606355,2,0.6730116670092565,[5.1958337],[10.425],[23.693182],[1194.9391],[27.2],[-16.8],[44.],[18.266666],[-8.8],[19.633333],[-10.016666],[1267.],[135.],[70.],[17.536577],[379.],[251.],[378.],[253.]
4126803934,2021-07-27T10:46:44,2021,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/88821547,POINT (-71.338774 46.849287),21L,-71.3385384874905,46.8524846784926,"-216068,24+321718,46",,,,,F,2,JIR,B,5A,40.0,F,35.0,17,JIN,"{'FO': 0.3, 'EO': 0.2, 'FN': 0.2, 'PA': 0.2, 'FT': 0.1}",0.0032063396395576,5,1.5571130980576458,[4.708333],[10.383333],[23.814983],[1186.7772],[26.4],[-17.2],[43.6],[17.633333],[-9.233334],[18.9],[-10.516666],[1273.],[133.],[72.],[16.896172],[382.],[252.],[372.],[263.]
4075580393,2020-08-09T17:52:17Z,2020,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/55937522,POINT (-71.385903 46.736907),21L,-71.3829077754302,46.7354495824852,"-219968,06+308880,19",,,,,F,2,JIR,F,R1A,20.0,F,85.0,20,JIN,"{'FT': 0.4, 'ES': 0.3, 'EO': 0.1, 'RX': 0.1, 'SB': 0.1}",0.003330981242214783,5,1.4184836619456564,[4.516667],[9.9],[23.51544],[1149.5697],[25.2],[-16.9],[42.1],[17.183332],[-4.1],[18.15],[-10.216666],[1200.],[127.],[69.],[17.365906],[361.],[232.],[355.],[255.]
4067271977,2005-12-22T22:29,2005,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/151296352,POINT (-71.1715 46.817895),21L,-71.1685810101185,46.8193036624388,"-203382,03+317478,00",,,,,F,1,VIN,A,5S,30.0,F,65.0,25,VIN,"{'ES': 0.5, 'EA': 0.2, 'FT': 0.2, 'FN': 0.1}",0.003241115825567308,4,1.2206072645530173,[5.1875],[9.941667],[23.120155],[1170.1964],[26.5],[-16.5],[43.],[18.166666],[-8.566667],[19.333334],[-9.65],[1229.],[132.],[68.],[19.58148],[374.],[227.],[368.],[249.]
4133695830,2023-06-09T06:07,2023,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/167085608,POINT (-76.478898 45.924667),31F,-76.4791908832962,45.9252756852537,"-617800,92+248893,68",,,,,F,2,JIN,B,1AM,30.0,F,85.0,19,JIN,"{'ES': 0.4, 'HG': 0.3, 'EO': 0.1, 'FT': 0.1, 'PE': 0.1}",0.0006754837994104536,5,1.4184836619456564,[3.8500001],[11.133333],[25.245655],[1167.5654],[25.1],[-19.],[44.1],[16.566668],[-10.183333],[17.383333],[-11.283334],[951.],[95.],[57.],[14.494277],[272.],[193.],[268.],[196.]
4935981639,2023-10-29T08:39:39,2023,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/189341414,POINT (-74.122666 45.866149),31G,-74.1215859459367,45.8681289430124,"-436164,12+225240,96",,,,,F,3,50,D,1AY,20.0,F,85.0,15,50,"{'EO': 0.3, 'ES': 0.2, 'HG': 0.2, 'BP': 0.1, 'PE': 0.1, 'SB': 0.1}",0.002255369395907024,6,1.6957425341696346,[4.225],[10.283334],[24.082748],[1155.8575],[24.8],[-17.9],[42.699997],[17.8],[-9.516666],[17.8],[-10.616667],[1143.],[112.],[72.],[13.082998],[315.],[234.],[315.],[258.]
4075759413,2020-08-24T20:33:36,2020,Québec,Leucocoprinus birnbaumii,https://www.inaturalist.org/observations/57561868,POINT (-75.701272 45.476545),31G,-75.7042715147527,45.4691134101712,"-562933,33+192129,82",,,,,F,2,JIN,C,3AN,41.0,F,65.0,19,JIN,"{'EA': 0.4, 'FT': 0.3, 'FR': 0.2, 'EO': 0.1}",0.008014088602908732,4,1.2798542258336674,[5.9708333],[10.725],[24.71198],[1171.4142],[27.2],[-16.2],[43.4],[19.766666],[-7.916667],[19.766666],[-9.15],[946.],[92.],[57.],[15.395413],[273.],[184.],[273.],[197.]
