gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4416639299,2023-09-23T15:38:45,2023,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/184651903,POINT (-71.239197 46.901312),21L,-71.2373105918105,46.9018331735774,"-208095,82+326997,98",,,,,M,2,JIN,B,1A,30.0,MF,75.0,18,JIN,"{'EO': 0.3, 'BJ': 0.2, 'BP': 0.1, 'PE': 0.1, 'SB': 0.2, 'EB': 0.1}",0.0019570788832388676,6,1.6957425341696346,[3.9958332],[10.341666],[23.883757],[1173.3818],[25.3],[-18.],[43.3],[16.8],[-4.55],[18.016666],[-11.066667],[1340.],[138.],[81.],[15.168445],[392.],[268.],[387.],[289.]
4014933427,2021-07-31T11:48,2021,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/90272948,POINT (-71.314305 46.75133),21L,-71.3156089242141,46.7509769434767,"-214781,29+310414,71",,,,,F,2,JIN,F,R1A,10.0,F,75.0,18,JIN,"{'CR': 0.5, 'ES': 0.2, 'FT': 0.2, 'EO': 0.1}",0.0013508764802009359,4,1.2206072645530173,[4.7666664],[10.],[23.419205],[1166.2008],[25.9],[-16.8],[42.699997],[17.583334],[-9.016666],[18.7],[-10.133333],[1229.],[130.],[69.],[16.826548],[368.],[244.],[363.],[255.]
3892470145,2022-08-15T16:34:55,2022,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/131007381,POINT (-71.42858 46.840545),21L,-71.4303118690304,46.8393293933013,"-223107,51+320586,87",,,,,F,2,VIR,B,1A,30.0,F,75.0,20,VIN,"{'ES': 0.6, 'BJ': 0.1, 'EO': 0.1, 'FR': 0.1, 'HG': 0.1}",0.0021159087845206244,5,1.2275294114572126,[3.8083334],[10.05],[23.758865],[1152.7158],[24.5],[-17.8],[42.3],[16.433332],[-4.7166667],[17.433332],[-11.033333],[1293.],[135.],[77.],[16.412394],[383.],[253.],[377.],[279.]
2423019136,2019-09-09T08:18,2019,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/32521619,POINT (-71.334104 46.786848),21L,-71.3336058835573,46.7854218465545,"-215872,16+314260,70",,,,,F,3,JIR,A,5A,40.0,F,65.0,14,JIN,"{'EO': 0.4, 'PE': 0.3, 'FH': 0.1, 'FN': 0.1, 'FT': 0.1}",0.0015106401426546502,5,1.4184836619456564,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
1135066746,2007-10-06,2007,Québec,Lycoperdon marginatum,CMMF010159,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",0.0016365076013276567,7,1.8343719702816235,[4.295833],[10.408333],[23.927202],[1179.2225],[25.8],[-17.7],[43.5],[17.15],[-9.55],[18.383333],[-10.85],[1316.],[136.],[76.],[15.929979],[389.],[262.],[382.],[276.]
1412707275,2003-10,2003,Québec,Lycoperdon marginatum,CMMF015836,POINT (-69.710364 48.144969),22C,-69.7125995895456,48.1452203916367,"-89875,58+461563,97",,,CP,,F,3,50,E,5S,10.0,F,45.0,14,50,"{'BP': 0.6, 'PE': 0.3, 'RX': 0.1}",0.002249679615283589,3,0.8979457248567797,[3.025],[8.816667],[21.877584],[1103.5881],[22.6],[-17.7],[40.300003],[15.283334],[-10.083334],[16.166668],[-11.150001],[986.],[100.],[63.],[13.936143],[284.],[203.],[280.],[212.]
4171591313,2023-07-27T10:24:09,2023,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/175238043,POINT (-76.254339 45.606063),31F,-76.2536528010432,45.6056152051938,"-604193,45+211673,03",,,,,F,3,JIR,A,7T,50.0,F,75.0,16,JIN,"{'FO': 0.5, 'FH': 0.3, 'EA': 0.2}",0.00081938342475998,3,1.0296530140645737,[4.7708335],[10.691667],[24.69207],[1157.2803],[25.8],[-17.5],[43.3],[17.4],[-9.15],[18.266666],[-10.216666],[892.],[90.],[52.],[15.821572],[259.],[177.],[257.],[182.]
1412705139,1959-09-11,1959,Québec,Lycoperdon marginatum,CMMF013562,POINT (-76.153405 45.922926),31F,-76.1516260395574,45.921601216125,"-592539,87+245793,73",,,,,M,3,JIN,A,2BE,20.0,MR,65.0,16,JIN,"{'EB': 0.4, 'SB': 0.1, 'TO': 0.1, 'FO': 0.2, 'PE': 0.2}",0.002218051525961041,5,1.4708084763221114,[4.329167],[11.141666],[25.15049],[1172.4071],[25.6],[-18.7],[44.300003],[17.933334],[-9.8],[17.933334],[-10.866667],[959.],[95.],[60.],[14.493497],[277.],[194.],[277.],[202.]
617554994,1989-08-06,1989,Québec,Lycoperdon marginatum,CMMF000609,POINT (-74.064294 45.659599),31G,-74.0657029048305,45.6588707794673,"-433649,65+201698,55",,,,,F,3,30,A,5S,40.0,F,35.0,13,30,"{'EO': 0.3, 'FI': 0.2, 'FT': 0.2, 'BJ': 0.1, 'ES': 0.1, 'FH': 0.1}",0.0015859753988152387,6,1.6957425341696346,[5.2333336],[10.35],[24.410378],[1162.1421],[25.8],[-16.6],[42.4],[7.633333],[-8.666667],[18.816668],[-9.816667],[1044.],[101.],[63.],[13.959666],[289.],[211.],[287.],[231.]
4171674032,2023-07-30T11:20:11,2023,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/175742848,POINT (-74.185921 45.387329),31G,-74.1837851477288,45.3891700383737,"-445300,24+172592,41",,,,,F,2,JIR,A,5S,30.0,F,85.0,17,JIN,"{'EO': 0.3, 'PE': 0.3, 'FR': 0.2, 'BG': 0.1, 'RX': 0.1}",0.002819802691288222,5,1.5047882836811908,[5.579167],[9.658334],[23.385796],[1137.8678],[25.6],[-15.7],[41.3],[18.916666],[-8.116667],[18.916666],[-9.066667],[1041.],[102.],[63.],[15.37502],[297.],[203.],[297.],[218.]
3338120951,2021-08-14T08:57,2021,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/91180583,POINT (-74.18491 45.390921),31G,-74.1830435862167,45.3913789712399,"-445135,63+172744,65",,,,,M,2,JIR,A,5S,30.0,MF,85.0,17,JIN,"{'EO': 0.3, 'PE': 0.2, 'FT': 0.1, 'PU': 0.2, 'SE': 0.1, 'TO': 0.1}",0.0019217799216056776,6,1.6957425341696346,[5.579167],[9.658334],[23.385796],[1137.8678],[25.6],[-15.7],[41.3],[18.916666],[-8.116667],[18.916666],[-9.066667],[1041.],[102.],[63.],[15.37502],[297.],[203.],[297.],[218.]
3113261643,2020-08-30T18:29:08,2020,Québec,Lycoperdon marginatum,https://www.inaturalist.org/observations/77709314,POINT (-75.627686 45.545664),31G,-75.6285090049629,45.545785371326,"-556308,90+199978,55",,,,,R,2,JIR,D,5A,30.0,R,75.0,19,JIN,"{'PB': 0.8, 'ER': 0.1, 'FX': 0.1}",0.0008319063455257253,3,0.639031859650177,[5.1541667],[10.741667],[24.86497],[1158.5168],[26.1],[-17.1],[43.2],[18.683334],[-8.683333],[18.683334],[-9.866667],[963.],[94.],[58.],[16.168026],[274.],[182.],[274.],[205.]
1412705129,1967-09-16,1967,Québec,Lycoperdon marginatum,CMMF013563,POINT (-75.855821 45.675485),31G,-75.8550759596783,45.675355543461,"-572453,76+216105,70",,,,,F,1,VIN,D,1AY,30.0,F,85.0,23,VIN,"{'CR': 0.6, 'PE': 0.3, 'FT': 0.1}",0.000756203726818304,3,0.8979457248567797,[4.1875],[10.841667],[24.980799],[1159.3927],[25.2],[-18.2],[43.4],[12.883333],[-9.75],[17.666666],[-10.816667],[1056.],[103.],[68.],[13.508658],[298.],[213.],[293.],[224.]
