gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
2802778462,2019-08-30T15:28,2019.0,Québec,Lyophyllum decastes,https://www.inaturalist.org/observations/32085312,POINT (-71.39828 46.74017),21L,-71.3981104841412,46.7402321978722,"-221114,41+309456,07",,,,,M,2,JIN,B,2A,20,MF,85.0,20,JIN,"{'EO': 0.3, 'FT': 0.2, 'PE': 0.2, 'PB': 0.1, 'PU': 0.1, 'SB': 0.1}",0.0001805663359865146,6,1.6957425341696346,[4.508333],[9.95],[23.634205],[1148.2651],[25.2],[-16.9],[42.1],[17.15],[-4.116667],[18.1],[-10.216666],[1191.],[126.],[68.],[17.63551],[359.],[229.],[352.],[252.]
1135070996,2007-07-16,2007.0,Québec,Lyophyllum decastes,CMMF009543,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
1135070680,2006-09-22,2006.0,Québec,Lyophyllum decastes,CMMF009246,POINT (-71.306427 46.953091),21L,-71.304719999912,46.9524119060645,"-213069,04+332719,34",,,,,M,3,JIR,D,1A,20,MF,75.0,16,JIN,"{'EO': 0.4, 'FT': 0.2, 'SB': 0.3, 'RX': 0.1}",0.0018371221716810746,4,1.2798542258336674,[3.275],[10.],[23.866348],[1136.7307],[23.6],[-18.3],[41.9],[15.733334],[-5.05],[16.7],[-11.383333],[1366.],[140.],[84.],[15.246074],[398.],[270.],[392.],[300.]
1135070493,2006-08-26,2006.0,Québec,Lyophyllum decastes,CMMF009070,POINT (-71.266801 46.898375),21L,-71.2669786581791,46.8994870781396,"-210425,07+326724,84",,,,,F,2,JIN,C,1A,30,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.3, 'HG': 0.3, 'FI': 0.1}",0.0011261794782244283,4,1.313834033192747,[4.1083336],[10.416667],[23.891438],[1180.5638],[25.7],[-17.9],[43.6],[16.983334],[-9.716666],[18.266666],[-11.016666],[1336.],[137.],[81.],[14.873437],[391.],[271.],[384.],[288.]
3961208582,2022-09-25T17:09:22,2022.0,Québec,Lyophyllum decastes,https://www.inaturalist.org/observations/136503875,POINT (-75.114274 45.607127),31G,-75.1119476935008,45.6041700827468,"-515623,01+202551,41",,,CP,,F,2,JIR,B,5A,30,F,65.0,20,JIN,"{'FR': 0.4, 'FH': 0.2, 'FT': 0.2, 'EA': 0.1, 'PE': 0.1}",0.003762321300805299,5,1.4708084763221112,[5.3125],[10.741667],[24.693487],[1169.8721],[26.3],[-17.2],[43.5],[13.95],[-8.8],[18.933334],[-9.866667],[1021.],[100.],[62.],[16.439312],[297.],[197.],[287.],[212.]
1135069132,1979-09-15,1979.0,Québec,Lyophyllum decastes,CMMF007646,POINT (-74.003633 45.989333),31G,-74.0037398207613,45.9880375679074,"-426019,46+237738,62",,,,,F,2,VIR,D,1AY,31,F,75.0,19,VIN,"{'BP': 0.5, 'EO': 0.2, 'PE': 0.1, 'EB': 0.1, 'SB': 0.1}",0.0012998288278055054,5,1.3592367006650063,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
1135068923,2013-09-18,2013.0,Québec,Lyophyllum decastes,CMMF007410,POINT (-74.114033 45.084583),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30,F,85.0,18,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",0.001199653361182861,5,1.5571130980576458,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
1135068155,1982-10-02,1982.0,Québec,Lyophyllum decastes,CMMF006649,POINT (-74.0873 45.47015),31G,-74.0862808771106,45.4728353122719,"-436863,84+181193,94",,,,,M,1,VIR,B,6S,30,MM,75.0,27,VIN,"{'PB': 0.4, 'TO': 0.1, 'ES': 0.2, 'EO': 0.1, 'FT': 0.1, 'HG': 0.1}",0.0028721966265079922,6,1.6094379124341003,[5.6708336],[9.558333],[23.199839],[1132.153],[25.7],[-15.5],[41.2],[18.966667],[-7.9333334],[18.966667],[-8.866667],[1012.],[97.],[61.],[14.372761],[283.],[201.],[283.],[218.]
1024559914,2013-09-10,2013.0,Québec,Lyophyllum decastes,CMMF005341,POINT (-74.114299 45.08485),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30,F,85.0,18,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",0.0012743902524356193,5,1.5571130980576458,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
1024559885,2013-09-10,2013.0,Québec,Lyophyllum decastes,CMMF005340,POINT (-74.112967 45.08597),31G,-74.1115209849272,45.0869688391928,"-442200,98+138526,99",,,,,F,2,JIR,B,1A,30,F,75.0,21,JIN,"{'FT': 0.4, 'TA': 0.3, 'ES': 0.2, 'HG': 0.1}",0.0017574525096952895,4,1.2798542258336674,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
