gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4981917139	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://inaturalist.ca/observations/4018429	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.95326	-66.675673	12.0						2016-09-02T11:29:34	2	9	2016	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	4018429		Ariel Bonkoski	2022-05-30T05:01:57	CC_BY_NC_4_0	Remi Daigle	Remi Daigle			2025-01-14T12:59:08.078Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4921908755	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/234059454	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.331638	-75.92437	4.0						2024-08-05T19:23	5	8	2024	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	234059454		cattie	2024-08-06T01:04:14	CC_BY_NC_4_0	cattie	cattie			2025-01-14T12:51:01.966Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4921571794	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/232340103	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.744477	-71.862443	48.0						2024-07-17T17:37:31	17	7	2024	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	232340103		camillegiguere	2024-07-28T19:51:07	CC_BY_NC_4_0	camillegiguere	camillegiguere			2025-01-14T13:47:23.392Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919659397	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/229801253	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.337853	-72.20095	5.0						2024-07-15T17:33	15	7	2024	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	229801253		gabboilard	2024-07-18T17:00:25	CC_BY_NC_4_0	Mariana Kamper	Mariana Kamper			2025-01-14T12:49:58.012Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4910818062	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/230629872	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.836962	-64.944388	706.0						2024-07-20T12:15:11	20	7	2024	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	230629872		lili-camille	2024-07-21T00:28:38	CC_BY_NC_4_0	lili-camille	lili-camille			2025-01-14T13:42:12.916Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4910794290	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/230568325	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.85208	-75.228622	16.0						2024-07-20T13:10:54	20	7	2024	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	230568325		noeyelle	2024-07-20T19:20:05	CC_BY_NC_4_0	noeyelle	noeyelle			2025-01-14T13:42:10.834Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4909338012	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/229422454	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.089737	-72.541644	540.0						2024-07-13T12:24	13	7	2024	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	229422454		Michelle Norcéide	2024-07-15T03:34:45	CC_BY_4_0	Michelle Norcéide	Michelle Norcéide			2025-01-14T12:47:29.756Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908620706	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/228268671	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.536794	-75.919297							2024-07-08T14:41:22	8	7	2024	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	228268671		Marrissa Miller	2024-07-09T16:54:20	CC_BY_NC_4_0	Marrissa Miller	Marrissa Miller			2025-01-14T13:42:06.144Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908508654	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/229422457	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.088041	-72.542417	918.0						2024-07-13T12:14	13	7	2024	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	229422457		Michelle Norcéide	2024-07-15T03:34:46	CC_BY_4_0	Michelle Norcéide	Michelle Norcéide			2025-01-14T12:47:43.300Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908479833	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/227292080	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Megacollybia	Megacollybia rodmanii		SPECIES	Megacollybia rodmanii R.H.Petersen, K.W.Hughes & Lickey	Megacollybia rodmanii		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.040847	-72.422272	10.0						2024-07-05T09:07:18	5	7	2024	7943876	7943876	HUMAN_OBSERVATION	iNaturalist	Observations	227292080		miriam-beth	2024-07-05T13:11:21	CC_BY_NC_4_0	miriam-beth	miriam-beth			2025-01-14T12:49:12.715Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
