gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
78505521	85b2fcd8-f762-11e1-a439-00145eb45e9a	59795CB7-CC53-489C-9916-19B51F392B2C	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Merismodes fasciculata (Schwein.) Donk	Merismodes fasciculata (Schwein.) Donk	(Schwein.) Donk	CA	"Québec Province, Coeur-du-Québec, Parc National de la Mauricie, 20 km NW town of Grand-Mère. At shore of Lac Wapizagonke near parking lot ""L´Esker""."		PRESENT	1	0363cbd4-f666-455e-8e86-0bbddcf51950	46.67	-73.02			290.0	0.0			1997-08-12	12	8	1997	2530382	2530382	PRESERVED_SPECIMEN	MA	MA-Fungi	40745-1		P.Bodensteiner		CC_BY_NC_4_0		D. Triebel & G. Rambold			2024-04-03T09:32:35.417Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MODIFIED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
727875803	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15748	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Cyphella fasciculata Berk. & M.A.Curtis, 1873	Cyphella fasciculata Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Chalk River	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	46.021045	-77.454472	2103.0						1941-09-05	5	9	1941	3341599	2530382	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC018037				CC0_1_0	Royal Ontario Museum	Jackson, H.S.			2024-01-25T00:59:40.715Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727875515	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15170	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Cyphella fasciculata Berk. & M.A.Curtis, 1873	Cyphella fasciculata Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Oxbow Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.436105	-78.96698	1427.0						1941-08-20	20	8	1941	3341599	2530382	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC017939		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:39.319Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727875044	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14275	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Cyphella fasciculata Berk. & M.A.Curtis, 1873	Cyphella fasciculata Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Oxbow Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.436105	-78.96698	1427.0						1941-08-16	16	8	1941	3341599	2530382	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC017688		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:40.401Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727873834	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	11796	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Cyphella fasciculata Berk. & M.A.Curtis, 1873	Cyphella fasciculata Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Algonquin Provincial Park, Costello Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.597645	-78.32149	648.0						1939-08-29	29	8	1939	3341599	2530382	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC014226		Jackson, H.S.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:39.508Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
727873779	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	11670	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Cyphella fasciculata Berk. & M.A.Curtis, 1873	Cyphella fasciculata Berk. & M.A. Curtis	Berk. & M.A. Curtis	CA	Algonquin Provincial Park, Hwy 60, Mi 23	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.57867	-78.45275	1620.0						1939-08-25	25	8	1939	3341599	2530382	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC014491		Jackson, H.S.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:39.356Z		AMBIGUOUS_INSTITUTION
5007898952	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/139830182	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Merismodes fasciculata (Schwein.) Donk	Merismodes fasciculata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.267939	-75.455247	27190.0						2022-10-07T12:10:31	7	10	2022	2530382	2530382	HUMAN_OBSERVATION	iNaturalist	Observations	139830182		rebeccachauvin	2023-01-03T19:51:34	CC_BY_NC_4_0	rebeccachauvin	rebeccachauvin			2025-01-14T13:21:41.057Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007875323	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/197828339	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Merismodes fasciculata (Schwein.) Donk	Merismodes fasciculata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.406935	-75.545153	74.0						2024-01-28T14:09	28	1	2024	2530382	2530382	HUMAN_OBSERVATION	iNaturalist	Observations	197828339		jonathan_mack	2024-01-28T21:03:04	CC_BY_NC_4_0	jonathan_mack	jonathan_mack			2025-01-14T12:44:03.595Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007809427	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/100718279	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Merismodes fasciculata (Schwein.) Donk	Merismodes fasciculata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.353333	-75.592605	182.0						2021-11-09T11:24	9	11	2021	2530382	2530382	HUMAN_OBSERVATION	iNaturalist	Observations	100718279		L Joan Heyding	2021-11-09T21:27:39	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T13:17:05.517Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5006832453	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/159589122	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Niaceae	Merismodes	Merismodes fasciculata		SPECIES	Merismodes fasciculata (Schwein.) Donk	Merismodes fasciculata		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.340446	-75.67628	61.0						2021-10-28T14:29	28	10	2021	2530382	2530382	HUMAN_OBSERVATION	iNaturalist	Observations	159589122		Serguei Ponomarenko	2023-05-04T04:35:35	CC_BY_NC_4_0	Serguei Ponomarenko	Serguei Ponomarenko			2025-01-14T12:35:34.781Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
