gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617554842	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000542	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus		SPECIES	Mycena haematopus (Pers.) P.Kumm.	Mycena haematopus (Pers.) P. Kumm.	(Pers.) P. Kumm.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1989-07-04	4	7	1989	2526942	2526942	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000542		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.059Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554552	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000041	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus		SPECIES	Mycena haematopus (Pers.) P.Kumm.	Mycena haematopus (Pers.) P. Kumm.	(Pers.) P. Kumm.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1988-07-15	15	7	1988	2526942	2526942	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000041		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.369Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549644	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001927	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus		SPECIES	Mycena haematopus (Pers.) P.Kumm.	Mycena haematopus (Pers.) P. Kumm.	(Pers.) P. Kumm.	CA	Saint-Bruno-de-Montarville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.526599	-73.344507	5500.0						1993-08-01	1	8	1993	2526942	2526942	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001927		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.352Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548214	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001309	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus	marginata	VARIETY	Mycena haematopus var. marginata J.E.Lange	Mycena haematopus var. marginata Lange	Lange	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1991-05-23	23	5	1991	5240473	2526942	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001309		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.492Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4973932195	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/248368852	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus		SPECIES	Mycena haematopus (Pers.) P.Kumm.	Mycena haematopus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.983567	-66.754222	15.0						2024-09-09T11:09	9	9	2024	2526942	2526942	HUMAN_OBSERVATION	iNaturalist	Observations	248368852		Dwayne Sabine	2024-10-20T23:46:34	CC_BY_NC_4_0	Dwayne Sabine	Dwayne Sabine			2025-01-14T12:52:04.419Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4950567695	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240316289	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus		SPECIES	Mycena haematopus (Pers.) P.Kumm.	Mycena haematopus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.360717	-72.235039	16.0						2024-08-17T12:26	17	8	2024	2526942	2526942	HUMAN_OBSERVATION	iNaturalist	Observations	240316289		gabboilard	2024-09-07T13:44:47	CC_BY_NC_4_0	gabboilard	gabboilard			2025-01-14T13:43:15.029Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946595052	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240825611	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus		SPECIES	Mycena haematopus (Pers.) P.Kumm.	Mycena haematopus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.547247	-73.462609	61.0						2024-08-25T10:22	25	8	2024	2526942	2526942	HUMAN_OBSERVATION	iNaturalist	Observations	240825611		Antoine Fortin	2024-09-09T21:09:29	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T12:53:07.722Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4937172550	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/235346035	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus		SPECIES	Mycena haematopus (Pers.) P.Kumm.	Mycena haematopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.370503	-75.796876	15.0						2024-07-13T15:27	13	7	2024	2526942	2526942	HUMAN_OBSERVATION	iNaturalist	Observations	235346035		Deborah Mosher	2024-08-12T15:11:27	CC_BY_NC_4_0	Deborah Mosher	Deborah Mosher			2025-01-14T12:48:04.575Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4926299373	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236377388	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus		SPECIES	Mycena haematopus (Pers.) P.Kumm.	Mycena haematopus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.082249	-73.150541	3553.0						2024-08-17T10:07:53	17	8	2024	2526942	2526942	HUMAN_OBSERVATION	iNaturalist	Observations	236377388		egrenier	2024-08-17T21:46:30	CC_BY_NC_4_0	egrenier	egrenier			2025-01-14T13:48:18.399Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923843867	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/235160001	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Mycena	Mycena haematopus		SPECIES	Mycena haematopus (Pers.) P.Kumm.	Mycena haematopus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.032974	-75.646375	26.0						2024-08-11T11:25:40	11	8	2024	2526942	2526942	HUMAN_OBSERVATION	iNaturalist	Observations	235160001		Sara Scharf	2024-08-11T18:39:34	CC_BY_NC_4_0	breana_kirby	breana_kirby			2025-01-14T12:51:15.059Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
