gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4404987389,2021-06-25T14:18:36,2021,Québec,Mycena leaiana,https://www.inaturalist.org/observations/85368439,POINT (-71.108336 45.44883),21E,-71.1083342926196,45.4497040110231,"-204236,43+165278,02",,,,,F,2,VIN,D,1AY,30.0,F,85.0,19,VIN,"{'ES': 0.5, 'BJ': 0.3, 'EO': 0.1, 'FT': 0.1}",0.0008740126907823198,4,1.1682824501765625,[2.5083334],[10.083333],[25.462963],[1071.8163],[21.6],[-18.],[39.6],[15.25],[-5.516667],[15.25],[-11.15],[1432.],[147.],[94.],[13.508755],[416.],[296.],[416.],[323.]
4171255313,2019-09-01T17:18:39,2019,Québec,Mycena leaiana,https://www.inaturalist.org/observations/31944592,POINT (-71.971657 45.28337),21E,-71.9726438695916,45.2823710013432,"-272755,24+149507,06",,,,,F,2,JIR,D,1AY,30.0,F,85.0,19,JIN,"{'EO': 0.3, 'BP': 0.2, 'ES': 0.2, 'FR': 0.1, 'FT': 0.1, 'PE': 0.1}",0.0014042470961718708,6,1.6957425341696346,[5.016667],[10.333333],[25.389025],[1085.2908],[24.7],[-16.],[40.7],[17.816668],[-7.85],[17.816668],[-8.966666],[1105.],[127.],[58.],[22.763948],[355.],[197.],[355.],[215.]
2992765414,2019-09-01T17:20:23,2019,Québec,Mycena leaiana,https://www.inaturalist.org/observations/33252079,POINT (-71.972679 45.280599),21E,-71.974018457091,45.2806146516811,"-272887,25+149365,05",,,,,F,1,JIN,D,1AY,30.0,F,75.0,25,JIN,"{'ES': 0.3, 'FR': 0.2, 'PE': 0.2, 'CR': 0.1, 'EO': 0.1, 'FT': 0.1}",0.0013395485335623123,6,1.6957425341696346,[5.383333],[10.616667],[25.894308],[1086.0234],[25.2],[-15.8],[41.],[18.2],[-7.5333333],[18.2],[-8.616667],[1071.],[122.],[56.],[22.669184],[344.],[190.],[344.],[208.]
4945534574,2024-09-01T14:14:23,2024,Québec,Mycena leaiana,https://www.inaturalist.org/observations/239706838,POINT (-71.175697 46.770758),21L,-71.1751060902131,46.7710503408721,"-203968,71+312213,53",,,,,F,1,VIN,C,8AM,20.0,F,85.0,23,VIN,"{'ES': 0.5, 'FT': 0.2, 'HG': 0.2, 'CR': 0.1}",0.0006592704769266554,4,1.2206072645530173,[4.741667],[10.05],[23.481308],[1162.3152],[25.8],[-17.],[42.8],[17.566668],[-9.],[18.65],[-10.1],[1226.],[132.],[68.],[18.213158],[369.],[233.],[367.],[249.]
4872273926,2018-09-22,2018,Québec,Mycena leaiana,https://www.inaturalist.org/observations/16812005,POINT (-71.279145 46.792609),21L,-71.2781909855745,46.7908610990714,"-211629,48+314727,67",,,,,F,1,VIR,B,1A,30.0,F,55.0,24,VIN,"{'ES': 0.6, 'EO': 0.2, 'FT': 0.2}",0.0019913064003978026,3,0.9502705392332347,[5.2458334],[10.441667],[23.677248],[1198.8601],[27.3],[-16.8],[44.1],[18.316666],[-8.816667],[19.699999],[-10.05],[1239.],[133.],[69.],[17.645353],[373.],[245.],[369.],[250.]
4863952428,2023-09-16T14:24:38,2023,Québec,Mycena leaiana,https://www.inaturalist.org/observations/214786810,POINT (-71.033333 46.447643),21L,-71.032896458295,46.4484748962972,"-194509,87+275954,24",FR,,,,F,5,10,A,3AN,40.0,F,35.0,6,10,"{'FN': 0.6, 'FX': 0.3, 'RX': 0.1}",0.0009394786370635314,3,0.8979457248567797,[4.1875],[10.541667],[24.687744],[1145.1898],[24.9],[-17.8],[42.699997],[17.716667],[-9.466666],[17.716667],[-10.566667],[1127.],[125.],[59.],[21.72406],[361.],[208.],[361.],[217.]
4606771165,2023-06-23,2023,Québec,Mycena leaiana,https://www.inaturalist.org/observations/204713827,POINT (-71.210674 46.913145),21L,-71.2106963545458,46.9122469173697,"-206096,75+327995,23",,,,,F,2,VIN,B,1A,30.0,F,85.0,20,VIN,"{'ES': 0.4, 'EO': 0.2, 'HG': 0.2, 'FT': 0.1, 'SE': 0.1}",0.0008983608053366646,5,1.4708084763221112,[3.8875],[10.241667],[23.87335],[1162.8964],[24.9],[-18.],[42.9],[16.6],[-9.783334],[17.75],[-11.05],[1330.],[138.],[79.],[15.944893],[390.],[263.],[386.],[284.]
4522635332,2023-08-21,2023,Québec,Mycena leaiana,https://www.inaturalist.org/observations/198644924,POINT (-71.217759 46.910943),21L,-71.2168245794642,46.9111869260586,"-206561,11+327874,70",,,,,F,1,VIN,C,1A,30.0,F,75.0,22,VIN,"{'HG': 0.5, 'EO': 0.2, 'ES': 0.2, 'SB': 0.1}",0.000965733741661976,4,1.2206072645530173,[3.7958333],[10.241667],[23.87335],[1163.7566],[24.8],[-18.1],[42.9],[16.516666],[-4.7166667],[17.666666],[-11.150001],[1346.],[139.],[82.],[14.957371],[392.],[270.],[388.],[292.]
4516603300,2023-08-24T17:27,2023,Québec,Mycena leaiana,https://www.inaturalist.org/observations/195510154,POINT (-71.322859 46.758354),21L,-71.3232788534239,46.7576620400993,"-215323,09+311163,77",,,,,F,1,VIN,A,5S,20.0,F,85.0,22,VIN,"{'ES': 0.4, 'FT': 0.3, 'EO': 0.2, 'RX': 0.1}",0.0008093734624644355,4,1.2798542258336674,[4.7708335],[10.075],[23.430233],[1174.0673],[26.1],[-16.9],[43.],[17.65],[-9.066667],[18.816668],[-10.233334],[1248.],[130.],[71.],[16.223547],[371.],[252.],[365.],[260.]
4405099823,2023-08-28T10:40:39,2023,Québec,Mycena leaiana,https://www.inaturalist.org/observations/180622270,POINT (-71.107994 46.829437),21L,-71.1084357563197,46.8276239946672,"-198562,20+318355,43",,,,,F,2,JIN,C,8AY,30.0,F,95.0,21,JIN,"{'ES': 0.4, 'EO': 0.2, 'FR': 0.2, 'FN': 0.1, 'FT': 0.1}",0.001866048494209992,5,1.4708084763221112,[4.383333],[10.099999],[23.820755],[1147.1375],[25.],[-17.4],[42.4],[16.983334],[-9.283333],[17.916666],[-10.383333],[1201.],[131.],[64.],[22.13092],[372.],[210.],[365.],[235.]
