gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694158199	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	22547	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Polyporus alveolaris (DC.) Bondartsev & Singer	Polyporus alveolaris (DC.) Bondartsev & Singer	(DC.) Bondartsev & Singer	CA	Forest Ranger School	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.159467	-78.8451	450.0						1961-09-10	10	9	1961	5246821	7865386	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC041537		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.;			2024-01-25T00:59:39.904Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157257	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	15459	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Polyporus alveolaris (DC.) Bondartsev & Singer	Polyporus alveolaris (DC.) Bondartsev & Singer	(DC.) Bondartsev & Singer	CA	Bigwin Island, Lake of Bays	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.242866	-79.027061	1660.0						1971-07-24	24	7	1971	5246821	7865386	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC048988		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Tekauz, A.; R. Tekauz			2024-01-25T00:59:40.292Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694157163	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	14807	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Polyporus alveolaris (DC.) Bondartsev & Singer	Polyporus alveolaris (DC.) Bondartsev & Singer	(DC.) Bondartsev & Singer	CA	S of Dorset	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.23936	-78.888359	1499.0						1963-09-12	12	9	1963	5246821	7865386	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC042675		Luck-Allen, E.R.		CC0_1_0	Royal Ontario Museum	Luck-Allen, E.R.			2024-01-25T00:59:41.123Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
694156734	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	12216	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Polyporus alveolaris (DC.) Bondartsev & Singer	Polyporus alveolaris (DC.) Bondartsev & Singer	(DC.) Bondartsev & Singer	CA	Algonquin Provincial Park, Costello Lake	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.597645	-78.32149	648.0						1939-08-29	29	8	1939	5246821	7865386	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC015649		Cain, R.F.		CC0_1_0	Royal Ontario Museum	Cain, R.F.			2024-01-25T00:59:41.573Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617554701	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000475	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Polyporus mori (Pollini) Fr.	Polyporus mori (Pollini) Fr.	(Pollini) Fr.	CA	Mirabel	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.659599	-74.064294	18500.0						1989-06-02	2	6	1989	5246825	7865386	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000475		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Alary, Antoine			2024-01-24T16:38:19.985Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551542	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000275	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Polyporus mori (Pollini) Fr.	Polyporus mori (Pollini) Fr.	(Pollini) Fr.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1988-08-31	31	8	1988	5246825	7865386	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000275		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.692Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550605	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002350	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Polyporus mori (Pollini) Fr.	Polyporus mori (Pollini) Fr.	(Pollini) Fr.	CA	Oka	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.485445	-74.079213	8500.0						1995-05-30	30	5	1995	5246825	7865386	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002350		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.462Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4954782504	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/247168504	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Neofavolus alveolaris (DC.) Sotome & T.Hatt.	Neofavolus alveolaris		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.085967	-77.851508	4.0						2024-10-13T14:23:42	13	10	2024	7865386	7865386	HUMAN_OBSERVATION	iNaturalist	Observations	247168504		Curtis Hackney	2024-10-13T19:39:39	CC_BY_NC_4_0	acudave	acudave			2025-01-14T12:54:24.911Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4950438554	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/242276403	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Neofavolus alveolaris (DC.) Sotome & T.Hatt.	Neofavolus alveolaris		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.379733	-71.919533	4.0						2024-09-12T08:53:02	12	9	2024	7865386	7865386	HUMAN_OBSERVATION	iNaturalist	Observations	242276403		Jacob Beauregard	2024-09-17T12:38:23	CC_BY_NC_4_0	Jacob Beauregard	Jacob Beauregard			2025-01-14T12:54:09.291Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936587323	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/237367533	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Neofavolus	Neofavolus alveolaris		SPECIES	Neofavolus alveolaris (DC.) Sotome & T.Hatt.	Neofavolus alveolaris		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.872811	-76.4339	501.0						2024-08-19T14:55	19	8	2024	7865386	7865386	HUMAN_OBSERVATION	iNaturalist	Observations	237367533		L Joan Heyding	2024-08-22T22:40:31	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T13:43:41.098Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
