gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
3860127654,2022-06-04T08:57,2022,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/120602237,POINT (-76.470078 45.852354),31F,-76.4713207167126,45.853010709211,"-618029,47+240876,24",,,CP,,M,2,JIR,A,2BE,20.0,MF,45.0,21,JIN,"{'PE': 0.3, 'ER': 0.2, 'BP': 0.1, 'EB': 0.2, 'SB': 0.2}",0.0014055645896147893,5,1.5571130980576458,[4.1041665],[11.091666],[25.208334],[1164.4926],[25.3],[-18.7],[44.],[16.766666],[-9.9],[17.6],[-11.],[916.],[90.],[54.],[15.323371],[262.],[182.],[259.],[188.]
617554658,1989-05-27,1989,Québec,Neolentinus lepideus,CMMF000455,POINT (-74.079213 45.485445),31G,-74.080004449,45.4859744453204,"-436262,16+182609,83",,,CP,,F,2,VIN,D,1AM,20.0,F,45.0,19,VIN,"{'ES': 0.5, 'CR': 0.2, 'EO': 0.1, 'HG': 0.1, 'TA': 0.1}",0.0009522099909710582,5,1.3592367006650063,[5.3958335],[9.641666],[23.34544],[1133.1663],[25.4],[-15.9],[41.3],[18.7],[-8.183333],[18.7],[-9.166666],[1054.],[100.],[65.],[13.464309],[292.],[213.],[292.],[231.]
4130298489,2023-06-03T15:44:27,2023,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/165907714,POINT (-75.812028 45.558285),31G,-75.8116357611528,45.5589165005511,"-570377,64+202845,86",,,,,F,2,JIN,D,1AY,30.0,F,85.0,19,JIN,"{'ES': 0.3, 'EO': 0.2, 'FT': 0.2, 'FI': 0.1, 'PU': 0.1, 'RX': 0.1}",0.0007434004703336152,6,1.6957425341696346,[5.0916667],[10.333333],[24.199844],[1152.0748],[25.8],[-16.9],[42.699997],[13.683333],[-8.75],[18.583334],[-9.766666],[969.],[93.],[61.],[14.484159],[270.],[189.],[269.],[211.]
4006501402,2021-09-03T17:23,2021,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/93591257,POINT (-74.169032 45.465829),31G,-74.1700736342716,45.4670597127384,"-443262,78+181136,32",,,,,M,1,VIN,A,5S,20.0,MF,65.0,25,VIN,"{'CR': 0.5, 'FT': 0.1, 'PB': 0.3, 'PU': 0.1}",0.0016123448143088859,4,1.1682824501765625,[5.7166667],[9.466667],[22.977346],[1135.4462],[25.7],[-15.5],[41.2],[19.033333],[-7.983333],[19.033333],[-8.833333],[1028.],[101.],[62.],[15.310134],[292.],[201.],[292.],[217.]
3355710489,2021-09-08T15:44:34,2021,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/94146445,POINT (-75.750472 45.439338),31G,-75.7506845289827,45.437995015191,"-566893,27+188829,64",,,,,F,2,JIR,C,5A,30.0,F,55.0,18,JIN,"{'EO': 0.2, 'PE': 0.2, 'BP': 0.1, 'EA': 0.1, 'FR': 0.1, 'FT': 0.1, 'PB': 0.2}",0.001359697306642972,7,1.8866967846580784,[5.733333],[10.283333],[24.13928],[1158.3674],[26.5],[-16.1],[42.6],[19.316666],[-8.083333],[19.316666],[-9.266666],[921.],[88.],[57.],[14.218156],[262.],[182.],[262.],[198.]
2423612168,1985-06-11,1985,Québec,Neolentinus lepideus,CMMF018683,POINT (-74.005598 45.98895),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,20,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",0.0020151782827840543,5,1.4708084763221112,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
2423611556,1986-07-28,1986,Québec,Neolentinus lepideus,CMMF018828,POINT (-74.008677 45.992549),31G,-74.0103678886985,45.9939801328103,"-426508,94+238446,76",,,,,M,2,VIN,B,1A,40.0,MM,65.0,17,VIN,"{'SB': 0.2, 'TO': 0.2, 'PB': 0.1, 'BP': 0.2, 'EO': 0.2, 'FT': 0.1}",0.002215230396913751,6,1.7480673485460896,[3.5125],[10.791667],[25.096899],[1149.9568],[24.1],[-18.9],[43.],[17.016666],[-10.166666],[17.016666],[-11.3],[1190.],[118.],[74.],[12.9107065],[327.],[244.],[327.],[267.]
617552466,1998-06-27,1998,Québec,Neolentinus lepideus,CMMF003174,POINT (-73.608926 45.76054),31H,-73.6101448212339,45.7622838194135,"-397396,67+210523,01",,,,,F,3,30,A,5A,40.0,F,25.0,16,30,"{'PE': 0.8, 'BP': 0.2}",0.002127541150509704,2,0.5004024235381879,[5.6916666],[10.3],[23.897911],[1171.0675],[26.6],[-16.5],[43.1],[8.25],[-8.383333],[19.45],[-9.383333],[974.],[97.],[53.],[18.221125],[287.],[181.],[263.],[205.]
4872453862,2024-05-23T20:13:40,2024,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/217802933,POINT (-73.473124 45.502371),31H,-73.4534182976333,45.5076194325555,"-387192,26+181407,71",,,,,F,2,30,A,1A,40.0,F,85.0,20,30,"{'FR': 0.6, 'PL': 0.3, 'EO': 0.1}",0.02039266412351173,3,0.8979457248567797,[6.695833],[9.908334],[23.760992],[1138.6105],[27.],[-14.7],[41.7],[19.2],[-6.8166666],[20.133333],[-7.9166665],[1016.],[98.],[62.],[12.771141],[288.],[209.],[280.],[223.]
4137813663,2023-06-14T10:14,2023,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/167426017,POINT (-73.840906 45.681691),31H,-73.8399580009205,45.6808654211248,"-415909,37+202801,43",,,,,F,2,JIR,A,5S,30.0,F,65.0,20,JIN,"{'PE': 0.6, 'FT': 0.2, 'BP': 0.1, 'SE': 0.1}",0.0012570929694780042,4,1.0888999753452235,[5.7708335],[10.191667],[23.86807],[1164.6604],[26.5],[-16.2],[42.7],[8.150001],[-8.1],[19.433334],[-9.266666],[1002.],[98.],[60.],[14.690338],[279.],[198.],[276.],[221.]
2423611580,1974-10,1974,Québec,Neolentinus lepideus,CMMF020233,POINT (-73.600492 45.503371),31H,-73.6023242173434,45.5006415942135,"-398861,24+181450,85",,,,,F,1,VIN,B,1A,30.0,F,85.0,23,VIN,"{'CR': 0.7, 'ES': 0.2, 'FT': 0.1}",0.0032873509610054684,3,0.8018185525433372,[6.2833333],[9.883333],[23.587908],[1151.7859],[26.8],[-15.1],[41.9],[18.816666],[-7.25],[19.9],[-8.533334],[1064.],[102.],[65.],[12.991343],[300.],[218.],[294.],[234.]
1412709024,1980-07-31,1980,Québec,Neolentinus lepideus,CMMF017520,POINT (-73.946667 45.43),31H,-73.9478260670457,45.4292763336656,"-426285,67+175462,48",P,,,,R,1,50,A,5S,30.0,R,85.0,22,50,"{'EV': 0.3, 'EU': 0.2, 'EB': 0.1, 'PB': 0.1, 'PG': 0.1, 'PR': 0.1, 'FT': 0.1}",0.0013664294273593267,7,1.8343719702816235,[5.9041667],[9.308333],[22.814543],[1130.0834],[25.7],[-15.1],[40.800003],[19.216667],[-7.633333],[19.216667],[-8.566667],[992.],[94.],[61.],[12.652432],[275.],[203.],[275.],[219.]
1412707788,1981-06-25,1981,Québec,Neolentinus lepideus,CMMF016236,POINT (-73.304807 45.459874),31H,-73.2861073158563,45.4702902942302,"-374408,02+176377,27",,,,,F,2,JIR,B,3AN,50.0,F,65.0,21,JIN,"{'EA': 0.7, 'PL': 0.2, 'OR': 0.1}",0.021405078195705064,3,0.8018185525433372,[6.1666665],[9.95],[23.91827],[1134.4648],[26.3],[-15.3],[41.6],[18.466667],[-7.383333],[19.466667],[-8.5],[1004.],[96.],[60.],[14.4245205],[285.],[197.],[282.],[219.]
1412703482,1951-06-04,1951,Québec,Neolentinus lepideus,CMMF012396,POINT (-73.626467 45.696284),31H,-73.6227405838704,45.6890012517978,"-398897,84+202518,06",,,,,F,3,JIR,A,5A,40.0,F,65.0,16,JIN,"{'EO': 0.5, 'PE': 0.3, 'FT': 0.2}",0.008180745598517863,3,1.0296530140645737,[5.8958335],[10.125],[23.82353],[1161.4479],[26.5],[-16.],[42.5],[8.416667],[-8.05],[19.533333],[-9.05],[1003.],[99.],[59.],[15.068534],[287.],[197.],[272.],[209.]
1135068941,2006-08-13,2006,Québec,Neolentinus lepideus,CMMF007521,POINT (-72.538333 45.95),31H,-72.5379722891352,45.9484962900269,"-313023,86+225764,23",P,,,,M,2,70,A,5S,30.0,MR,65.0,21,70,"{'EB': 0.5, 'PR': 0.1, 'EO': 0.4}",0.0015463686530656235,3,0.9433483923290392,[5.2375],[9.875],[23.681055],[1137.6799],[25.3],[-16.4],[41.699997],[17.7],[-8.533333],[18.583332],[-9.4],[1043.],[109.],[61.],[16.58593],[303.],[201.],[300.],[222.]
1135068014,1980-07-31,1980,Québec,Neolentinus lepideus,CMMF006577,POINT (-73.946667 45.43),31H,-73.9478260670457,45.4292763336656,"-426285,67+175462,48",P,,,,R,1,50,A,5S,30.0,R,85.0,22,50,"{'EV': 0.3, 'EU': 0.2, 'EB': 0.1, 'PB': 0.1, 'PG': 0.1, 'PR': 0.1, 'FT': 0.1}",0.0013664294273593267,7,1.8343719702816235,[5.9041667],[9.308333],[22.814543],[1130.0834],[25.7],[-15.1],[40.800003],[19.216667],[-7.633333],[19.216667],[-8.566667],[992.],[94.],[61.],[12.652432],[275.],[203.],[275.],[219.]
617553466,2002-07-08,2002,Québec,Neolentinus lepideus,CMMF003614,POINT (-73.748752 46.052398),31I,-73.749118200884,46.0499377075994,"-405841,67+243195,20",,,,,F,2,70,A,2BE,30.0,F,75.0,18,70,"{'EO': 0.5, 'BP': 0.3, 'FT': 0.1, 'SE': 0.1}",0.0024873965875769,4,1.1682824501765625,[4.3625],[10.875],[25.],[1151.9275],[25.1],[-18.4],[43.5],[17.8],[-9.466666],[17.8],[-10.55],[1054.],[104.],[59.],[17.016943],[303.],[200.],[303.],[218.]
617553460,2002-07-04,2002,Québec,Neolentinus lepideus,CMMF003611,POINT (-73.748752 46.052398),31I,-73.749118200884,46.0499377075994,"-405841,67+243195,20",,,,,F,2,70,A,2BE,30.0,F,75.0,18,70,"{'EO': 0.5, 'BP': 0.3, 'FT': 0.1, 'SE': 0.1}",0.0024873965875769,4,1.1682824501765625,[4.3625],[10.875],[25.],[1151.9275],[25.1],[-18.4],[43.5],[17.8],[-9.466666],[17.8],[-10.55],[1054.],[104.],[59.],[17.016943],[303.],[200.],[303.],[218.]
617553082,2000-08-03,2000,Québec,Neolentinus lepideus,CMMF003439,POINT (-73.748752 46.052398),31I,-73.749118200884,46.0499377075994,"-405841,67+243195,20",,,,,F,2,70,A,2BE,30.0,F,75.0,18,70,"{'EO': 0.5, 'BP': 0.3, 'FT': 0.1, 'SE': 0.1}",0.0024873965875769,4,1.1682824501765625,[4.3625],[10.875],[25.],[1151.9275],[25.1],[-18.4],[43.5],[17.8],[-9.466666],[17.8],[-10.55],[1054.],[104.],[59.],[17.016943],[303.],[200.],[303.],[218.]
4875423005,2024-05-25T09:19:07,2024,Québec,Neolentinus lepideus,https://www.inaturalist.org/observations/218105729,POINT (-76.275594 46.068092),31K,-76.2758587310451,46.0657668640103,"-600306,34+262743,68",,,,,M,1,90,B,2BE,30.0,MF,75.0,26,90,"{'PE': 0.4, 'BP': 0.1, 'FT': 0.1, 'PI': 0.2, 'SE': 0.2}",0.002340158092275581,5,1.4708084763221114,[4.0125],[11.325],[25.506758],[1167.4197],[25.],[-19.4],[44.4],[17.55],[-9.933333],[17.55],[-11.216666],[950.],[95.],[59.],[14.398838],[275.],[193.],[275.],[199.]
