gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4993862885,2024-09-09T08:51:18,2024,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/241387309,POINT (-71.92015 45.380388),21E,-71.9210129701979,45.3810199028508,"-268188,05+160327,11",,,,,M,2,50,C,1AY,30.0,MF,85.0,20,50,"{'EO': 0.4, 'ES': 0.1, 'FI': 0.1, 'EB': 0.3, 'SB': 0.1}",0.001069588133494347,5,1.4184836619456564,[5.383333],[10.616667],[25.644123],[1109.2756],[25.5],[-15.9],[41.4],[18.5],[-7.7166667],[18.5],[-8.916667],[1077.],[130.],[52.],[26.338058],[358.],[178.],[358.],[195.]
4952198697,2024-08-26T09:26,2024,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/245264474,POINT (-71.749886 45.345447),21E,-71.7510711356504,45.3460705860987,"-255039,28+155798,13",,,,,M,1,JIN,B,2A,20.0,MF,85.0,22,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'FT': 0.1, 'EB': 0.1, 'PB': 0.1, 'SB': 0.1}",0.0013391811424686986,7,1.8343719702816235,[4.791667],[10.766666],[26.19627],[1091.9308],[24.7],[-16.4],[41.1],[17.683334],[-8.116667],[17.683334],[-9.316667],[1100.],[127.],[60.],[21.589273],[352.],[201.],[352.],[221.]
1412707628,1995-09-05,1995,Québec,Onnia tomentosa,CMMF016004,POINT (-70.888105 45.580134),21E,-70.8910984430172,45.5780644306688,"-186925,69+179033,81",,,,,F,2,JIR,B,1A,40.0,F,55.0,18,JIN,"{'PE': 0.6, 'BP': 0.2, 'EO': 0.1, 'RX': 0.1}",0.0036392057256877373,4,1.0888999753452235,[3.8458333],[10.591666],[26.02375],[1079.8873],[23.5],[-17.2],[40.7],[16.633333],[-4.5166664],[16.633333],[-9.916667],[1166.],[126.],[72.],[16.424696],[359.],[237.],[359.],[249.]
3327782383,2016-10-04,2016,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/71156272,POINT (-71.402151 46.957508),21L,-71.4024783904748,46.9565999880289,"-220487,32+333426,12",,,,,M,2,VIR,D,1AY,20.0,MF,85.0,20,VIN,"{'BJ': 0.4, 'ER': 0.2, 'HG': 0.1, 'SB': 0.2, 'RX': 0.1}",0.000965230678462161,5,1.4708084763221112,[3.4958334],[10.075],[23.931116],[1140.6765],[23.9],[-18.2],[42.1],[15.966666],[-4.85],[16.933332],[-11.266666],[1324.],[137.],[79.],[16.687054],[391.],[255.],[381.],[286.]
1701210960,2003-08-31,2003,Québec,Onnia tomentosa,79cddf0a-6018-406e-a936-165582c19c02,POINT (-71.199812 46.908199),21L,-71.2012346192332,46.9080388157689,"-205382,94+327416,05",,,,,F,2,50,B,7T,50.0,F,75.0,20,50,"{'PE': 0.6, 'BP': 0.3, 'FT': 0.1}",0.0014316090494946255,3,0.8979457248567797,[4.2458334],[10.391666],[23.99923],[1174.2609],[25.6],[-17.7],[43.300003],[17.066668],[-9.55],[18.283333],[-10.816667],[1319.],[137.],[75.],[17.112534],[391.],[252.],[386.],[271.]
1412707535,2002-09-12,2002,Québec,Onnia tomentosa,CMMF016003,POINT (-71.246332 46.734052),21L,-71.246027505991,46.7354447230169,"-209529,36+308450,60",,,,,F,3,JIR,B,5SY,30.0,F,45.0,12,30,"{'PE': 0.7, 'BP': 0.2, 'RX': 0.1}",0.0014256205677939538,3,0.8018185525433372,[4.8458333],[10.091667],[23.523699],[1166.9998],[26.],[-16.9],[42.9],[17.633333],[-8.95],[18.766666],[-10.1],[1199.],[128.],[68.],[17.783663],[361.],[231.],[357.],[249.]
3044623340,2013-08-09,2013,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/16333757,POINT (-68.57575 48.4036),22C,-68.5746879182835,48.4034121457633,"-5531,92+489397,17",,,,,F,3,50,A,6S,20.0,F,35.0,15,50,"{'PE': 0.9, 'RX': 0.1}",0.0010785670061542948,2,0.3250829733914482,[3.0458333],[8.991667],[22.535505],[1098.3655],[22.8],[-17.1],[39.9],[15.216667],[-9.85],[16.25],[-10.983334],[899.],[94.],[47.],[21.691376],[272.],[156.],[270.],[179.]
2013680276,2013-08-08T10:46,2013,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/10117829,POINT (-68.791677 48.350289),22C,-68.791856650316,48.349890118435,"-21570,01+483443,61",,,,,M,3,JIR,A,6S,20.0,MR,85.0,13,JIN,"{'TO': 0.3, 'ML': 0.2, 'EB': 0.1, 'SB': 0.1, 'PE': 0.2, 'BP': 0.1}",0.00043747084352400084,6,1.6957425341696346,[3.2124999],[8.525],[22.142857],[1048.5447],[21.9],[-16.6],[38.5],[13.016666],[-4.5166664],[15.666666],[-10.3],[910.],[92.],[53.],[16.840675],[264.],[174.],[264.],[197.]
1135069706,1977-08-14,1977,Québec,Onnia tomentosa,CMMF008198,POINT (-68.127667 48.626),22C,-68.1259201077164,48.6271532880408,"+27424,79+514112,88",,,,,R,3,50,A,6S,30.0,R,55.0,15,50,"{'EB': 0.7, 'SB': 0.2, 'PE': 0.1}",0.0020932524825217702,3,0.8018185525433372,[3.2416666],[9.066667],[22.723476],[1095.4344],[23.],[-16.9],[39.9],[-1.15],[-4.9666667],[16.366667],[-10.783333],[940.],[90.],[59.],[12.539939],[257.],[189.],[248.],[233.]
617555627,1989-10-15,1989,Québec,Onnia tomentosa,CMMF000894,POINT (-74.144994 45.402527),31G,-74.1424718397712,45.4039606642682,"-441851,59+173897,93",,,,,F,2,JIN,A,5S,30.0,F,35.0,20,JIN,"{'ES': 0.5, 'EO': 0.2, 'FT': 0.2, 'FR': 0.1}",0.0029011524354319303,4,1.2206072645530173,[5.7041664],[9.591666],[23.168278],[1139.8453],[25.8],[-15.6],[41.4],[19.083332],[-7.9833336],[19.083332],[-8.95],[1027.],[101.],[61.],[15.302103],[293.],[201.],[293.],[216.]
4946131563,2024-09-10T08:42:30,2024,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/240927962,POINT (-74.023292 45.861392),31G,-74.0230417247317,45.8598999835179,"-428776,24+223694,11",,,,,M,2,JIN,C,1AY,30.0,MF,75.0,19,JIN,"{'BP': 0.3, 'EO': 0.2, 'BG': 0.1, 'FH': 0.1, 'SB': 0.2, 'RX': 0.1}",0.0015128618221077477,6,1.6957425341696346,[4.2916665],[10.233334],[24.13522],[1147.483],[24.7],[-17.7],[42.4],[17.766666],[-9.366667],[17.766666],[-10.45],[1137.],[112.],[71.],[12.861613],[313.],[233.],[313.],[256.]
4102609437,2022-10-01T10:43,2022,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/137285382,POINT (-75.02887 45.623018),31G,-75.0279820160314,45.6223193284458,"-508792,87+203893,20",,,,,M,2,JIN,B,R1A,30.0,MF,85.0,20,JIN,"{'CR': 0.3, 'FT': 0.2, 'BP': 0.1, 'EO': 0.1, 'PB': 0.2, 'RX': 0.1}",0.0011298926803628394,6,1.6957425341696346,[5.241667],[10.783333],[24.732416],[1170.2736],[26.3],[-17.3],[43.6],[13.85],[-8.883333],[18.833334],[-9.983334],[1042.],[102.],[63.],[16.404411],[302.],[202.],[294.],[218.]
2013685280,2016-09-02T15:13,2016,Québec,Onnia tomentosa,https://www.inaturalist.org/observations/16781611,POINT (-74.915325 45.944847),31G,-74.9165758012652,45.9444087868453,"-496936,77+238872,10",P,,,,R,4,10,A,2BE,20.0,R,95.0,8,10,{'RZ': 1.0},0.0013253431910192801,1,-0.0,[3.9458334],[11.291666],[25.721336],[1161.3344],[25.],[-18.9],[43.9],[17.416666],[-10.05],[17.416666],[-11.116667],[1075.],[109.],[64.],[18.160955],[320.],[207.],[320.],[215.]
1135068526,2010-10-14,2010,Québec,Onnia tomentosa,CMMF007030,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
1135067946,2005-10-22,2005,Québec,Onnia tomentosa,CMMF006492,POINT (-74.215833 45.393333),31G,-74.2159153456954,45.394052244897,"-447680,03+173254,03",,,,,R,3,JIR,A,5S,30.0,R,65.0,14,JIN,"{'EB': 0.3, 'SB': 0.3, 'EU': 0.2, 'PB': 0.1, 'PR': 0.1}",0.0007239433924058073,5,1.5047882836811908,[5.541667],[9.816667],[23.597757],[1143.183],[25.7],[-15.9],[41.6],[18.916666],[-8.216666],[18.916666],[-9.2],[1045.],[102.],[63.],[15.380452],[299.],[204.],[299.],[218.]
1135067941,2004-10-07,2004,Québec,Onnia tomentosa,CMMF006495,POINT (-74.215833 45.393333),31G,-74.2159153456954,45.394052244897,"-447680,03+173254,03",,,,,R,3,JIR,A,5S,30.0,R,65.0,14,JIN,"{'EB': 0.3, 'SB': 0.3, 'EU': 0.2, 'PB': 0.1, 'PR': 0.1}",0.0007239433924058073,5,1.5047882836811908,[5.541667],[9.816667],[23.597757],[1143.183],[25.7],[-15.9],[41.6],[18.916666],[-8.216666],[18.916666],[-9.2],[1045.],[102.],[63.],[15.380452],[299.],[204.],[299.],[218.]
617551142,1995-09-11,1995,Québec,Onnia tomentosa,CMMF002584,POINT (-72.584529 45.931221),31H,-72.5842799668517,45.9351393306654,"-316622,30+224582,90",,,,,F,2,50,A,5S,40.0,F,75.0,18,50,"{'BG': 0.4, 'EO': 0.4, 'PA': 0.1, 'PE': 0.1}",0.003926236456502169,4,1.193549604098133,[5.2],[10.05],[23.928572],[1146.4451],[25.4],[-16.6],[42.],[17.716667],[-8.683333],[18.633333],[-9.583333],[1049.],[109.],[62.],[16.32203],[304.],[203.],[302.],[219.]
