gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617553026	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003415	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Oxyporus populinus (Schumach.) Donk	Oxyporus populinus (Schumach.) Donk	(Schumach.) Donk	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1999-10-17	17	10	1999	5239325	5239325	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003415		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.053Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5008348003	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/255672820	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Rigidoporus populinus (Schumach.) Pouzar	Rigidoporus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.913024	-70.793462	31.0						2024-11-30T13:49	30	11	2024	2523440	5239325	HUMAN_OBSERVATION	iNaturalist	Observations	255672820		Loïs Rancilhac	2024-12-20T12:53:24	CC_BY_NC_4_0	Loïs Rancilhac	Loïs Rancilhac			2025-01-14T12:54:43.016Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007742187	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/63832771	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Rigidoporus populinus (Schumach.) Pouzar	Rigidoporus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.428813	-73.941391	189.0						2020-10-30T11:04	30	10	2020	2523440	5239325	HUMAN_OBSERVATION	iNaturalist	Observations	63832771		Ariel Bonkoski	2024-12-21T23:57:07	CC_BY_NC_4_0	inspector_crow	inspector_crow			2025-01-14T12:16:05.621Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007521319	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/255618214	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Rigidoporus populinus (Schumach.) Pouzar	Rigidoporus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.482147	-71.185775	48.0						2024-10-01T10:40	1	10	2024	2523440	5239325	HUMAN_OBSERVATION	iNaturalist	Observations	255618214		gabboilard	2024-12-19T21:13:56	CC_BY_NC_4_0	gabboilard	gabboilard			2025-01-14T13:45:00.331Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994547612	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236554233	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Rigidoporus populinus (Schumach.) Pouzar	Rigidoporus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.860787	-74.783403	26.0						2024-08-18T12:13:51	18	8	2024	2523440	5239325	HUMAN_OBSERVATION	iNaturalist	Observations	236554233		Charlie S	2024-08-18T17:51:30	CC_BY_NC_4_0	Charlie S	Charlie S			2025-01-14T12:52:06.734Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994547126	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/248917150	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Rigidoporus populinus (Schumach.) Pouzar	Rigidoporus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.422295	-75.816902	5.0						2024-10-24T14:45:07	24	10	2024	2523440	5239325	HUMAN_OBSERVATION	iNaturalist	Observations	248917150		flemster	2024-10-24T18:46:21	CC_BY_NC_4_0	flemster	flemster			2025-01-14T12:54:48.092Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994539634	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252675256	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Rigidoporus populinus (Schumach.) Pouzar	Rigidoporus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.037455	-74.071997	1953.0						2024-08-20T15:49	20	8	2024	2523440	5239325	HUMAN_OBSERVATION	iNaturalist	Observations	252675256		Annabelle Langlois	2024-11-23T03:43:07	CC_BY_NC_4_0	Annabelle Langlois	Annabelle Langlois			2025-01-14T13:44:36.590Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994536094	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241940274	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Rigidoporus populinus (Schumach.) Pouzar	Rigidoporus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.544405	-73.667205	5.0						2024-09-15T13:19:16	15	9	2024	2523440	5239325	HUMAN_OBSERVATION	iNaturalist	Observations	241940274		Marie Blain	2024-09-15T19:28:31	CC_BY_NC_4_0	Marie Blain	Marie Blain			2025-01-14T12:54:23.124Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994517536	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/133654348	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Rigidoporus populinus (Schumach.) Pouzar	Rigidoporus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.365578	-73.993492							2022-09-04T13:52:36	4	9	2022	2523440	5239325	HUMAN_OBSERVATION	iNaturalist	Observations	133654348		Deniz Kuru	2022-09-04T18:55:43	CC_BY_NC_4_0	Deniz Kuru	Deniz Kuru			2025-01-14T12:31:22.440Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994492338	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244544730	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Oxyporaceae	Oxyporus	Oxyporus populinus		SPECIES	Rigidoporus populinus (Schumach.) Pouzar	Rigidoporus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.778723	-72.003592	571.0						2024-09-28T10:11:16	28	9	2024	2523440	5239325	HUMAN_OBSERVATION	iNaturalist	Observations	244544730		egrenier	2024-09-28T18:49:22	CC_BY_NC_4_0	egrenier	egrenier			2025-01-14T12:54:16.079Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
