gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4606960054,2024-04-08T18:56:50,2024.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/206254811,POINT (-71.910758 45.35762),21E,-71.9100563417047,45.3564802444976,"-267465,54+157557,97",,,,,F,3,50,B,1AY,30.0,F,95.0,16,50,"{'EO': 0.4, 'BJ': 0.1, 'ES': 0.1, 'FT': 0.1, 'PE': 0.1, 'RX': 0.1, 'SB': 0.1}",0.0013384195786872327,7,1.7480673485460891,[5.008333],[10.433333],[25.571896],[1096.9231],[24.8],[-16.],[40.8],[17.966667],[-7.9333334],[17.966667],[-9.116667],[1095.],[128.],[55.],[24.533264],[357.],[187.],[357.],[205.]
4867654341,2024-05-15,2024.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/216279860,POINT (-71.334531 46.790539),21L,-71.3352892601203,46.7924775535717,"-216094,99+315056,15",,,,,R,3,JIR,A,5A,50.0,R,75.0,14,70,"{'ML': 0.6, 'EN': 0.2, 'RX': 0.1, 'BP': 0.1}",0.002081573529902355,4,1.0888999753452235,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
4854868813,2024-04-28T10:40:35,2024.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/213889401,POINT (-71.441118 46.732503),21L,-71.4402835824072,46.7325848624169,"-224540,03+308799,32",,,,,F,2,JIR,A,5A,50.0,F,25.0,18,50,"{'FO': 0.6, 'FN': 0.2, 'PA': 0.2}",0.0008384236247104411,3,0.9502705392332347,[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38],[-3.4e+38]
4596853467,2023-10-21T16:16:22,2023.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/188438859,POINT (-71.34049 46.773572),21L,-71.340143811475,46.7744056493545,"-216404,93+313150,85",,,,,M,3,JIR,B,5A,30.0,MF,55.0,15,JIN,"{'BP': 0.2, 'EO': 0.2, 'FN': 0.1, 'PE': 0.1, 'SB': 0.3, 'PB': 0.1}",0.0009026725547483262,6,1.6957425341696346,[4.883333],[10.150001],[23.549885],[1176.4263],[26.2],[-16.9],[43.1],[17.75],[-9.],[18.916666],[-10.183333],[1223.],[128.],[69.],[16.688593],[365.],[245.],[358.],[253.]
4596810354,2023-08-19T15:24:17,2023.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/179322674,POINT (-71.390522 46.772885),21L,-71.3895251081549,46.7732448432714,"-220305,35+313092,34",,,,,F,3,JIR,A,5A,40.0,F,65.0,16,JIN,"{'PE': 0.4, 'BG': 0.2, 'BP': 0.1, 'FH': 0.1, 'FN': 0.1, 'RX': 0.1}",0.0010598492962713376,6,1.6094379124341,[4.429167],[10.091667],[23.801102],[1158.295],[25.3],[-17.1],[42.4],[17.1],[-4.2],[18.1],[-10.483334],[1215.],[127.],[69.],[17.204857],[365.],[238.],[356.],[255.]
4523426973,1938-09-24,1938.0,Québec,Peniophora rufa,6d8ea60c-f864-4858-8bc0-6dc5e170b8a1,POINT (-71.7 46.75),21L,-71.6989153106372,46.7529019450234,"-243968,64+311714,12",,,,,M,2,VIR,D,3AN,20.0,MM,65.0,20,VIN,"{'EB': 0.3, 'SB': 0.2, 'BJ': 0.2, 'EO': 0.2, 'FH': 0.1}",0.003098037432411425,5,1.5571130980576458,[4.0875],[10.241667],[23.762568],[1164.9199],[24.9],[-18.2],[43.1],[16.733334],[-9.866667],[17.766666],[-10.983334],[1218.],[133.],[67.],[19.620543],[366.],[227.],[365.],[247.]
4523426484,1938-09-24,1938.0,Québec,Peniophora rufa,64f19f9c-f0cf-4127-812d-25bc07625ef2,POINT (-71.7 46.75),21L,-71.6989153106372,46.7529019450234,"-243968,64+311714,12",,,,,M,2,VIR,D,3AN,20.0,MM,65.0,20,VIN,"{'EB': 0.3, 'SB': 0.2, 'BJ': 0.2, 'EO': 0.2, 'FH': 0.1}",0.003098037432411425,5,1.5571130980576458,[4.0875],[10.241667],[23.762568],[1164.9199],[24.9],[-18.2],[43.1],[16.733334],[-9.866667],[17.766666],[-10.983334],[1218.],[133.],[67.],[19.620543],[366.],[227.],[365.],[247.]
4507577232,2023-10-25T13:08:15,2023.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/189239246,POINT (-71.287485 46.778684),21L,-71.2883151052035,46.7787125836834,"-212567,19+313393,01",,,,,F,3,30,B,5S,20.0,F,75.0,16,30,"{'PE': 0.5, 'BP': 0.3, 'EO': 0.1, 'FN': 0.1}",0.0008305971802381374,4,1.1682824501765625,[5.0291667],[10.358334],[23.541666],[1200.5537],[27.1],[-16.9],[44.],[18.116667],[-9.033333],[19.533333],[-10.25],[1265.],[134.],[71.],[16.788204],[379.],[256.],[374.],[261.]
4133777402,2021-10-18T11:49,2021.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/99549936,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,20,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",0.001883593060471962,4,1.2798542258336674,[5.0958333],[10.408333],[23.601662],[1202.7251],[27.2],[-16.9],[44.1],[18.216667],[-8.966666],[19.633333],[-10.216666],[1253.],[133.],[71.],[16.758148],[375.],[252.],[370.],[258.]
4067626847,2023-03-14T17:33:23,2023.0,Québec,Peniophora rufa,https://www.inaturalist.org/observations/151202807,POINT (-71.294178 46.732472),21L,-71.2901270574993,46.7354518118801,"-212887,72+308574,05",,,,,F,2,50,A,1AM,20.0,F,55.0,18,50,"{'PE': 0.5, 'EO': 0.3, 'EB': 0.1, 'RX': 0.1}",0.005028858119366086,4,1.1682824501765625,[4.679167],[9.891666],[23.495646],[1145.7202],[25.3],[-16.8],[42.1],[17.316668],[-8.933333],[18.25],[-10.016666],[1192.],[127.],[67.],[17.374205],[358.],[233.],[353.],[247.]
