gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694156924	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	13631	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae (Bondartsev) Bondartsev & P.N. Borisov	(Bondartsev) Bondartsev & P.N. Borisov	CA	Algonquin Provincial Park, near old airport field	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.573497	-78.521572	560.0						2003-02-20	20	2	2003	2520773	2520773	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC054958		Liu, J.		CC0_1_0	Royal Ontario Museum	Liu, J.			2024-01-25T00:59:41.516Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617550481	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002297	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae (Bondartsev) Bondartsev & P.N. Borisov	(Bondartsev) Bondartsev & P.N. Borisov	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						1994-09-04	4	9	1994	2520773	2520773	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002297		Audet, Serge		CC0_1_0	Université de Montréal Biodiversity Centre	Audet, Serge			2024-01-24T16:38:19.480Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5008276851	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241972460	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.501484	-64.004606	15.0						2024-09-15T11:38	15	9	2024	2520773	2520773	HUMAN_OBSERVATION	iNaturalist	Observations	241972460		hardywoods	2024-09-15T22:11:54	CC_BY_NC_4_0	hardywoods	hardywoods			2025-01-14T13:43:19.170Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007521854	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/255806824	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.304884	-75.944554	27031.0						2024-12-21T16:09:58	21	12	2024	2520773	2520773	HUMAN_OBSERVATION	iNaturalist	Observations	255806824		claudie_b	2024-12-21T21:45:32	CC_BY_NC_4_0	claudie_b	claudie_b			2025-01-14T12:57:16.260Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5007142957	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/256332301	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.949417	-66.887436							2024-06-29T16:42	29	6	2024	2520773	2520773	HUMAN_OBSERVATION	iNaturalist	Observations	256332301		Dwayne Sabine	2024-12-27T01:38:24	CC_BY_NC_4_0	Dwayne Sabine	Dwayne Sabine			2025-01-14T12:57:43.325Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994202951	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/253655615	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.923578	-66.600578							2024-05-08T12:37	8	5	2024	2520773	2520773	HUMAN_OBSERVATION	iNaturalist	Observations	253655615		Dwayne Sabine	2024-11-30T19:08:35	CC_BY_NC_4_0	Dwayne Sabine	Dwayne Sabine			2025-01-14T12:54:19.897Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4993846853	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184239200	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.270131	-75.536221	138577.0						2023-08-26T14:48:27	26	8	2023	2520773	2520773	HUMAN_OBSERVATION	iNaturalist	Observations	184239200		calvert7272	2023-09-21T14:47:10	CC_BY_NC_4_0	roberthossie	roberthossie			2025-01-14T12:42:09.755Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4987409883	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252677670	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.527753	-64.009956	4.0						2024-11-22T15:03:55	22	11	2024	2520773	2520773	HUMAN_OBSERVATION	iNaturalist	Observations	252677670		Rosemary Curley	2024-11-23T04:13:07	CC_BY_NC_4_0	Rosemary Curley	Rosemary Curley			2025-01-14T13:45:15.418Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4978333901	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/249944967	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.113383	-64.797272	5.0						2024-10-27T12:23:31	27	10	2024	2520773	2520773	HUMAN_OBSERVATION	iNaturalist	Observations	249944967		mossqueen	2024-10-31T23:39:20	CC_BY_NC_4_0	mossqueen	mossqueen			2025-01-14T13:38:50.564Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4978311855	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241572071	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Phellinus	Phellinus tremulae		SPECIES	Phellinus tremulae (Bondartsev) Bondartsev & P.N.Borisov	Phellinus tremulae		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.370347	-76.905167							2024-09-13T16:22:17	13	9	2024	2520773	2520773	HUMAN_OBSERVATION	iNaturalist	Observations	241572071		Nina	2024-09-14T01:56:19	CC_BY_NC_4_0	Nina	Nina			2025-01-14T12:54:11.944Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
