gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4424485670,2023-10-09T16:34:23,2023,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/186898619,POINT (-71.941887 45.393172),21E,-71.9403113204434,45.3932205246047,"-269634,37+161754,84",,,,,F,2,50,A,3AN,50.0,F,65.0,19,50,"{'BJ': 0.3, 'EO': 0.2, 'BP': 0.1, 'FR': 0.1, 'OR': 0.1, 'PE': 0.1, 'PU': 0.1}",0.0015764265610336504,7,1.8343719702816235,[5.5291667],[10.858334],[25.976875],[1111.4108],[25.8],[-16.],[41.8],[18.65],[-7.65],[18.65],[-8.816667],[1075.],[127.],[51.],[25.79771],[359.],[179.],[359.],[194.]
1946201716,2018-09-28T15:54,2018,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/17048348,POINT (-71.898348 45.02605),21E,-71.8988281452789,45.026752529025,"-268375,73+120942,38",,,,,M,2,JIR,F,R,10.0,MR,75.0,17,70,"{'EU': 0.4, 'SB': 0.2, 'PB': 0.1, 'BP': 0.2, 'FX': 0.1}",0.0008509327351940637,5,1.4708084763221112,[4.141667],[10.5],[26.119402],[1062.4753],[23.6],[-16.6],[40.2],[16.716667],[-8.416667],[16.716667],[-9.483334],[1231.],[135.],[72.],[17.879377],[380.],[241.],[380.],[259.]
3455869833,2021-10-07T09:55:59,2021,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/98057179,POINT (-71.238913 46.787045),21L,-71.2384754177419,46.7855982717232,"-208781,13+314004,89",,,,,F,2,VIN,F,5S,20.0,F,75.0,18,VIN,"{'FT': 0.5, 'ES': 0.2, 'EO': 0.1, 'RX': 0.1, 'TO': 0.1}",0.0015114565622233443,5,1.3592367006650063,[5.175],[10.233334],[23.524904],[1184.7622],[26.9],[-16.6],[43.5],[18.183334],[-8.733334],[19.466667],[-9.9],[1221.],[130.],[68.],[18.545538],[370.],[233.],[364.],[249.]
3398988435,2021-10-18T16:11:20,2021,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/98664997,POINT (-71.277262 46.779822),21L,-71.2722958302962,46.7796049000976,"-211343,83+313444,00",,,,,F,2,VIR,A,1A,30.0,F,85.0,19,VIN,"{'ES': 0.7, 'FT': 0.2, 'EO': 0.1}",0.0049709127828280264,3,0.8018185525433372,[5.0458336],[10.358334],[23.541666],[1199.6201],[27.1],[-16.9],[44.],[18.133333],[-8.983334],[19.55],[-10.216666],[1266.],[134.],[72.],[16.708242],[379.],[256.],[374.],[261.]
2429264900,2019-09-21,2019,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/33461556,POINT (-71.309092 46.833378),21L,-71.3099384930337,46.8326221104316,"-213879,20+319465,29",,,,,F,2,VIN,A,5A,31.0,F,85.0,21,VIN,"{'PE': 0.4, 'EO': 0.2, 'FT': 0.2, 'FH': 0.1, 'SE': 0.1}",0.0011348654086313903,5,1.4708084763221112,[4.929167],[10.474999],[23.861048],[1194.1724],[26.8],[-17.1],[43.9],[17.933332],[-9.1],[19.233334],[-10.383333],[1261.],[132.],[71.],[17.008015],[378.],[248.],[369.],[258.]
1920808046,2018-10-06,2018,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/17265464,POINT (-71.081345 46.89281),21L,-71.0818119084592,46.8933082755137,"-196373,07+325514,18",,,,,M,2,JIN,A,5S,21.0,MF,75.0,18,JIN,"{'EO': 0.3, 'BP': 0.2, 'BJ': 0.1, 'PE': 0.1, 'PU': 0.2, 'SB': 0.1}",0.0006828484435268529,6,1.6957425341696346,[4.3125],[9.891666],[23.607798],[1141.5562],[24.6],[-17.3],[41.9],[16.85],[-9.316667],[17.783333],[-10.366667],[1240.],[135.],[66.],[22.153692],[381.],[215.],[374.],[239.]
4431177803,2023-10-17T16:03:42,2023,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/188082292,POINT (-75.735195 45.489037),31G,-75.731296339773,45.4900995936529,"-565054,30+194790,56",,,,,F,2,JIN,D,5A,20.0,F,85.0,18,JIN,"{'PE': 0.5, 'EO': 0.2, 'ES': 0.1, 'FT': 0.1, 'PB': 0.1}",0.004040873276512764,5,1.3592367006650063,[5.579167],[10.408333],[24.318537],[1160.1987],[26.4],[-16.4],[42.8],[19.183334],[-8.266666],[19.183334],[-9.416667],[943.],[90.],[58.],[14.559938],[268.],[184.],[268.],[203.]
3912001461,2021-10-04T14:41:11,2021,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/106327435,POINT (-74.940872 45.651997),31G,-74.9431185791611,45.6479384765011,"-501958,36+206275,99",,,,,F,1,VIR,A,3AN,30.0,F,65.0,28,VIN,"{'EA': 0.6, 'BJ': 0.1, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",0.004638828614874323,5,1.2275294114572126,[5.2791667],[10.758333],[24.788786],[1163.698],[26.2],[-17.2],[43.4],[13.883333],[-8.766667],[18.816666],[-9.833334],[1026.],[100.],[62.],[16.683996],[296.],[197.],[292.],[213.]
3391373652,2021-10-07T09:24,2021,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/97587566,POINT (-74.186712 45.397554),31G,-74.185472669935,45.3960289384302,"-445284,06+173278,29",,,,,R,1,JIR,A,5S,30.0,R,55.0,22,JIN,"{'PB': 0.6, 'EU': 0.1, 'PU': 0.1, 'EO': 0.1, 'FT': 0.1}",0.00196513404166427,5,1.2275294114572126,[5.55],[9.683333],[23.44633],[1138.2622],[25.6],[-15.7],[41.3],[18.883333],[-8.133333],[18.883333],[-9.1],[1048.],[102.],[64.],[14.927898],[297.],[206.],[297.],[219.]
3384464200,2021-10-03T10:33:41,2021,Québec,Pholiota aurivella,https://www.inaturalist.org/observations/97092918,POINT (-75.85695 45.760727),31G,-75.8582703329592,45.7604965896239,"-571728,30+225548,97",,,CP,,M,2,JIR,B,1A,40.0,MF,75.0,19,JIN,"{'ES': 0.3, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'FO': 0.1, 'SB': 0.2, 'RX': 0.1}",0.0013402865606115663,7,1.8343719702816235,[3.9541667],[10.875],[25.],[1161.4812],[24.9],[-18.6],[43.5],[12.7],[-10.033334],[17.433332],[-11.083333],[1066.],[106.],[68.],[13.90217],[302.],[214.],[300.],[225.]
