gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1135070172,2006-06-28,2006,Québec,Pholiota granulosa,CMMF008664,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1135067098,2010-07-11,2010,Québec,Pholiota granulosa,CMMF010595,POINT (-71.254455 46.918501),21L,-71.2551573788685,46.9180378961829,"-209449,67+328601,31",,,,,F,3,50,B,1A,30.0,F,85.0,15,50,"{'BJ': 0.3, 'ES': 0.2, 'FT': 0.2, 'FI': 0.1, 'EB': 0.1, 'SB': 0.1}",0.0008413092299147043,6,1.6957425341696346,[3.4583333],[10.316667],[23.93658],[1166.2816],[24.6],[-18.5],[43.1],[16.2],[-5.05],[17.4],[-11.5],[1381.],[141.],[86.],[14.374785],[399.],[277.],[397.],[307.]
2574060779,2013-08-07T19:44:57,2013,Québec,Pholiota granulosa,https://www.inaturalist.org/observations/7018238,POINT (-68.53497 48.43898),22C,-68.5347463694367,48.4318030388778,"-2640,81+492454,84",,,,,R,3,50,C,6S,20.0,R,65.0,13,50,"{'EB': 0.6, 'SB': 0.2, 'PE': 0.2}",0.00718044438585692,3,0.9502705392332347,[3.6958334],[9.025],[22.506233],[1099.9658],[23.7],[-16.4],[40.1],[15.900001],[-9.216666],[17.],[-10.316667],[873.],[89.],[48.],[21.46352],[265.],[150.],[259.],[167.]
3858568891,2022-06-19T11:24,2022,Québec,Pholiota granulosa,https://www.inaturalist.org/observations/123167322,POINT (-76.50756 45.807755),31F,-76.5063311966172,45.8062143019779,"-621399,78+235989,90",,,CP,,M,1,JIN,D,1AM,20.0,MF,75.0,23,JIN,"{'ES': 0.3, 'FT': 0.2, 'BJ': 0.1, 'EO': 0.1, 'SE': 0.2, 'RX': 0.1}",0.001970712599259161,6,1.6957425341696346,[4.15],[11.083333],[25.246773],[1163.0543],[25.3],[-18.6],[43.9],[16.783333],[-9.833333],[17.633333],[-10.95],[913.],[90.],[53.],[15.354397],[261.],[180.],[259.],[186.]
1699435294,1985-07-11,1985,Québec,Pholiota granulosa,CMMF018732,POINT (-74.016094 45.983387),31G,-74.0158986116348,45.9819089711425,"-426989,17+237247,34",,,,,F,1,VIN,D,1AY,31.0,F,75.0,22,VIN,"{'ES': 0.6, 'BJ': 0.2, 'EO': 0.1, 'FI': 0.1}",0.0014908876271714296,4,1.0888999753452235,[3.6083333],[10.366667],[24.277908],[1153.116],[24.1],[-18.6],[42.7],[17.15],[-10.15],[17.15],[-11.2],[1196.],[119.],[74.],[13.133183],[329.],[244.],[329.],[268.]
1024559714,2013-06-17,2013,Québec,Pholiota granulosa,CMMF005269,POINT (-74.115909 45.083685),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30.0,F,85.0,18,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",0.0010672775488101715,5,1.5571130980576458,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
1024559031,2012-08-13,2012,Québec,Pholiota granulosa,CMMF004372,POINT (-74.116838 45.084774),31G,-74.1154295636293,45.0855808278605,"-442519,82+138397,69",,,,,F,1,VIR,B,1A,30.0,F,95.0,26,VIN,"{'ES': 0.5, 'HG': 0.2, 'TA': 0.2, 'FT': 0.1}",0.0016231648735625546,4,1.2206072645530173,[6.304167],[10.141666],[24.675589],[1122.5873],[26.5],[-14.6],[41.1],[19.533333],[-7.0833335],[19.533333],[-8.183333],[1000.],[98.],[60.],[14.752622],[287.],[196.],[287.],[209.]
1024558995,2012-08-05,2012,Québec,Pholiota granulosa,CMMF004362,POINT (-74.116954 45.08587),31G,-74.1154295636293,45.0855808278605,"-442519,82+138397,69",,,,,F,1,VIR,B,1A,30.0,F,95.0,26,VIN,"{'ES': 0.5, 'HG': 0.2, 'TA': 0.2, 'FT': 0.1}",0.0015516206928825953,4,1.2206072645530173,[6.304167],[10.141666],[24.675589],[1122.5873],[26.5],[-14.6],[41.1],[19.533333],[-7.0833335],[19.533333],[-8.183333],[1000.],[98.],[60.],[14.752622],[287.],[196.],[287.],[209.]
1024558874,2012-07-09,2012,Québec,Pholiota granulosa,CMMF004261,POINT (-74.113369 45.086318),31G,-74.1115209849272,45.0869688391928,"-442200,98+138526,99",,,,,F,2,JIR,B,1A,30.0,F,75.0,21,JIN,"{'FT': 0.4, 'TA': 0.3, 'ES': 0.2, 'HG': 0.1}",0.0019592731724332926,4,1.2798542258336674,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
1024558797,2012-06-10,2012,Québec,Pholiota granulosa,CMMF004203,POINT (-74.113549 45.085052),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30.0,F,85.0,18,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",0.001872799573884689,5,1.5571130980576458,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
