gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4953000892,2024-09-27T14:26:54,2024,Québec,Pholiota limonella,https://www.inaturalist.org/observations/244619061,POINT (-71.392265 46.742427),21L,-71.3935134640979,46.7435998450833,"-220767,73+309784,98",,,,,M,2,JIR,C,2A,20.0,MF,75.0,18,JIN,"{'FT': 0.4, 'EO': 0.2, 'ES': 0.1, 'PB': 0.2, 'SE': 0.1}",0.0017129589000234606,5,1.4708084763221112,[4.491667],[9.983334],[23.657188],[1150.3691],[25.2],[-17.],[42.2],[17.133333],[-9.183333],[18.083334],[-10.283334],[1199.],[125.],[68.],[17.056007],[360.],[235.],[352.],[252.]
4908678445,2023-10-09T12:36,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/224672003,POINT (-71.202222 46.741111),21L,-71.2033451484636,46.7402189565775,"-206463,44+308849,46",,,,,F,2,JIN,D,1AY,30.0,F,65.0,20,JIN,"{'ES': 0.5, 'FT': 0.2, 'PE': 0.2, 'RX': 0.1}",0.0014342956246486966,4,1.2206072645530173,[4.6666665],[10.216667],[23.815073],[1163.2582],[25.7],[-17.2],[42.9],[17.383333],[-9.116667],[18.483334],[-10.266666],[1203.],[130.],[67.],[18.5019],[363.],[228.],[361.],[246.]
4597322529,2023-10-02,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/193379628,POINT (-71.215365 46.912071),21L,-71.2168245794642,46.9111869260586,"-206561,11+327874,70",,,,,F,1,VIN,C,1A,30.0,F,75.0,22,VIN,"{'HG': 0.5, 'EO': 0.2, 'ES': 0.2, 'SB': 0.1}",0.0017064462916147227,4,1.2206072645530173,[3.8875],[10.241667],[23.87335],[1162.8964],[24.9],[-18.],[42.9],[16.6],[-9.783334],[17.75],[-11.05],[1330.],[138.],[79.],[15.944893],[390.],[263.],[386.],[284.]
4453794627,2022-09-25,2022,Québec,Pholiota limonella,https://www.inaturalist.org/observations/142075647,POINT (-71.403743 46.957784),21L,-71.4044573686607,46.9570000386444,"-220614,29+333514,77",,,,,R,4,30,A,7T,50.0,R,55.0,11,30,"{'EN': 0.5, 'SB': 0.3, 'EU': 0.2}",0.0010606215114021163,3,1.0296530140645737,[3.4958334],[10.075],[23.931116],[1140.6765],[23.9],[-18.2],[42.1],[15.966666],[-4.85],[16.933332],[-11.266666],[1324.],[137.],[79.],[16.687054],[391.],[255.],[381.],[286.]
4431239409,2023-10-18T08:02:53,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/188364758,POINT (-71.39481 46.741667),21L,-71.396238869904,46.7416226436324,"-220960,63+309603,85",,,,,M,1,VIN,C,2A,20.0,MF,85.0,22,VIN,"{'FT': 0.3, 'ER': 0.2, 'PE': 0.1, 'PU': 0.3, 'PB': 0.1}",0.0014295582149300076,5,1.5047882836811908,[4.491667],[9.983334],[23.657188],[1150.3691],[25.2],[-17.],[42.2],[17.133333],[-9.183333],[18.083334],[-10.283334],[1199.],[125.],[68.],[17.056007],[360.],[235.],[352.],[252.]
4431134971,2023-10-15T18:55,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/187835995,POINT (-71.270143 46.784414),21L,-71.2720105484705,46.784168672611,"-211298,92+313945,42",,,,,F,2,JIR,A,1A,30.0,F,75.0,20,JIN,"{'EO': 0.4, 'ES': 0.3, 'FT': 0.2, 'FI': 0.1}",0.001883593060471962,4,1.2798542258336674,[5.0958333],[10.408333],[23.601662],[1202.7251],[27.2],[-16.9],[44.1],[18.216667],[-8.966666],[19.633333],[-10.216666],[1253.],[133.],[71.],[16.758148],[375.],[252.],[370.],[258.]
4421010951,2023-09-20T15:54:04,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/184860514,POINT (-71.272412 46.777088),21L,-71.2720147918137,46.7775284114518,"-211166,54+313185,69",,,,,F,2,JIR,A,1A,30.0,F,75.0,17,JIN,"{'EO': 0.5, 'ES': 0.3, 'FI': 0.1, 'FT': 0.1}",0.0005930738488067987,4,1.1682824501765625,[5.070833],[10.391666],[23.56387],[1201.81],[27.2],[-16.9],[44.1],[18.183334],[-8.983334],[19.6],[-10.216666],[1260.],[133.],[71.],[16.673409],[377.],[254.],[372.],[260.]
4453695970,2023-09-02T10:26:22,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/181381413,POINT (-76.38976 45.97364),31F,-76.3879980285522,45.9747974919694,"-610104,23+253616,61",,,,,F,2,VIN,C,1AY,30.0,F,85.0,21,VIN,"{'ES': 0.4, 'HG': 0.3, 'BJ': 0.2, 'FT': 0.1}",0.0021081582108667964,4,1.2798542258336674,[3.8500001],[11.150001],[25.34091],[1166.7847],[25.1],[-18.9],[44.],[17.4],[-10.15],[17.4],[-11.25],[954.],[96.],[57.],[15.024008],[275.],[192.],[275.],[197.]
4431091386,2023-10-13T14:04,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/187633433,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4431083211,2023-10-13T12:09,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/187571113,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4430524366,2023-09-29T14:35,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/185951908,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4976514764,2024-10-18T17:23:49,2024,Québec,Pholiota limonella,https://www.inaturalist.org/observations/248004156,POINT (-75.859047 45.490917),31G,-75.8588439960057,45.4918417845519,"-574972,37+195801,75",,,CP,,F,1,VIN,D,1AY,20.0,F,65.0,24,VIN,"{'HG': 0.4, 'ES': 0.3, 'FT': 0.2, 'EO': 0.1}",0.0009468036169830443,4,1.2798542258336674,[4.695833],[10.474999],[24.531616],[1152.4607],[25.4],[-17.3],[42.699997],[17.3],[-9.15],[18.166666],[-10.216666],[1014.],[97.],[64.],[12.932982],[283.],[206.],[281.],[217.]
4954715939,2024-10-07T13:17:37,2024,Québec,Pholiota limonella,https://www.inaturalist.org/observations/246223655,POINT (-74.940872 45.651947),31G,-74.9431185791611,45.6479384765011,"-501958,36+206275,99",,,,,F,1,VIR,A,3AN,30.0,F,65.0,28,VIN,"{'EA': 0.6, 'BJ': 0.1, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1}",0.0045951472847204486,5,1.2275294114572126,[5.2791667],[10.758333],[24.788786],[1163.698],[26.2],[-17.2],[43.4],[13.883333],[-8.766667],[18.816666],[-9.833334],[1026.],[100.],[62.],[16.683996],[296.],[197.],[292.],[213.]
4953021402,2024-09-28T15:24:26,2024,Québec,Pholiota limonella,https://www.inaturalist.org/observations/244551993,POINT (-74.019372 45.924422),31G,-74.0189761254361,45.9266185618153,"-427797,48+230989,62",,,,,F,2,VIR,D,1A,31.0,F,75.0,20,VIN,"{'BP': 0.4, 'BJ': 0.1, 'EO': 0.1, 'ES': 0.1, 'PE': 0.1, 'PB': 0.1, 'RX': 0.1}",0.002231949927484196,7,1.7480673485460891,[4.0916667],[10.166667],[23.921568],[1149.0883],[24.5],[-18.],[42.5],[17.583334],[-9.616667],[17.583334],[-10.65],[1159.],[114.],[72.],[12.757912],[318.],[238.],[318.],[259.]
4430972558,2023-10-05T10:38:08,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/186303105,POINT (-75.870108 45.535822),31G,-75.8715693448603,45.5355528398756,"-575330,27+200766,93",,,,,F,1,VIN,C,1AY,30.0,F,95.0,24,VIN,"{'ES': 0.5, 'CR': 0.2, 'FT': 0.1, 'HG': 0.1, 'TA': 0.1}",0.001485925964946714,5,1.3592367006650063,[4.775],[10.349999],[24.238874],[1150.0662],[25.5],[-17.2],[42.7],[17.416666],[-9.05],[18.233334],[-10.05],[1010.],[97.],[64.],[14.09743],[284.],[199.],[280.],[214.]
4430587504,2023-10-13T10:25:30,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/187366737,POINT (-74.078136 45.613842),31G,-74.0779978505106,45.6179696772546,"-434877,33+197244,06",,,,,F,1,JIN,B,1A,40.0,F,95.0,24,JIN,"{'EA': 0.2, 'EO': 0.2, 'ES': 0.2, 'FT': 0.2, 'BJ': 0.1, 'FH': 0.1}",0.00412998847450871,6,1.7480673485460894,[5.4541664],[10.258333],[24.251379],[1161.1818],[26.],[-16.3],[42.3],[7.85],[-8.433333],[19.033333],[-9.583333],[1023.],[100.],[62.],[14.650003],[285.],[204.],[283.],[224.]
4424167288,2023-10-05T10:37:08,2023,Québec,Pholiota limonella,https://www.inaturalist.org/observations/186304245,POINT (-75.87019 45.536107),31G,-75.8715693448603,45.5355528398756,"-575330,27+200766,93",,,,,F,1,VIN,C,1AY,30.0,F,95.0,24,VIN,"{'ES': 0.5, 'CR': 0.2, 'FT': 0.1, 'HG': 0.1, 'TA': 0.1}",0.0014865011561191225,5,1.3592367006650063,[4.775],[10.349999],[24.238874],[1150.0662],[25.5],[-17.2],[42.7],[17.416666],[-9.05],[18.233334],[-10.05],[1010.],[97.],[64.],[14.09743],[284.],[199.],[280.],[214.]
1135068475,1976-09-16,1976,Québec,Pholiota limonella,CMMF006991,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
617551171,1995-09-15,1995,Québec,Pholiota limonella,CMMF002592,POINT (-72.208677 45.340394),31H,-72.2073743928625,45.341261628967,"-290853,50+157027,10",,,,,F,2,VIN,C,1AY,30.0,F,85.0,21,VIN,"{'BJ': 0.3, 'ES': 0.2, 'HG': 0.2, 'FI': 0.1, 'FR': 0.1, 'RX': 0.1}",0.001565108743507928,6,1.6957425341696346,[4.8958335],[9.925],[24.689056],[1080.1504],[24.3],[-15.9],[40.199997],[17.616667],[-3.05],[17.616667],[-9.016666],[1204.],[126.],[71.],[15.462753],[359.],[242.],[359.],[263.]
