gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4528167697,2022-08-23T12:58:36,2022,Québec,Pholiota squarrosa,https://www.inaturalist.org/observations/132029255,POINT (-70.675476 45.714554),21E,-70.6759339351066,45.7150106947397,"-169493,78+193647,25",,,,,F,2,VIN,B,1A,30.0,F,95.0,20,VIN,"{'EO': 0.6, 'BP': 0.1, 'ES': 0.1, 'FT': 0.1, 'RX': 0.1}",0.0006467415613101289,5,1.2275294114572126,[3.6000001],[11.216666],[26.898481],[1100.376],[23.8],[-17.9],[41.699997],[16.6],[-4.5],[16.6],[-10.566667],[1084.],[116.],[68.],[17.730549],[340.],[215.],[340.],[230.]
1135070402,2006-08-19,2006,Québec,Pholiota squarrosa,CMMF008998,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
1135066609,2007-09-18,2007,Québec,Pholiota squarrosa,CMMF010029,POINT (-71.301288 46.887678),21L,-71.302130419587,46.8890810275723,"-213305,25+325651,83",,,CP,,F,2,JIR,C,1A,30.0,F,35.0,18,JIN,"{'EO': 0.3, 'PE': 0.2, 'BP': 0.1, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1, 'SE': 0.1}",0.0016365076013276567,7,1.8343719702816235,[4.295833],[10.408333],[23.927202],[1179.2225],[25.8],[-17.7],[43.5],[17.15],[-9.55],[18.383333],[-10.85],[1316.],[136.],[76.],[15.929979],[389.],[262.],[382.],[276.]
1412703240,1945-08-01/1945-08-31,1945,Québec,Pholiota squarrosa,CMMF011702,POINT (-70.033333 47.366667),21M,-70.0326861477456,47.3744305344126,"-115610,25+376450,58",,,,,M,3,JIR,D,6S,30.0,MR,65.0,12,50,"{'TO': 0.5, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",0.0077904354444864685,5,1.3592367006650063,[4.2000003],[9.566667],[23.56322],[1111.9741],[24.3],[-16.3],[40.6],[16.516666],[-4.1666665],[17.466667],[-10.],[936.],[94.],[59.],[13.417938],[271.],[193.],[267.],[210.]
4974228952,2024-09-15T09:55,2024,Québec,Pholiota squarrosa,https://www.inaturalist.org/observations/244201721,POINT (-69.959547 48.248681),22C,-69.9598826041037,48.2493121623223,"-107986,98+473405,95",,,,,F,1,70,D,1AY,30.0,F,75.0,22,70,"{'PE': 0.7, 'EO': 0.1, 'SE': 0.2}",0.0007148398362633151,3,0.8018185525433373,[3.0458333],[9.425],[22.494034],[1127.2905],[23.1],[-18.8],[41.9],[15.483334],[-10.5],[16.333334],[-11.583333],[970.],[101.],[57.],[18.800358],[289.],[183.],[288.],[196.]
1135069812,2005-09-15,2005,Québec,Pholiota squarrosa,CMMF008371,POINT (-66.497483 49.120733),22G,-66.4998791534026,49.1198205764486,"+145185,95+570833,62",,,,,M,3,50,A,5S,30.0,MF,65.0,13,50,"{'BP': 0.4, 'FN': 0.2, 'PA': 0.1, 'SB': 0.2, 'EB': 0.1}",0.0025639945136324603,5,1.4708084763221112,[2.8833334],[8.733334],[22.802437],[1053.5726],[21.7],[-16.6],[38.300003],[14.833333],[-5.133333],[15.566667],[-10.483334],[899.],[93.],[46.],[18.733692],[274.],[169.],[266.],[188.]
617547939,1990-08-31,1990,Québec,Pholiota squarrosa,CMMF001186,POINT (-74.119788 45.990446),31G,-74.1196060192395,45.9896083154521,"-434958,79+238684,70",,,,,M,1,VIR,D,2BD,20.0,MF,75.0,22,VIN,"{'BP': 0.2, 'ES': 0.2, 'PE': 0.2, 'EO': 0.1, 'PB': 0.2, 'SB': 0.1}",0.0008572236574996492,6,1.7480673485460894,[4.0791664],[10.525],[24.5338],[1154.807],[24.8],[-18.1],[42.9],[17.65],[-9.650001],[17.65],[-10.783334],[1126.],[111.],[72.],[13.022533],[314.],[232.],[314.],[251.]
3925426664,2022-09-22T11:14:55,2022,Québec,Pholiota squarrosa,https://www.inaturalist.org/observations/136217147,POINT (-75.3 45.616666),31G,-75.3004015283516,45.6183468735391,"-530010,57+205511,47",,,,,M,2,JIN,D,5A,30.0,MM,95.0,18,JIN,"{'PU': 0.4, 'RX': 0.1, 'ES': 0.2, 'BP': 0.1, 'EO': 0.1, 'FX': 0.1}",0.0017281669108018623,6,1.6094379124341003,[4.95],[11.058333],[25.36315],[1163.9441],[26.1],[-17.5],[43.6],[13.416666],[-9.],[18.466667],[-10.216666],[1028.],[102.],[64.],[16.04358],[302.],[200.],[287.],[214.]
3320865399,2020-09-15T11:50:41,2020,Québec,Pholiota squarrosa,https://www.inaturalist.org/observations/60203690,POINT (-75.753958 45.44037),31G,-75.7570609074024,45.4413644067506,"-567442,80+189458,01",,,,,F,3,JIR,A,5S,30.0,F,65.0,16,JIN,"{'PE': 0.4, 'CR': 0.1, 'EA': 0.1, 'EO': 0.1, 'FR': 0.1, 'FT': 0.1, 'RX': 0.1}",0.0032583552804374047,7,1.7480673485460891,[5.733333],[10.283333],[24.13928],[1158.3674],[26.5],[-16.1],[42.6],[19.316666],[-8.083333],[19.316666],[-9.266666],[921.],[88.],[57.],[14.218156],[262.],[182.],[262.],[198.]
2423611584,1985-08-08,1985,Québec,Pholiota squarrosa,CMMF018703,POINT (-74.005679 45.988108),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,20,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",0.001252830787520495,5,1.4708084763221112,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
