gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4950001096,2024-09-21T10:56:32,2024,Québec,Pleurocybella porrigens,https://www.inaturalist.org/observations/243299738,POINT (-71.492997 45.888949),21E,-71.4931551701186,45.8890626385042,"-232308,41+215242,12",,,,,M,2,VIN,A,8E,20.0,MM,75.0,18,VIN,"{'EU': 0.4, 'RX': 0.1, 'BJ': 0.2, 'EO': 0.2, 'FX': 0.1}",0.00019476009872158772,5,1.4708084763221114,[3.7125],[9.841666],[24.121733],[1114.0918],[23.4],[-17.4],[40.8],[16.85],[-4.6833334],[16.85],[-10.583333],[1268.],[139.],[82.],[16.39143],[385.],[249.],[385.],[291.]
4453850097,2023-09-23T10:20,2023,Québec,Pleurocybella porrigens,https://www.inaturalist.org/observations/185464787,POINT (-71.209878 45.483669),21E,-71.2084938537288,45.4826973164811,"-211935,28+169241,56",,,,,F,2,VIN,B,1A,30.0,F,65.0,19,VIN,"{'BJ': 0.5, 'EO': 0.2, 'ES': 0.2, 'RX': 0.1}",0.0016911622515280258,4,1.2206072645530173,[3.7458334],[10.475],[25.928217],[1079.2832],[23.2],[-17.2],[40.4],[16.483334],[-4.15],[16.483334],[-10.166667],[1291.],[140.],[82.],[15.542287],[383.],[259.],[383.],[286.]
4129923381,2021-09-26T10:34:59,2021,Québec,Pleurocybella porrigens,https://www.inaturalist.org/observations/96246566,POINT (-70.861242 45.762349),21E,-70.8616174836437,45.7622051377566,"-183775,26+199350,11",P,1998.0,,,R,5,10,A,1A,40.0,R,75.0,6,10,"{'RZ': 0.7, 'RX': 0.1, 'FN': 0.2}",0.00040209987783787135,3,0.8018185525433373,[3.3708334],[10.425],[25.55147],[1099.8646],[23.1],[-17.7],[40.800003],[16.416668],[-4.9333334],[16.416668],[-10.716667],[1175.],[128.],[73.],[17.760237],[366.],[230.],[366.],[252.]
4952652605,2024-09-18T17:12:34,2024,Québec,Pleurocybella porrigens,https://www.inaturalist.org/observations/243889793,POINT (-71.396969 46.741411),21L,-71.396238869904,46.7416226436324,"-220960,63+309603,85",,,,,M,1,VIN,C,2A,20.0,MF,85.0,22,VIN,"{'FT': 0.3, 'ER': 0.2, 'PE': 0.1, 'PU': 0.3, 'PB': 0.1}",0.0007601861510332103,5,1.5047882836811908,[4.508333],[9.95],[23.634205],[1148.2651],[25.2],[-16.9],[42.1],[17.15],[-4.116667],[18.1],[-10.216666],[1191.],[126.],[68.],[17.63551],[359.],[229.],[352.],[252.]
4596862513,2023-09-23T14:16:46,2023,Québec,Pleurocybella porrigens,https://www.inaturalist.org/observations/193085517,POINT (-71.449002 46.930237),21L,-71.44933061156,46.931097333208,"-224051,07+330589,29",,,,,R,3,JIR,A,5S,20.0,R,75.0,12,JIN,"{'ML': 0.7, 'SB': 0.3}",0.0009209553659993983,2,0.6108643020548935,[3.5291667],[10.141666],[23.919025],[1153.3458],[24.2],[-18.2],[42.4],[16.133333],[-4.9166665],[17.166666],[-11.35],[1334.],[141.],[79.],[17.523355],[398.],[253.],[387.],[288.]
4596824566,2023-10-02,2023,Québec,Pleurocybella porrigens,https://www.inaturalist.org/observations/193380013,POINT (-71.214351 46.910594),21L,-71.2148628019427,46.9096192774913,"-206419,69+327696,89",,,,,F,2,VIN,C,1A,30.0,F,85.0,20,VIN,"{'HG': 0.5, 'EO': 0.2, 'ES': 0.2, 'BJ': 0.1}",0.0011009201594700457,4,1.2206072645530173,[3.8875],[10.241667],[23.87335],[1162.8964],[24.9],[-18.],[42.9],[16.6],[-9.783334],[17.75],[-11.05],[1330.],[138.],[79.],[15.944893],[390.],[263.],[386.],[284.]
4075756739,2022-09-07T13:07:38,2022,Québec,Pleurocybella porrigens,https://www.inaturalist.org/observations/134107854,POINT (-70.585128 46.656162),21L,-70.5851711172333,46.6549613891621,"-159380,87+297834,33",,,,,F,2,JIN,C,2BE,20.0,F,65.0,18,JIN,"{'ES': 0.8, 'EO': 0.2}",0.0012013848175767064,2,0.5004024235381879,[2.8166666],[9.866667],[23.7751],[1129.7673],[22.9],[-18.6],[41.5],[15.133333],[-5.383333],[16.166666],[-11.75],[1143.],[125.],[68.],[20.03447],[359.],[213.],[355.],[242.]
1135070722,2006-09-28,2006,Québec,Pleurocybella porrigens,CMMF009301,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1135070591,2006-09-09,2006,Québec,Pleurocybella porrigens,CMMF009175,POINT (-71.306427 46.953091),21L,-71.304719999912,46.9524119060645,"-213069,04+332719,34",,,,,M,3,JIR,D,1A,20.0,MF,75.0,16,JIN,"{'EO': 0.4, 'FT': 0.2, 'SB': 0.3, 'RX': 0.1}",0.0018371221716810746,4,1.2798542258336674,[3.275],[10.],[23.866348],[1136.7307],[23.6],[-18.3],[41.9],[15.733334],[-5.05],[16.7],[-11.383333],[1366.],[140.],[84.],[15.246074],[398.],[270.],[392.],[300.]
1135066636,2007-09-23,2007,Québec,Pleurocybella porrigens,CMMF010085,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
