gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617553041	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003420	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus O. Hilber & O.K. Mill.	O. Hilber & O.K. Mill.	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						2000-05-22	22	5	2000	2526667	2526667	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003420		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.049Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550599	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002347	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus O. Hilber & O.K. Mill.	O. Hilber & O.K. Mill.	CA	Saint-Bruno-de-Montarville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.526599	-73.344507	5500.0						1995-05-24	24	5	1995	2526667	2526667	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002347		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.455Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5007234388	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/256268615	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.873511	-66.621856							2024-06-14T13:04	14	6	2024	2526667	2526667	HUMAN_OBSERVATION	iNaturalist	Observations	256268615		Dwayne Sabine	2024-12-26T13:55:53	CC_BY_NC_4_0	Dwayne Sabine	Dwayne Sabine			2025-01-14T13:44:54.557Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936424472	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/79143449	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.397217	-75.760374	16.0						2021-05-17T09:02:44	17	5	2021	2526667	2526667	HUMAN_OBSERVATION	iNaturalist	Observations	79143449		adamfritz	2021-05-17T13:16:33	CC_BY_4_0	adamfritz	adamfritz			2025-01-14T13:12:08.917Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919521535	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/86860035	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.759479	-64.907922							2021-06-22T12:07:17	22	6	2021	2526667	2526667	HUMAN_OBSERVATION	iNaturalist	Observations	86860035		Holly Abbandonato	2021-07-16T02:22:04	CC_BY_4_0	Asia Ruby Fuoco	Asia Ruby Fuoco			2025-01-14T13:13:13.271Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919335472	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/85259114	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.759479	-64.907922							2021-06-22T12:07:17	22	6	2021	2526667	2526667	HUMAN_OBSERVATION	iNaturalist	Observations	85259114		Tristan Hallett	2021-11-04T12:01:15	CC_BY_4_0	Asia Ruby Fuoco	Asia Ruby Fuoco			2025-01-14T13:09:33.177Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4909250713	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/217817197	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.552392	-73.476505	163.0						2024-05-22T18:15	22	5	2024	2526667	2526667	HUMAN_OBSERVATION	iNaturalist	Observations	217817197		Tony Pavone	2024-06-03T13:17:03	CC_BY_NC_4_0	Antoine Fortin	Antoine Fortin			2025-01-14T13:41:20.441Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4909163440	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/224874734	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.828097	-69.74955	4.0						2024-06-22T09:24:19	22	6	2024	2526667	2526667	HUMAN_OBSERVATION	iNaturalist	Observations	224874734		mauderobichaud	2024-06-24T13:32:20	CC_BY_NC_4_0	mauderobichaud	mauderobichaud			2025-01-14T13:42:18.600Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908977551	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/227891145	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.36458	-68.768913	21.0						2024-07-06T09:23:53	6	7	2024	2526667	2526667	HUMAN_OBSERVATION	iNaturalist	Observations	227891145		Randy	2024-07-07T22:44:55	CC_BY_NC_4_0	Randy	Randy			2025-01-14T13:41:51.920Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4904117538	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/226226165	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus populinus		SPECIES	Pleurotus populinus O.Hilber & O.K.Mill.	Pleurotus populinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.637564	-72.329522							2024-06-29T14:38	29	6	2024	2526667	2526667	HUMAN_OBSERVATION	iNaturalist	Observations	226226165		Paul Vézina	2024-06-30T16:54:49	CC_BY_NC_4_0	Paul Vézina	Paul Vézina			2025-01-14T13:41:41.658Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
