gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4018229379,2020-09-01T13:42,2020,Québec,Pleurotus pulmonarius,https://www.inaturalist.org/observations/58347223,POINT (-71.339917 46.769598),21L,-71.3397566368037,46.7690062710673,"-216530,14+312468,13",,,,,F,2,VIN,B,5A,30.0,F,85.0,20,VIN,"{'ES': 0.5, 'FT': 0.3, 'EO': 0.2}",0.00061307380022907,3,1.0296530140645737,[4.883333],[10.150001],[23.549885],[1176.4263],[26.2],[-16.9],[43.1],[17.75],[-9.],[18.916666],[-10.183333],[1223.],[128.],[69.],[16.688593],[365.],[245.],[358.],[253.]
3044584669,2020-08-30T08:42:40,2020,Québec,Pleurotus pulmonarius,https://www.inaturalist.org/observations/58070257,POINT (-70.810395 46.091267),21L,-70.8098251621498,46.0899891185255,"-178583,26+235546,63",,,CP,,F,1,VIN,C,1A,31.0,F,55.0,26,VIN,"{'ES': 0.9, 'FT': 0.1}",0.0013991769860830304,2,0.3250829733914482,[3.6416667],[10.683333],[25.497215],[1118.4868],[23.8],[-18.1],[41.9],[16.85],[-9.6],[16.85],[-10.75],[1093.],[124.],[61.],[21.642603],[354.],[204.],[354.],[218.]
1135069365,2013-07-01,2013,Québec,Pleurotus pulmonarius,CMMF007886,POINT (-70.289383 46.71545),21L,-70.2876736505498,46.714427985844,"-136484,16+303826,92",,,EL,1984.0,M,3,50,B,1A,30.0,MR,45.0,13,50,"{'SB': 0.3, 'EB': 0.2, 'RX': 0.1, 'BJ': 0.2, 'BP': 0.1, 'FN': 0.1}",0.0019915793928301667,6,1.6957425341696346,[1.7],[9.85],[23.84988],[1128.4705],[22.],[-19.3],[41.3],[15.266666],[-6.5],[15.266666],[-12.666666],[1291.],[136.],[83.],[15.397746],[386.],[258.],[386.],[290.]
1135067000,2008-08-11,2008,Québec,Pleurotus pulmonarius,CMMF010488,POINT (-71.307678 46.86201),21L,-71.3127227204637,46.8632652548053,"-214060,31+322843,05",,,,,M,3,JIR,A,5A,40.0,MF,35.0,13,JIN,"{'PE': 0.3, 'FN': 0.2, 'FO': 0.2, 'SB': 0.2, 'RX': 0.1}",0.005198544910175754,5,1.5571130980576458,[4.570833],[10.541666],[24.012907],[1191.7623],[26.4],[-17.5],[43.9],[17.533333],[-4.083333],[18.85],[-10.716666],[1288.],[134.],[75.],[16.926382],[385.],[252.],[377.],[271.]
4414126393,2023-09-09T11:33:30,2023,Québec,Pleurotus pulmonarius,https://www.inaturalist.org/observations/182493970,POINT (-70.917578 47.078925),21M,-70.9177026860339,47.0794818117803,"-183198,86+345724,53",,,CP,,F,1,VIN,D,1A,30.0,F,75.0,24,VIN,"{'ES': 0.7, 'BJ': 0.2, 'HG': 0.1}",0.0005706014070520673,3,0.8018185525433372,[2.5041666],[9.875],[23.681055],[1131.4421],[22.7],[-19.],[41.7],[16.],[-5.8333335],[16.],[-11.983334],[1368.],[135.],[89.],[12.639325],[388.],[285.],[388.],[303.]
4413600974,2023-09-09T11:35:34,2023,Québec,Pleurotus pulmonarius,https://www.inaturalist.org/observations/182479085,POINT (-70.917567 47.078664),21M,-70.9177026860339,47.0794818117803,"-183198,86+345724,53",,,CP,,F,1,VIN,D,1A,30.0,F,75.0,24,VIN,"{'ES': 0.7, 'BJ': 0.2, 'HG': 0.1}",0.0008289914401147079,3,0.8018185525433372,[2.5041666],[9.875],[23.681055],[1131.4421],[22.7],[-19.],[41.7],[16.],[-5.8333335],[16.],[-11.983334],[1368.],[135.],[89.],[12.639325],[388.],[285.],[388.],[303.]
4424414256,2023-10-05T09:00,2023,Québec,Pleurotus pulmonarius,https://www.inaturalist.org/observations/186414441,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20.0,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4177553487,2023-08-08T14:39,2023,Québec,Pleurotus pulmonarius,https://www.inaturalist.org/observations/178145284,POINT (-76.51799 45.90289),31F,-76.5175253402799,45.9024540967602,"-621012,82+246711,81",,,CJ,2005.0,F,2,VIN,C,1AM,30.0,F,45.0,21,VIN,"{'HG': 0.4, 'EO': 0.2, 'ES': 0.2, 'FT': 0.1, 'TA': 0.1}",0.0006371187408513517,5,1.4708084763221112,[3.775],[11.066667],[25.094482],[1168.2748],[25.],[-19.1],[44.1],[16.483334],[-10.3],[17.283333],[-11.383333],[955.],[95.],[57.],[14.456935],[272.],[194.],[268.],[197.]
4177530581,2023-08-08T10:14,2023,Québec,Pleurotus pulmonarius,https://www.inaturalist.org/observations/178137784,POINT (-76.48655 45.867109),31F,-76.4881789725258,45.8674409514203,"-619149,47+242618,06",CT,1998.0,,,F,3,10,B,1A,30.0,F,85.0,13,10,"{'PE': 0.5, 'ER': 0.2, 'FO': 0.1, 'FT': 0.1, 'SB': 0.1}",0.0016624509722921864,5,1.3592367006650063,[4.025],[11.066667],[25.151516],[1164.881],[25.2],[-18.8],[44.],[17.533333],[-9.983334],[17.533333],[-11.083333],[931.],[92.],[55.],[14.824873],[265.],[188.],[265.],[190.]
3456931343,2021-07-20T08:02,2021,Québec,Pleurotus pulmonarius,https://www.inaturalist.org/observations/104226897,POINT (-76.555156 45.963874),31F,-76.5550236853649,45.9633754256964,"-623106,51+253829,54",,,CJ,1999.0,F,2,VIN10,B,1AY,40.0,F,55.0,21,VIN,"{'ES': 0.3, 'HG': 0.3, 'BJ': 0.1, 'FT': 0.1, 'TA': 0.1, 'SE': 0.1}",0.0005158328206594504,6,1.6434177197931796,[3.55],[11.183333],[25.30166],[1168.3652],[24.8],[-19.4],[44.199997],[16.25],[-10.516666],[17.066666],[-11.6],[976.],[97.],[58.],[14.8784485],[280.],[196.],[276.],[200.]
