gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
694157951	d7cfd2ed-8af4-427f-a16e-eb66b7e2c419	18404	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus		SPECIES	Pluteus cervinus (Schaeff.) P.Kumm.	Pluteus cervinus P. Kumm.	P. Kumm.	CA	Ottawa, Central Experimental Farm	Ontario	PRESENT		ff418020-1d67-11d9-8435-b8a03c50a862	45.378618	-75.722408	1632.0						1972-06-29	29	6	1972	7446067	7446067	PRESERVED_SPECIMEN	Royal Ontario Museum	TRTC	TRTC047898	2101	Malloch, D.W.		CC0_1_0	Royal Ontario Museum	Ginns, J.;			2024-01-25T00:59:41.597Z		COORDINATE_ROUNDED;AMBIGUOUS_INSTITUTION
617555263	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000073	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus	albus	VARIETY	Pluteus cervinus var. albus Peck	Pluteus cervinus var. albus Peck	Peck	CA	Laval	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.609608	-73.705867	17500.0						1988-07-20	20	7	1988	5449734	7446067	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000073		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Sicard, Matthieu			2024-01-24T16:38:20.610Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617554839	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000541	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus		SPECIES	Pluteus cervinus (Schaeff.) P.Kumm.	Pluteus cervinus (Schaeff.) P. Kumm.	(Schaeff.) P. Kumm.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1989-07-04	4	7	1989	7446067	7446067	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000541		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.058Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550792	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002429	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus		SPECIES	Pluteus cervinus (Schaeff.) P.Kumm.	Pluteus cervinus (Schaeff.) P. Kumm.	(Schaeff.) P. Kumm.	CA	Mont-Saint-Hilaire	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.569155	-73.169757	7000.0						1995-07-31	31	7	1995	7446067	7446067	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002429		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.497Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550738	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002405	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus		SPECIES	Pluteus cervinus (Schaeff.) P.Kumm.	Pluteus cervinus (Schaeff.) P. Kumm.	(Schaeff.) P. Kumm.	CA	Mt Orford	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.340394	-72.208677	6500.0						1995-07-25	25	7	1995	7446067	7446067	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002405		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.491Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549345	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000018	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus		SPECIES	Pluteus cervinus (Schaeff.) P.Kumm.	Pluteus cervinus (Schaeff.) P. Kumm.	(Schaeff.) P. Kumm.	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1988-07-05	5	7	1988	7446067	7446067	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000018		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.333Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5007305011	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/251454463	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus		SPECIES	Pluteus cervinus (Schaeff.) P.Kumm.	Pluteus cervinus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.8346	-75.087862							2019-06-29T00:00	29	6	2019	7446067	7446067	HUMAN_OBSERVATION	iNaturalist	Observations	251454463		Chantal Gauthier	2024-11-12T16:45:58	CC_BY_NC_4_0	Chantal Gauthier	Chantal Gauthier			2025-01-14T13:45:04.707Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4950508070	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/243211701	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus		SPECIES	Pluteus cervinus (Schaeff.) P.Kumm.	Pluteus cervinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.504453	-75.494117	7.0						2024-09-21T09:11:31	21	9	2024	7446067	7446067	HUMAN_OBSERVATION	iNaturalist	Observations	243211701		Sherry Nigro	2024-09-21T23:34:53	CC_BY_NC_4_0	Sherry Nigro	Sherry Nigro			2025-01-14T12:57:44.895Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946145516	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/13962133	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus		SPECIES	Pluteus cervinus (Schaeff.) P.Kumm.	Pluteus cervinus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.54842	-78.63862	6.0						2018-07-01T18:52:12	1	7	2018	7446067	7446067	HUMAN_OBSERVATION	iNaturalist	Observations	13962133		Peter Simons	2018-07-01T23:13:20	CC0_1_0	Peter Simons	Peter Simons			2025-01-14T13:00:17.581Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4596776799	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/127299632	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Pluteus	Pluteus cervinus		SPECIES	Pluteus cervinus (Schaeff.) P.Kumm.	Pluteus cervinus		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.762711	-66.491539	10.0						2019-06-27T11:37	27	6	2019	7446067	7446067	HUMAN_OBSERVATION	iNaturalist	Observations	127299632		Alfredo Justo	2022-07-22T00:43:19	CC_BY_NC_4_0	Alfredo Justo	Alfredo Justo			2025-01-14T13:23:29.187Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
