gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4976250422,2024-10-20T11:25,2024,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/248816566,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4908894635,2024-07-09T09:30,2024,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/228529610,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4901909302,2024-06-19T13:38,2024,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/224757127,POINT (-76.4339 45.872811),31F,-76.4331135855789,45.8729794103035,"-614828,28+242752,92",,,CHP,,M,1,90,D,2BE,20,MM,65.0,27,90,"{'PB': 0.4, 'SE': 0.1, 'PE': 0.3, 'ER': 0.1, 'FT': 0.1}",0.0008042447836569114,5,1.4184836619456564,[4.0375],[11.091666],[25.151173],[1166.8082],[25.3],[-18.8],[44.1],[16.733334],[-9.983334],[17.583332],[-11.083333],[926.],[92.],[54.],[15.475691],[266.],[184.],[264.],[189.]
4852074062,2023-07-07T09:39,2023,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/173833273,POINT (-76.536057 45.891904),31F,-76.5354688701338,45.892289268688,"-622623,13+245909,17",,,CJ,2000.0,F,2,VIN,D,1AY,20,F,75.0,21,VIN,"{'ES': 0.4, 'BJ': 0.2, 'CR': 0.1, 'EO': 0.1, 'FT': 0.1, 'HG': 0.1}",0.0007030851310310126,6,1.6094379124341,[3.9666667],[11.083333],[25.132275],[1168.0079],[25.2],[-18.9],[44.1],[16.683332],[-10.083333],[17.483334],[-11.183333],[932.],[93.],[56.],[14.678396],[267.],[189.],[264.],[191.]
4851783472,2022-07-13T12:08,2022,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/126402991,POINT (-76.432039 45.958999),31F,-76.4322155739987,45.9565421899756,"-613718,81+251948,26",,,CJ,2011.0,F,2,VIN,D,1AY,30,F,75.0,21,VIN,"{'ES': 0.4, 'BP': 0.2, 'EO': 0.2, 'FT': 0.1, 'SE': 0.1}",0.0024631471480609595,5,1.4708084763221112,[3.7333333],[11.1],[25.284739],[1164.8378],[24.9],[-19.],[43.9],[16.416666],[-10.25],[17.25],[-11.35],[967.],[97.],[58.],[14.638688],[278.],[196.],[276.],[199.]
4165448087,2023-07-19T08:12,2023,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/174089558,POINT (-76.57839 45.800057),31F,-76.5777240795133,45.7998573983872,"-626933,55+235829,34",,,,,F,1,VIN,D,1AM,20,F,85.0,23,VIN,"{'CR': 0.3, 'EO': 0.2, 'ES': 0.2, 'FT': 0.1, 'TA': 0.1, 'PB': 0.1}",0.0006951912675183977,6,1.6957425341696346,[3.9875],[11.341667],[25.65988],[1168.0153],[25.3],[-18.9],[44.199997],[12.650001],[-10.083333],[17.483334],[-11.216667],[935.],[92.],[55.],[14.31037],[267.],[190.],[261.],[192.]
4018290755,2022-07-06T09:53,2022,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/143201358,POINT (-76.527506 45.856888),31F,-76.5235482622385,45.8536932415597,"-622051,56+241400,94",,,,,F,1,VIN,C,1A,30,F,95.0,24,VIN,"{'ES': 0.5, 'EO': 0.2, 'CR': 0.1, 'FT': 0.1, 'TA': 0.1}",0.005086272670694036,5,1.3592367006650063,[4.179167],[11.075],[25.170454],[1165.1775],[25.4],[-18.6],[44.],[16.866667],[-9.816667],[17.683334],[-10.95],[907.],[90.],[53.],[15.058413],[259.],[179.],[257.],[185.]
3903008046,2022-08-06T09:39,2022,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/130295037,POINT (-76.479357 45.828004),31F,-76.477865419674,45.8275996217664,"-618846,18+238126,05",FR,,,,F,5,10,B,1A,30,F,35.0,6,10,"{'FX': 0.9, 'RX': 0.1}",0.0015454234451069669,2,0.3250829733914482,[3.8541667],[11.058333],[25.247337],[1161.9644],[25.],[-18.8],[43.8],[16.483334],[-10.1],[17.333334],[-11.216666],[937.],[93.],[55.],[15.368598],[269.],[186.],[267.],[193.]
3872955855,2022-07-06T07:45,2022,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/125107037,POINT (-76.59955 45.837849),31F,-76.6003460728802,45.8374231485872,"-628244,63+240289,15",CT,1989.0,,,F,2,50,C,1AY,30,F,95.0,18,50,"{'PE': 0.5, 'ER': 0.2, 'BP': 0.1, 'FR': 0.1, 'EB': 0.1}",0.0009028186176542703,5,1.3592367006650063,[4.2833333],[11.183333],[25.416666],[1161.1423],[25.5],[-18.5],[44.],[12.9],[-9.650001],[17.716667],[-10.833333],[910.],[91.],[54.],[14.9103365],[262.],[182.],[255.],[186.]
3860129862,2022-06-19T11:07,2022,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/123167042,POINT (-76.427502 45.964937),31F,-76.4267849984556,45.9639015861941,"-613235,09+252577,15",,,,,F,1,70,D,1AM,20,F,75.0,27,70,"{'PE': 0.8, 'ER': 0.1, 'PB': 0.1}",0.0012594335886127023,3,0.639031859650177,[3.7333333],[11.1],[25.284739],[1164.8378],[24.9],[-19.],[43.9],[16.416666],[-10.25],[17.25],[-11.35],[967.],[97.],[58.],[14.638688],[278.],[196.],[276.],[199.]
4145608328,2019-07-18T09:49,2019,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/29233467,POINT (-75.903008 45.562706),31G,-75.9045418036836,45.5625073778181,"-577612,60+204031,66",,,,,M,1,VIN,B,1A,30,MM,95.0,24,VIN,"{'PU': 0.5, 'ES': 0.2, 'BJ': 0.1, 'CR': 0.1, 'FT': 0.1}",0.0015466106526746152,5,1.3592367006650063,[4.625],[10.483333],[24.493769],[1149.139],[25.4],[-17.4],[42.8],[13.266666],[-9.183333],[18.1],[-10.15],[1013.],[98.],[64.],[14.158845],[287.],[201.],[280.],[214.]
3903527467,2022-08-28T12:12,2022,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/132869939,POINT (-75.814596 45.470071),31G,-75.8142203263046,45.4717449638997,"-571588,91+193247,49",,,,,F,2,VIN,D,1AM,30,F,75.0,19,VIN,"{'ES': 0.7, 'CR': 0.1, 'HG': 0.1, 'TA': 0.1}",0.0017156007294596063,4,0.9404479886553263,[4.9958334],[10.308333],[24.254902],[1149.995],[25.6],[-16.9],[42.5],[18.45],[-8.783333],[18.45],[-9.883333],[990.],[94.],[64.],[12.669113],[274.],[202.],[274.],[217.]
3327802623,2021-07-15T11:31:36,2021,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/87176795,POINT (-75.832938 45.551467),31G,-75.8331728156584,45.5503031768941,"-572172,20+202094,32",,,,,F,1,VIN,D,1AY,30,F,95.0,24,VIN,"{'ES': 0.6, 'FT': 0.2, 'FR': 0.1, 'TA': 0.1}",0.0011872752904317,4,1.0888999753452235,[5.0125],[10.341666],[24.21936],[1151.0452],[25.8],[-16.9],[42.699997],[13.616667],[-8.816667],[18.5],[-9.816667],[983.],[95.],[62.],[14.467412],[276.],[192.],[273.],[212.]
3039133610,2020-08-19T14:06:54,2020,Québec,Pluteus chrysophlebius,https://www.inaturalist.org/observations/56967472,POINT (-75.936792 45.528153),31G,-75.9365632355417,45.5283010508216,"-580483,60+200516,93",,,,,F,1,VIN,D,1AM,30,F,85.0,23,VIN,"{'ES': 0.5, 'CR': 0.2, 'BJ': 0.1, 'FT': 0.1, 'TA': 0.1}",0.0002724926111941804,5,1.3592367006650063,[4.4166665],[10.633333],[24.786325],[1149.0062],[25.2],[-17.7],[42.9],[13.],[-9.383333],[17.833334],[-10.433333],[1041.],[99.],[65.],[13.667658],[296.],[212.],[288.],[219.]
1135068753,2012-08-20,2012,Québec,Pluteus chrysophlebius,CMMF007358,POINT (-74.114033 45.084583),31G,-74.1148417897157,45.0836969822898,"-442492,29+138230,60",,,,,F,2,50,A,1A,30,F,85.0,18,50,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'TA': 0.2, 'HG': 0.1}",0.001199653361182861,5,1.5571130980576458,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
1024559832,2013-06-24,2013,Québec,Pluteus chrysophlebius,CMMF005272,POINT (-74.112923 45.085647),31G,-74.1115209849272,45.0869688391928,"-442200,98+138526,99",,,,,F,2,JIR,B,1A,30,F,75.0,21,JIN,"{'FT': 0.4, 'TA': 0.3, 'ES': 0.2, 'HG': 0.1}",0.0019268900113839195,4,1.2798542258336674,[6.295833],[10.125],[24.695122],[1121.9108],[26.4],[-14.6],[41.],[19.516666],[-7.0833335],[19.516666],[-8.183333],[999.],[98.],[60.],[15.023375],[287.],[195.],[287.],[208.]
