gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617553188	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003489	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Postia balsamea (Peck) Jülich	Postia balsamea (Peck) Jülich	(Peck) Jülich	CA	Lac-Supérieur	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.213424	-74.472675	5000.0						2000-09-02	2	9	2000	5245245	5245245	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003489		Audet, Serge		CC0_1_0	Université de Montréal Biodiversity Centre	unknown			2024-01-24T16:38:16.267Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551381	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002681	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Postia balsamea (Peck) Jülich	Postia balsamea (Peck) Jülich	(Peck) Jülich	CA	Saint-Majorique	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931221	-72.584529	5000.0						1995-09-27	27	9	1995	5245245	5245245	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002681		Audet, Serge		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.369Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4166370438	695cef75-b65f-4776-b2ed-74565eebb16e	02-01000628456	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Tyromyces balsameus (Peck) Murrill	Tyromyces balsameus	(Peck) Murrill	CA	Algonquin Prov. Park, Hardwood Hill Trail	Ontario	PRESENT		055bd978-2daa-4543-b3f0-44e0e87e86ca	45.5417	-78.675							1974-08-24	24	8	1974	2542781	5245245	PRESERVED_SPECIMEN	AAFC	DAOM	186715		J.H. Ginns		CC_BY_4_0	©His Majesty the King in Right of Canada, as represented by the Minister of Agriculture and Agri-Food	P. Johnson			2025-01-12T05:11:13.875Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4099864215	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	4e1bb24f-750c-4b9f-bf72-cc084267436f	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Polyporus balsameus Peck	Polyporus balsameus	Peck	CA	Fredericton Odell Forest	New Brunswick	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.952598	-66.670528	1099.0						1946-09-26	26	9	1946	5245249	5245245	PRESERVED_SPECIMEN	BPI		BPI 203653		Hansbrough J. R.		CC0_1_0		Hansbrough J. R.			2025-01-15T04:59:22.431Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4099814530	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	2c83b823-e0c3-432a-9409-70fb9e8e1d0e	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Polyporus balsameus Peck	Polyporus balsameus	Peck	CA	Scots Bay nova	Nova Scotia	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.3	-64.4	5585.0						1932-09-04	4	9	1932	5245249	5245245	PRESERVED_SPECIMEN	BPI		BPI 890379				CC0_1_0		Harrison, K. A.			2025-01-15T04:59:46.335Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4099378213	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	44be5dbb-873f-4d03-9184-cb1e391ddd80	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Polyporus balsameus Peck	Polyporus balsameus	Peck	CA	Fredericton Odell Forest	New Brunswick	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.952598	-66.670528	1099.0						1946-09-27	27	9	1946	5245249	5245245	PRESERVED_SPECIMEN	BPI		BPI 203674		Hansbrough J. R.		CC0_1_0		Hansbrough J. R.			2025-01-15T04:59:22.487Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
4023452368	0f83123f-0c04-4556-8f4d-5a4e2a9bac66	http://id.luomus.fi/MY.5100897	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Postia balsamea (Peck) Jülich	Postia balsamea (Peck) Jülich		CA			PRESENT		04fd2e13-6881-4e5c-9dd1-8fdd9ab993c1	46.0	-75.0							1938-09-17T00:00Z	17	9	1938	5245245	5245245	PRESERVED_SPECIMEN	H		http://id.luomus.fi/HA.H7043833		Mounce, Irene		CC_BY_4_0		McCallum, A. W.			2025-01-12T05:29:55.997Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
2573778475	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/10887884	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Spongiporus balsameus (Peck) A.David	Spongiporus balsameus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.452589	-68.512458							2013-08-08T20:41:35	8	8	2013	2542770	5245245	HUMAN_OBSERVATION	iNaturalist	Observations	10887884		John Plischke	2019-10-28T07:57:03	CC_BY_NC_4_0	John Plischke	John Plischke			2025-01-14T13:00:35.497Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
1847645298	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/9573721	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Spongiporus balsameus (Peck) A.David	Spongiporus balsameus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	48.4036	-68.57575	22730.0						2013-08-09	9	8	2013	2542770	5245245	HUMAN_OBSERVATION	iNaturalist	Observations	9573721		mycowalt	2019-10-28T07:57:02	CC_BY_NC_4_0	mycowalt	mycowalt			2025-01-14T12:59:52.171Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
1807260510	e8a25a42-f125-476c-8554-3ec21cd51a84	ACAD:116982	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Dacryobolaceae	Postia	Postia balsamea		SPECIES	Postia balsamea (Peck) Jülich	Postia balsamea (Peck) Julich	(Peck) Julich	CA	Cape Split	Nova Scotia	PRESENT		6491ad8c-8e49-4bd4-a089-0ddb3bbe0890	45.334283	-64.49612							1958-09-27	27	9	1958	5245245	5245245	PRESERVED_SPECIMEN	Acadia University	ACAD	5243F	5243			CC0_1_0	Acadia University	H, KA			2024-01-25T01:37:05.351Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
