gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4500468675,2021-09-19T17:09:55,2021.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/95586397,POINT (-71.941017 45.640572),21E,-71.9414600582934,45.6419229213914,"-268398,45+189399,79",,,,,M,2,50,B,1A,30.0,MR,85.0,18,50,"{'SB': 0.4, 'EV': 0.2, 'EO': 0.3, 'FT': 0.1}",0.0014217205270690833,4,1.2798542258336674,[4.5583334],[10.45],[25.302664],[1111.888],[24.5],[-16.8],[41.3],[17.616667],[-8.8],[17.616667],[-9.766666],[1151.],[130.],[61.],[22.04432],[369.],[207.],[369.],[229.]
4430512610,2023-09-23T13:25,2023.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/186946871,POINT (-71.2014 45.476236),21E,-71.2016345820029,45.4768597785877,"-211419,31+168520,29",,,,,F,2,JIN,C,1A,30.0,F,85.0,17,JIN,"{'BJ': 0.4, 'ES': 0.3, 'EO': 0.2, 'SB': 0.1}",0.0006664296231072961,4,1.2798542258336674,[3.6583333],[10.416667],[25.912106],[1076.0742],[23.],[-17.2],[40.2],[16.366667],[-4.2166667],[16.366667],[-10.200001],[1319.],[141.],[84.],[14.806743],[388.],[269.],[388.],[293.]
4413973251,2023-09-18T14:32:06,2023.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/183878808,POINT (-71.924434 45.374882),21E,-71.9250148183397,45.3745303465594,"-268541,42+159620,00",P,,,,R,1,50,C,1A,30.0,R,95.0,25,50,"{'EB': 0.3, 'PB': 0.3, 'PR': 0.3, 'RZ': 0.1}",0.000678977235269472,4,1.313834033192747,[5.25],[10.566667],[25.64725],[1105.0298],[25.3],[-15.9],[41.199997],[18.3],[-7.7999997],[18.3],[-8.983334],[1084.],[130.],[54.],[25.890202],[359.],[181.],[359.],[200.]
3988759582,2022-09-24T14:01:15,2022.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/136309726,POINT (-71.85231 45.365177),21E,-71.8529694092105,45.3626047111108,"-262969,93+157973,36",,,,,F,2,JIN,A,3AN,40.0,F,75.0,19,JIN,"{'EA': 0.2, 'EO': 0.2, 'FR': 0.2, 'PL': 0.2, 'PE': 0.1, 'RX': 0.1}",0.0026554642977109264,6,1.7480673485460894,[5.6125],[11.058333],[26.455343],[1103.1796],[25.9],[-15.9],[41.8],[18.65],[-7.4333334],[18.65],[-8.633333],[1039.],[122.],[53.],[23.947283],[339.],[177.],[339.],[197.]
3966522580,2022-10-19T11:06:27,2022.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/139488074,POINT (-71.924828 45.377965),21E,-71.9229447597284,45.3770500539156,"-268375,00+159924,32",,,,,M,2,VIR,D,1AY,30.0,MF,85.0,21,VIN,"{'EO': 0.2, 'ES': 0.2, 'PE': 0.2, 'BG': 0.1, 'EB': 0.2, 'RX': 0.1}",0.002093733569003636,6,1.7480673485460894,[5.383333],[10.616667],[25.644123],[1109.2756],[25.5],[-15.9],[41.4],[18.5],[-7.7166667],[18.5],[-8.916667],[1077.],[130.],[52.],[26.338058],[358.],[178.],[358.],[195.]
4500494910,2022-09-17,2022.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/142824894,POINT (-71.340956 46.833185),21L,-71.3409354138174,46.8322890912498,"-216269,90+319516,03",,,,,F,2,50,A,5A,30.0,F,75.0,19,50,"{'PE': 0.4, 'EO': 0.3, 'BP': 0.2, 'RX': 0.1}",0.0008961452335434737,4,1.2798542258336674,[4.8416667],[10.400001],[23.85321],[1188.815],[26.5],[-17.1],[43.6],[17.783333],[-9.133333],[19.05],[-10.4],[1250.],[131.],[71.],[17.037874],[375.],[247.],[368.],[258.]
4442527567,2022-09-06,2022.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/143869695,POINT (-71.340858 46.790729),21L,-71.3417465308274,46.7911305610663,"-216588,68+314930,72",,,,,M,2,JIR,A,5A,40.0,MR,85.0,18,JIN,"{'SB': 0.4, 'ML': 0.2, 'EO': 0.3, 'FI': 0.1}",0.0009750581117065771,4,1.2798542258336674,[4.979167],[10.258333],[23.636713],[1184.7295],[26.5],[-16.9],[43.4],[17.9],[-9.],[19.1],[-10.216666],[1225.],[129.],[68.],[17.458946],[369.],[243.],[360.],[250.]
4421177677,2023-09-28T09:43:14,2023.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/185274969,POINT (-71.109756 46.827332),21L,-71.1084357563197,46.8276239946672,"-198562,20+318355,43",,,,,F,2,JIN,C,8AY,30.0,F,95.0,21,JIN,"{'ES': 0.4, 'EO': 0.2, 'FR': 0.2, 'FN': 0.1, 'FT': 0.1}",0.001352148017443187,5,1.4708084763221112,[4.383333],[10.116667],[23.80392],[1150.0698],[25.1],[-17.4],[42.5],[17.],[-9.316667],[17.966667],[-10.416667],[1204.],[132.],[65.],[21.846031],[373.],[212.],[365.],[238.]
4400198140,2023-08-14T06:35:35,2023.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/178775668,POINT (-71.39494 46.74152),21L,-71.396238869904,46.7416226436324,"-220960,63+309603,85",,,,,M,1,VIN,C,2A,20.0,MF,85.0,22,VIN,"{'FT': 0.3, 'ER': 0.2, 'PE': 0.1, 'PU': 0.3, 'PB': 0.1}",0.0013029193155236283,5,1.5047882836811908,[4.508333],[9.95],[23.634205],[1148.2651],[25.2],[-16.9],[42.1],[17.15],[-4.116667],[18.1],[-10.216666],[1191.],[126.],[68.],[17.63551],[359.],[229.],[352.],[252.]
4076230787,2022-09-26T12:56:21,2022.0,Québec,Pseudohydnum gelatinosum,https://www.inaturalist.org/observations/136614206,POINT (-71.273287 46.776525),21L,-71.2720147918137,46.7775284114518,"-211166,54+313185,69",,,,,F,2,JIR,A,1A,30.0,F,75.0,17,JIN,"{'EO': 0.5, 'ES': 0.3, 'FI': 0.1, 'FT': 0.1}",0.0016202926312461601,4,1.1682824501765625,[5.070833],[10.391666],[23.56387],[1201.81],[27.2],[-16.9],[44.1],[18.183334],[-8.983334],[19.6],[-10.216666],[1260.],[133.],[71.],[16.673409],[377.],[254.],[372.],[260.]
