gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
617548023,1990-09-14,1990,Québec,Sarcodon stereosarcinon,CMMF001224,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,8,10,{'RZ': 1.0},0.0033703726164918592,1,-0.0,[4.125],[10.75],[26.54321],[1073.572],[23.8],[-16.7],[40.5],[16.85],[-8.5],[16.85],[-9.650001],[1171.],[132.],[68.],[19.422709],[369.],[225.],[369.],[243.]
1135071380,2007-09-07,2007,Québec,Sarcodon stereosarcinon,CMMF009951,POINT (-71.297755 46.946241),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40.0,R,55.0,15,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",0.0030464123027411877,5,1.3592367006650063,[3.4041667],[10.058333],[23.89153],[1143.0709],[23.9],[-18.2],[42.1],[15.916667],[-4.9666667],[16.933332],[-11.333334],[1360.],[140.],[82.],[15.6252],[399.],[269.],[392.],[295.]
1135071119,2007-08-03,2007,Québec,Sarcodon stereosarcinon,CMMF009677,POINT (-71.284722 46.949281),21L,-71.2843859356362,46.949452148788,"-211501,42+332165,97",,,,,F,2,JIR,C,1A,30.0,F,75.0,18,JIN,"{'ES': 0.4, 'HG': 0.2, 'BJ': 0.1, 'EO': 0.1, 'FI': 0.1, 'RX': 0.1}",0.00037713547201871704,6,1.6094379124341,[3.3208334],[10.091666],[23.857368],[1144.1997],[23.9],[-18.4],[42.3],[15.833333],[-5.05],[16.866667],[-11.433333],[1369.],[140.],[83.],[15.337091],[400.],[271.],[394.],[299.]
1135070199,2006-07-19,2006,Québec,Sarcodon stereosarcinon,CMMF008759,POINT (-71.301586 46.954381),21L,-71.303386168039,46.9539645016355,"-213042,39+332940,60",,,,,M,3,JIR,C,1A,30.0,MM,85.0,14,JIN,"{'SB': 0.4, 'EP': 0.1, 'EO': 0.3, 'FT': 0.1, 'PE': 0.1}",0.0018477218016409128,5,1.4184836619456564,[3.275],[10.],[23.866348],[1136.7307],[23.6],[-18.3],[41.9],[15.733334],[-5.05],[16.7],[-11.383333],[1366.],[140.],[84.],[15.246074],[398.],[270.],[392.],[300.]
1135070130,2006-07-12,2006,Québec,Sarcodon stereosarcinon,CMMF008740,POINT (-71.302702 46.951979),21L,-71.3024186828307,46.9507707032229,"-212895,93+332514,95",,,CP,,M,2,JIR,C,1A,30.0,MF,65.0,18,JIN,"{'EO': 0.4, 'PE': 0.3, 'SB': 0.2, 'RX': 0.1}",0.00124106797556272,4,1.2798542258336674,[3.275],[10.],[23.866348],[1136.7307],[23.6],[-18.3],[41.9],[15.733334],[-5.05],[16.7],[-11.383333],[1366.],[140.],[84.],[15.246074],[398.],[270.],[392.],[300.]
1135069228,1979-07-07,1979,Québec,Sarcodon stereosarcinon,CMMF007833,POINT (-70.11105 46.6275),21L,-70.1113799934914,46.6286184191154,"-123256,06+294045,72",CT,2001.0,,,F,4,10,B,1A,30.0,F,75.0,8,10,"{'BP': 0.5, 'EO': 0.2, 'BJ': 0.1, 'EU': 0.1, 'SB': 0.1}",0.0011660861983802556,5,1.3592367006650063,[2.625],[10.716667],[25.33491],[1125.2524],[23.2],[-19.1],[42.300003],[16.033333],[-5.483333],[16.033333],[-11.833333],[1205.],[129.],[75.],[16.106167],[366.],[245.],[366.],[269.]
1135066997,2008-07-08,2008,Québec,Sarcodon stereosarcinon,CMMF010384,POINT (-71.297755 46.946241),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40.0,R,55.0,15,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",0.0030464123027411877,5,1.3592367006650063,[3.4041667],[10.058333],[23.89153],[1143.0709],[23.9],[-18.2],[42.1],[15.916667],[-4.9666667],[16.933332],[-11.333334],[1360.],[140.],[82.],[15.6252],[399.],[269.],[392.],[295.]
1135069664,2010-08-10,2010,Québec,Sarcodon stereosarcinon,CMMF008256,POINT (-66.20075 48.856883),22B,-66.2016831952,48.856547007173,"+167833,25+542235,09",CT,1974.0,,,R,3,70,C,8AM,30.0,R,85.0,15,70,"{'SB': 0.7, 'EB': 0.1, 'EN': 0.1, 'BP': 0.1}",0.0009918389290158938,4,0.9404479886553263,[-0.11249992],[9.241667],[23.104166],[1088.0531],[19.7],[-20.3],[40.],[-10.533333],[-8.2],[13.283334],[-13.8],[1255.],[129.],[78.],[16.6094],[370.],[250.],[339.],[323.]
2422826953,2013-08-08T10:47,2013,Québec,Sarcodon stereosarcinon,https://www.inaturalist.org/observations/21391080,POINT (-68.760743 48.361222),22C,-68.7601841057866,48.362952950407,"-19176,49+484844,35",,,,,M,3,JIR,A,R,20.0,MR,85.0,16,JIN,"{'EB': 0.6, 'SB': 0.1, 'PE': 0.3}",0.0018189425645874992,3,0.8979457248567798,[3.2083333],[8.733334],[22.335892],[1065.7708],[22.3],[-16.8],[39.1],[13.266666],[-4.633333],[15.916666],[-10.5],[906.],[93.],[53.],[17.692114],[266.],[172.],[266.],[193.]
1806350065,2013-08-06,2013,Québec,Sarcodon stereosarcinon,https://www.inaturalist.org/observations/9574373,POINT (-68.80425 48.34645),22C,-68.8042211038219,48.3454651978737,"-22463,33+482983,57",,,,,M,3,JIR,D,5S,20.0,MR,85.0,14,JIN,"{'SB': 0.6, 'EB': 0.1, 'PE': 0.3}",0.0009852259725906323,3,0.8979457248567798,[3.0541666],[8.541667],[22.243923],[1046.2063],[21.7],[-16.7],[38.4],[15.483334],[-4.666667],[15.483334],[-10.416667],[918.],[94.],[55.],[16.810247],[267.],[175.],[267.],[199.]
