gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617555836	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000989	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus (Scop.) Berk.	(Scop.) Berk.	CA	Longueuil	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.544154	-73.477185	5000.0						1990-07-10	10	7	1990	9225326	9225326	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000989		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:21.580Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617555181	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000691	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus (Scop.) Berk.	(Scop.) Berk.	CA	Contrecoeur	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.876777	-73.209987	12000.0						1989-08-27	27	8	1989	9225326	9225326	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000691		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	unknown			2024-01-24T16:38:20.133Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617552571	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003221	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus (Scop.) Berk.	(Scop.) Berk.	CA	Boucherville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.597683	-73.43011	5500.0						1998-07-14	14	7	1998	9225326	9225326	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003221		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.958Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617549679	21705170-d2b6-42de-8904-c3bca4b83591	CMMF000194	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus (Scop.) Berk.	(Scop.) Berk.	CA	Saint-Joseph-du-Lac	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.534465	-74.013251	5000.0						1988-08-20	20	8	1988	9225326	9225326	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF000194		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Farnesi, Carlo			2024-01-24T16:38:20.728Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4950211007	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/173810956	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.339969	-72.19094	3.0						2023-07-19T14:41:07	19	7	2023	9225326	9225326	HUMAN_OBSERVATION	iNaturalist	Observations	173810956		Vincent Desjardins	2023-07-19T18:42:07	CC_BY_NC_4_0	Vincent Desjardins	Vincent Desjardins			2025-01-14T13:40:59.520Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946103476	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/97723649	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.338575	-79.290413	786.0						2021-10-08T17:02	8	10	2021	9225326	9225326	HUMAN_OBSERVATION	iNaturalist	Observations	97723649		Brent Turcotte	2021-10-10T01:52:36	CC_BY_NC_4_0	Brent Turcotte	Brent Turcotte			2025-01-14T13:23:04.865Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945886639	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/8848326	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.547939	-78.637615							2003-08-06T16:39	6	8	2003	9225326	9225326	HUMAN_OBSERVATION	iNaturalist	Observations	8848326		Jason J. Dombroskie	2017-11-18T15:54:39	CC_BY_NC_4_0	Jason J. Dombroskie	Jason J. Dombroskie			2025-01-14T12:04:16.046Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936172143	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/177271805	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.743727	-73.623768	453.0						2023-08-02T16:45:41	2	8	2023	9225326	9225326	HUMAN_OBSERVATION	iNaturalist	Observations	177271805		Danika Belzile	2023-08-08T00:49:15	CC0_1_0	Danika Belzile	Danika Belzile			2025-01-14T12:38:04.913Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4926253573	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236255820	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.370745	-75.797607	15.0						2017-08-13T08:16	13	8	2017	9225326	9225326	HUMAN_OBSERVATION	iNaturalist	Observations	236255820		Deborah Mosher	2024-08-17T11:49:42	CC_BY_NC_4_0	Deborah Mosher	Deborah Mosher			2025-01-14T12:48:36.952Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923783005	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/235336720	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Strobilomyces	Strobilomyces strobilaceus		SPECIES	Strobilomyces strobilaceus (Scop.) Berk.	Strobilomyces strobilaceus		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.683068	-75.930941	4799.0						2024-08-12T09:07	12	8	2024	9225326	9225326	HUMAN_OBSERVATION	iNaturalist	Observations	235336720		see-em	2024-08-12T14:20:34	CC_BY_NC_4_0	see-em	see-em			2025-01-14T13:42:47.490Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
