gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
1135070949,2007-07-21,2007.0,Québec,Suillus granulatus,CMMF009575,POINT (-71.297755 46.946241),21L,-71.299219087451,46.9489125306201,"-212684,40+332223,99",,,CP,,R,3,5090,A,1A,40.0,R,55.0,15,50,"{'SB': 0.5, 'EP': 0.2, 'EN': 0.1, 'EO': 0.1, 'FI': 0.1}",0.0030464123027411877,5,1.3592367006650063,[3.4041667],[10.058333],[23.89153],[1143.0709],[23.9],[-18.2],[42.1],[15.916667],[-4.9666667],[16.933332],[-11.333334],[1360.],[140.],[82.],[15.6252],[399.],[269.],[392.],[295.]
1135070442,2006-08-17,2006.0,Québec,Suillus granulatus,CMMF008986,POINT (-71.275238 46.953091),21L,-71.2718024486125,46.9509845511075,"-210570,20+332446,14",,,,,F,2,JIR,D,1A,30.0,F,65.0,18,JIN,"{'ES': 0.4, 'EO': 0.3, 'BP': 0.1, 'FT': 0.1, 'PE': 0.1}",0.004029905739944569,5,1.4184836619456564,[3.1291666],[10.041667],[23.90873],[1137.7439],[23.5],[-18.5],[42.],[15.599999],[-5.2000003],[16.583334],[-11.533334],[1380.],[141.],[85.],[14.94956],[401.],[274.],[396.],[305.]
2283251156,2018-09-01T22:26:16,2018.0,Québec,Suillus granulatus,https://www.inaturalist.org/observations/28533008,POINT (-76.070657 45.663767),31F,-76.0715412209413,45.6631795915352,"-589376,17+216387,20",,,,,F,1,70,A,2BE,20.0,F,85.0,25,70,"{'PE': 0.5, 'ER': 0.3, 'FT': 0.1, 'PB': 0.1}",0.00106155328531289,4,1.1682824501765625,[4.445833],[10.975],[25.057077],[1166.544],[25.7],[-18.1],[43.800003],[17.216667],[-9.55],[18.066668],[-10.65],[979.],[95.],[60.],[14.553311],[278.],[196.],[276.],[205.]
3385008140,2021-10-03T10:50:15,2021.0,Québec,Suillus granulatus,https://www.inaturalist.org/observations/97043944,POINT (-75.848156 45.770718),31G,-75.8463583222344,45.7703702810872,"-570689,12+226551,89",,,,,M,1,VIN,B,1AY,30.0,MF,85.0,26,VIN,"{'BJ': 0.3, 'ES': 0.2, 'EO': 0.1, 'PU': 0.4}",0.0018309980314796814,4,1.2798542258336676,[3.8583333],[10.8],[24.827585],[1160.8907],[24.8],[-18.7],[43.5],[12.6],[-10.133333],[17.333334],[-11.166667],[1076.],[106.],[69.],[13.592549],[304.],[217.],[302.],[228.]
3333386906,2021-07-24T19:21,2021.0,Québec,Suillus granulatus,https://www.inaturalist.org/observations/88470482,POINT (-74.193375 45.387592),31G,-74.1923258126814,45.388200865975,"-445977,66+172501,81",,,,,M,3,JIR,A,5S,30.0,MR,65.0,13,50,"{'PB': 0.7, 'EO': 0.3}",0.0012130588629689625,2,0.6108643020548935,[5.5833335],[9.716667],[23.47021],[1139.6079],[25.7],[-15.7],[41.4],[18.933334],[-8.133333],[18.933334],[-9.083333],[1039.],[102.],[63.],[15.605557],[297.],[202.],[297.],[218.]
2423612123,1988-07-15,1988.0,Québec,Suillus granulatus,CMMF018764,POINT (-74.005679 45.988108),31G,-74.0064602892429,45.9871286266794,"-426097,89+237816,10",,,,,F,2,VIN,D,1AY,30.0,F,75.0,20,VIN,"{'BP': 0.4, 'EO': 0.2, 'ES': 0.2, 'PE': 0.1, 'SB': 0.1}",0.001252830787520495,5,1.4708084763221112,[3.6958332],[10.358334],[24.25839],[1151.8077],[24.2],[-18.5],[42.7],[17.233334],[-10.05],[17.233334],[-11.1],[1184.],[118.],[73.],[13.1053095],[326.],[242.],[326.],[264.]
2283231637,2019-07-08T17:15:33,2019.0,Québec,Suillus granulatus,https://www.inaturalist.org/observations/28460654,POINT (-75.909255 45.631919),31G,-75.9089775407136,45.63284348136,"-577129,84+211804,53",,,CP,,M,2,VIR,C,1AY,30.0,MR,45.0,20,VIN,"{'PB': 0.4, 'PU': 0.1, 'RX': 0.1, 'ER': 0.2, 'FI': 0.1, 'FT': 0.1}",0.000965219892352182,6,1.6094379124341003,[4.8708334],[10.775],[24.884527],[1156.9247],[25.9],[-17.4],[43.3],[13.55],[-9.033333],[18.383333],[-10.066667],[989.],[97.],[61.],[16.03038],[285.],[190.],[276.],[206.]
1135068706,2005-09-09,2005.0,Québec,Suillus granulatus,CMMF007204,POINT (-74.2185 45.683917),31G,-74.2184894361057,45.6817433787633,"-445317,70+205176,03",,,,,F,2,JIN,A,3AN,50.0,F,85.0,18,JIN,"{'EO': 0.3, 'ES': 0.2, 'BJ': 0.1, 'BP': 0.1, 'EA': 0.1, 'FT': 0.1, 'PB': 0.1}",0.0021736469070429546,7,1.8343719702816235,[4.975],[10.266666],[24.27108],[1145.9583],[25.5],[-16.8],[42.3],[7.4333334],[-3.4666667],[18.416666],[-9.833333],[1089.],[109.],[66.],[15.146086],[306.],[216.],[305.],[238.]
1135068251,1984-09-01,1984.0,Québec,Suillus granulatus,CMMF006862,POINT (-74.241983 45.66275),31G,-74.2394629589227,45.6643448234511,"-447111,50+203370,25",P,,,,R,3,JIR,A,5S,30.0,R,65.0,16,JIN,"{'PS': 0.5, 'PG': 0.3, 'RX': 0.1, 'FX': 0.1}",0.0029822925529661786,4,1.1682824501765625,[5.2166667],[10.400001],[24.413145],[1154.8088],[25.9],[-16.7],[42.6],[18.75],[-3.2333333],[18.75],[-9.733334],[1069.],[107.],[63.],[16.256067],[302.],[207.],[302.],[230.]
1135068100,2004-10-30,2004.0,Québec,Suillus granulatus,CMMF006627,POINT (-74.040417 45.469917),31G,-74.0395324526988,45.472175439705,"-433214,71+180828,39",,,,,M,1,90,A,6S,30.0,MF,95.0,28,90,"{'EO': 0.5, 'CR': 0.2, 'PB': 0.3}",0.002425484246326981,3,1.0296530140645737,[5.9083333],[9.466666],[23.089432],[1127.5574],[25.8],[-15.2],[41.],[19.166666],[-7.5666666],[19.166666],[-8.566667],[996.],[95.],[60.],[14.312745],[279.],[198.],[279.],[217.]
