gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4994407425	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/89695880	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.19732	-73.502838	20.0						2021-08-02T12:20:33	2	8	2021	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	89695880		Katia Burelle	2022-07-19T13:59:06	CC_BY_NC_4_0	benedicte-aimee	benedicte-aimee			2025-01-14T13:11:21.676Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4994128932	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/55325505	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.770921	-73.633304	3713.0						2020-08-03T21:46:55Z	3	8	2020	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	55325505		cinna_latifolia	2022-12-06T18:05:03	CC_BY_NC_4_0	myri04	myri04			2025-01-14T13:08:57.805Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946525650	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240228302	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.872811	-76.4339	501.0						2024-08-29T11:12	29	8	2024	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	240228302		L Joan Heyding	2024-09-06T23:41:28	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:54:07.849Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946117124	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241181711	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.952768	-66.670539	40.0						2024-09-11T10:07:49	11	9	2024	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	241181711		flightmom	2024-09-11T21:42:41	CC_BY_NC_4_0	flightmom	flightmom			2025-01-14T12:53:10.192Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945714978	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/240671575	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.613748	-76.087615	650.0						2024-09-08T13:04	8	9	2024	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	240671575		Loopy30	2024-09-09T00:51:13	CC_BY_4_0	Loopy30	Loopy30			2025-01-14T13:37:20.928Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4936260726	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/238503805	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.957675	-66.663217							2024-08-28T20:07:31	28	8	2024	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	238503805		Sean Rhindress	2024-08-28T23:13:01	CC_BY_NC_4_0	Sean Rhindress	Sean Rhindress			2025-01-14T12:52:21.704Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4919359277	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/232568225	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.863866	-72.254011	3364.0						2024-07-27T11:49:17	27	7	2024	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	232568225		egrenier	2024-07-29T20:45:54	CC_BY_NC_4_0	egrenier	egrenier			2025-01-14T12:48:37.646Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908192347	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/229889033	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.621297	-77.38778	5.0						2024-07-16T14:12:11	16	7	2024	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	229889033		Lynn Ovenden	2024-07-17T13:08:50	CC_BY_NC_4_0	Lynn Ovenden	Lynn Ovenden			2025-01-14T13:37:22.815Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4903817841	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/225560558	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.997592	-74.139755	4.0						2024-06-26T18:32:22	26	6	2024	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	225560558		gr3yhound	2024-06-27T18:15:12	CC_BY_NC_4_0	gr3yhound	gr3yhound			2025-01-14T12:55:42.398Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4852709056	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/212273300	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Sutorius	Sutorius eximius		SPECIES	Sutorius eximius (Peck) Halling, Nuhn & Osmundson	Sutorius eximius		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.395686	-73.397541	1776.0						2021-07-17T10:14	17	7	2021	7358611	7358611	HUMAN_OBSERVATION	iNaturalist	Observations	212273300		Isabelle Pouliot	2024-04-30T15:16:46	CC_BY_NC_4_0	Isabelle Pouliot	Isabelle Pouliot			2025-01-14T13:40:38.273Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
