gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617548696	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001516	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris (Fr.) Murrill	(Fr.) Murrill	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						1991-09-20	20	9	1991	2526823	2526823	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001516		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.634Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4994382906	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244373562	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.872811	-76.4339	501.0						2024-09-24T13:05	24	9	2024	2526823	2526823	HUMAN_OBSERVATION	iNaturalist	Observations	244373562		L Joan Heyding	2024-09-27T20:22:43	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T13:37:53.782Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4993814945	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/251962533	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.905863	-64.370025	6.0						2024-11-16T13:18:52	16	11	2024	2526823	2526823	HUMAN_OBSERVATION	iNaturalist	Observations	251962533		Laura O'Connor	2024-11-17T02:01:27	CC_BY_NC_4_0	Laura O'Connor	Laura O'Connor			2025-01-14T12:58:31.678Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4987727339	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/252375859	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.461743	-75.790218	27158.0						2024-10-31T09:38	31	10	2024	2526823	2526823	HUMAN_OBSERVATION	iNaturalist	Observations	252375859		L Joan Heyding	2024-11-20T10:33:01	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:54:04.834Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4980553351	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/251351233	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.114768	-76.349936	16.0						2024-11-11T13:15:19	11	11	2024	2526823	2526823	HUMAN_OBSERVATION	iNaturalist	Observations	251351233		Igor Khomenko	2024-11-11T19:52:17	CC_BY_NC_4_0	Igor Khomenko	Igor Khomenko			2025-01-14T13:44:52.391Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4980268788	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/250702851	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.266504	-75.8119	184.0						2024-11-06T11:23	6	11	2024	2526823	2526823	HUMAN_OBSERVATION	iNaturalist	Observations	250702851		L Joan Heyding	2024-11-06T18:23:49	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:55:10.954Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4978432589	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/250370529	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.324347	-75.812219	193.0						2024-11-03T11:54	3	11	2024	2526823	2526823	HUMAN_OBSERVATION	iNaturalist	Observations	250370529		L Joan Heyding	2024-11-04T00:08:13	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T13:44:03Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952987130	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244367843	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.872811	-76.4339	501.0						2024-09-24T11:07	24	9	2024	2526823	2526823	HUMAN_OBSERVATION	iNaturalist	Observations	244367843		L Joan Heyding	2024-09-27T19:47:48	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T13:48:19.422Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952405260	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/245052162	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.872811	-76.4339	501.0						2024-09-29T14:47	29	9	2024	2526823	2526823	HUMAN_OBSERVATION	iNaturalist	Observations	245052162		L Joan Heyding	2024-10-01T11:18:26	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T12:54:30.657Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952327178	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/244228020	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Tectella	Tectella patellaris		SPECIES	Tectella patellaris (Fr.) Murrill	Tectella patellaris		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.872811	-76.4339	501.0						2024-09-26T13:24	26	9	2024	2526823	2526823	HUMAN_OBSERVATION	iNaturalist	Observations	244228020		L Joan Heyding	2024-09-27T00:39:48	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T13:43:37.906Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
