gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4901940161,2022-09-18T17:28,2022.0,Québec,Trametes hirsuta,https://www.inaturalist.org/observations/135601452,POINT (-71.301957 46.836458),21L,-71.3035286120169,46.836045867798,"-213476,84+319760,26",,,CP,,F,2,VIR,A,5A,40,F,75.0,20,VIN,"{'PE': 0.4, 'FN': 0.2, 'FT': 0.2, 'FH': 0.1, 'EB': 0.1}",0.0016247514528692484,5,1.4708084763221112,[4.9875],[10.508333],[23.882576],[1193.2217],[26.9],[-17.1],[44.],[17.966667],[-9.016666],[19.3],[-10.3],[1261.],[132.],[71.],[17.098019],[378.],[248.],[370.],[257.]
4506470341,2023-10-02,2023.0,Québec,Trametes hirsuta,https://www.inaturalist.org/observations/193482172,POINT (-71.232979 46.911388),21L,-71.2329690657498,46.9118189885219,"-207678,18+327864,00",,,CP,,F,2,VIR,C,1A,30,F,75.0,19,VIN,"{'ES': 0.4, 'HG': 0.3, 'EO': 0.2, 'BJ': 0.1}",0.0004311029985229691,4,1.2798542258336674,[3.7583334],[10.283334],[23.859241],[1167.8492],[24.9],[-18.2],[43.1],[16.533333],[-4.7833333],[17.683332],[-11.233334],[1353.],[139.],[83.],[14.542984],[393.],[273.],[389.],[295.]
3994131011,2022-09-02,2022.0,Québec,Trametes hirsuta,https://www.inaturalist.org/observations/144087939,POINT (-71.296625 46.839815),21L,-71.2973458475297,46.8393653998052,"-212897,74+320192,17",,,,,F,2,VIR,B,5A,30,F,65.0,18,VIN,"{'PE': 0.3, 'EO': 0.2, 'FT': 0.2, 'FH': 0.1, 'EB': 0.1, 'SB': 0.1}",0.0008495654749493507,6,1.6957425341696346,[5.0625],[10.525001],[23.920454],[1194.7938],[27.],[-17.],[44.],[18.066668],[-8.966666],[19.4],[-10.25],[1258.],[132.],[70.],[17.514912],[379.],[247.],[370.],[254.]
1412707988,1975-10-10,1975.0,Québec,Trametes hirsuta,CMMF016381,POINT (-70.617675 46.478143),21L,-70.6186826313809,46.4825055237217,"-162510,76+278767,55",,,,,M,3,JIR,C,1A,30,MR,65.0,16,50,"{'EB': 0.4, 'SB': 0.3, 'BP': 0.2, 'EO': 0.1}",0.00447738028562847,4,1.2798542258336674,[3.1791668],[10.325],[24.583334],[1128.7432],[23.5],[-18.5],[42.],[16.45],[-10.15],[16.45],[-11.416667],[1136.],[129.],[59.],[22.175573],[362.],[207.],[362.],[222.]
1412707907,1990-09,1990.0,Québec,Trametes hirsuta,CMMF016385,POINT (-70.54785 46.985131),21L,-70.5434571110219,46.9805084493905,"-155169,26+333842,39",,,,,F,3,30,A,5A,50,F,45.0,12,30,"{'EO': 0.3, 'BP': 0.2, 'PE': 0.2, 'FN': 0.1, 'FT': 0.1, 'RX': 0.1}",0.006376946582131959,6,1.6957425341696346,[4.4708333],[9.641666],[23.232933],[1128.3848],[24.9],[-16.6],[41.5],[17.9],[-9.05],[17.9],[-9.933333],[1091.],[118.],[58.],[22.322502],[340.],[197.],[340.],[209.]
1412707906,1986-08-12,1986.0,Québec,Trametes hirsuta,CMMF016383,POINT (-70.556636 46.980077),21L,-70.5577072039646,46.9865378015301,"-156126,60+334544,84",,,,,F,3,30,A,5A,40,F,35.0,13,30,"{'EO': 0.3, 'FN': 0.3, 'BJ': 0.2, 'FH': 0.1, 'FX': 0.1}",0.006549002545813148,5,1.5047882836811908,[4.4375],[9.708334],[23.33734],[1130.3301],[24.9],[-16.7],[41.6],[17.866667],[-9.1],[17.866667],[-10.],[1107.],[120.],[59.],[21.44833],[345.],[204.],[345.],[210.]
1412707905,1986-02,1986.0,Québec,Trametes hirsuta,CMMF016384,POINT (-71.384379 46.867482),21L,-71.384462313701,46.8655999952224,"-219469,87+323359,86",,,,,M,2,JIR,A,7T,50,MR,65.0,21,70,"{'ML': 0.5, 'SB': 0.2, 'EO': 0.2, 'BG': 0.1}",0.001883847965125064,4,1.2206072645530173,[4.1083336],[10.233334],[23.688272],[1171.8009],[25.4],[-17.8],[43.199997],[16.9],[-4.4666667],[18.083334],[-10.933333],[1295.],[136.],[76.],[17.24997],[388.],[248.],[378.],[279.]
1412707858,1987-09,1987.0,Québec,Trametes hirsuta,CMMF016386,POINT (-70.556636 46.980077),21L,-70.5577072039646,46.9865378015301,"-156126,60+334544,84",,,,,F,3,30,A,5A,40,F,35.0,13,30,"{'EO': 0.3, 'FN': 0.3, 'BJ': 0.2, 'FH': 0.1, 'FX': 0.1}",0.006549002545813148,5,1.5047882836811908,[4.4375],[9.708334],[23.33734],[1130.3301],[24.9],[-16.7],[41.6],[17.866667],[-9.1],[17.866667],[-10.],[1107.],[120.],[59.],[21.44833],[345.],[204.],[345.],[210.]
1412707841,1973-12-07,1973.0,Québec,Trametes hirsuta,CMMF016382,POINT (-71.274964 46.781692),21L,-71.2722958302962,46.7796049000976,"-211343,83+313444,00",,,,,F,2,VIR,A,1A,30,F,85.0,19,VIN,"{'ES': 0.7, 'FT': 0.2, 'EO': 0.1}",0.003387493995690502,3,0.8018185525433372,[5.070833],[10.391666],[23.56387],[1201.81],[27.2],[-16.9],[44.1],[18.183334],[-8.983334],[19.6],[-10.216666],[1260.],[133.],[71.],[16.673409],[377.],[254.],[372.],[260.]
1135069935,2006-04-15,2006.0,Québec,Trametes hirsuta,CMMF008477,POINT (-71.212003 46.837333),21L,-71.2126049197629,46.8369559017375,"-206417,49+319699,68",,,,,F,1,JIN,A,5A,30,F,65.0,25,JIN,"{'PE': 0.5, 'FH': 0.2, 'FO': 0.2, 'EA': 0.1}",0.000710289026068578,4,1.2206072645530173,[5.4],[10.583334],[23.836336],[1204.9575],[27.7],[-16.7],[44.4],[18.516666],[-8.7],[19.966667],[-9.95],[1244.],[133.],[68.],[18.750265],[376.],[236.],[371.],[245.]
