gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617553561	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003659	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens (Schumach.) Pil	(Schumach.) Pil	CA	Rawdon	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	46.052398	-73.748752	11000.0						2002-08-05	5	8	2002	7621208	7621208	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003659		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:16.400Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551220	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002611	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens (Schumach.) Pil	(Schumach.) Pil	CA	Saint-Majorique	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.931221	-72.584529	5000.0						1995-09-20	20	9	1995	7621208	7621208	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002611		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:20.305Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617550549	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002327	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens (Schumach.) Pil	(Schumach.) Pil	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1994-10-08	8	10	1994	7621208	7621208	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002327		Audet, Serge		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:19.445Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
5008232661	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/241186563	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.65531	-75.675163	4.0						2024-09-11T18:11:27	11	9	2024	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	241186563		Anthony Gaston	2024-09-11T22:12:17	CC_BY_NC_4_0	Anthony Gaston	Anthony Gaston			2025-01-14T12:54:13.760Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4978221730	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/250196349	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.684532	-64.193805	8.0						2024-11-02T10:54:28	2	11	2024	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	250196349		zova	2024-11-02T21:10:13	CC_BY_NC_4_0	zova	zova			2025-01-14T12:55:46.513Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4950421215	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/243094951	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.652428	-75.672446	2088.0						2024-09-21T10:42:19	21	9	2024	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	243094951		thrinley	2024-09-21T14:42:52	CC_BY_NC_4_0	thrinley	thrinley			2025-01-14T12:51:57.489Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4893006588	eeaf050f-23d0-4557-9084-ec545cd3d9a7	215435b0-7e1b-4b82-a82a-a1f606c215bb	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens	(Schumach.) Pilát	CA	Ottawa	Ontario	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	45.423949	-75.695445											7621208	7621208	PRESERVED_SPECIMEN	DPI	DAR	DAR00054024a				CC_BY_4_0					2025-01-02T23:50:24.111Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE
4892779617	eeaf050f-23d0-4557-9084-ec545cd3d9a7	015b4104-8b54-4647-934a-19d1d00c41e9	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens	(Schumach.) Pilát	CA	Ottawa	Ontario	PRESENT		325c883e-46a7-4be3-9d77-7dde654fd1d3	45.423949	-75.695445											7621208	7621208	PRESERVED_SPECIMEN	DPI	DAR	DAR00062463a				CC_BY_4_0					2025-01-02T23:50:22.574Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED;INSTITUTION_MATCH_NONE
4872122107	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/138245548	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.354828	-72.263553	8.0						2022-10-10T08:14:19	10	10	2022	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	138245548		Ariel Bonkoski	2024-05-24T02:52:01	CC_BY_NC_4_0	trejdil	trejdil			2025-01-14T12:32:18.534Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4506437401	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/193985792	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		New Brunswick	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.61837	-65.823805	24.0						2023-12-14T16:06:48	14	12	2023	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	193985792		clara_bri	2023-12-15T00:33:30	CC_BY_NC_4_0	clara_bri	clara_bri			2025-01-14T12:43:44.651Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4500585842	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/194165470	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		Prince Edward Island	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.768786	-64.235368	9.0						2023-12-16T11:57:33	16	12	2023	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	194165470		zova	2023-12-17T04:53:30	CC_BY_NC_4_0	zova	zova			2025-01-14T13:36:00.248Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4465465457	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/192678047	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.402989	-75.586773	183.0						2023-11-30T14:29	30	11	2023	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	192678047		L Joan Heyding	2023-11-30T23:39:34	CC_BY_NC_4_0	L Joan Heyding	L Joan Heyding			2025-01-14T13:32:43.441Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4424316507	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/186351357	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.513938	-75.441328							2023-10-05T16:38:07	5	10	2023	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	186351357		Jean Sorensen	2023-10-06T00:37:04	CC_BY_4_0	Jean Sorensen	Jean Sorensen			2025-01-14T14:12:05.277Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4129855398	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/151165708	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.828245	-77.27887	4.0						2022-09-12T19:08:13	12	9	2022	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	151165708		cinna_latifolia	2023-03-15T04:05:13	CC_BY_NC_4_0	iamsamantha	iamsamantha			2025-01-14T12:34:35.652Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4121208505	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/160114573	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Trametes pubescens (Schumach.) Pilát	Trametes pubescens		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	47.468279	-70.373472	90.0						2023-05-06T10:34:33	6	5	2023	7621208	7621208	HUMAN_OBSERVATION	iNaturalist	Observations	160114573		v-vincent	2023-05-06T17:30:58	CC_BY_NC_4_0	v-vincent	v-vincent			2025-01-14T13:25:36.685Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4100038043	d1a3b128-b406-46bb-a6d1-f3591dcc8a7b	d8903303-1827-4c84-a51d-763b02bc06e7	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Polyporaceae	Trametes	Trametes pubescens		SPECIES	Polyporus pubescens (Schumach.) Fr.	Polyporus pubescens	(Schumach.) Fr.	CA	O'dell Forest, Fredericton	New Brunswick	PRESENT		e43cf4b8-849e-4fac-b075-e652d019d2cf	45.952771	-66.670384	1093.0						1946-09-29	29	9	1946	5247637	7621208	PRESERVED_SPECIMEN	BPI		BPI 218240		Eno H. G.		CC0_1_0		Hansbrough J. R.			2025-01-15T04:59:23.378Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;INSTITUTION_MATCH_FUZZY
