gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
617555092,1989-08-23,1989,Québec,Turbinellus floccosus,CMMF000653,POINT (-71.672847 45.105574),21E,-71.6756081066638,45.1075067963072,"-250319,30+129022,60",P,,,,R,4,10,C,1A,30.0,R,85.0,8,10,{'RZ': 1.0},0.0033703726164918592,1,-0.0,[4.125],[10.75],[26.54321],[1073.572],[23.8],[-16.7],[40.5],[16.85],[-8.5],[16.85],[-9.650001],[1171.],[132.],[68.],[19.422709],[369.],[225.],[369.],[243.]
4936721519,2024-08-17T16:23:04,2024,Québec,Turbinellus floccosus,https://www.inaturalist.org/observations/237390286,POINT (-71.260715 45.407327),21E,-71.2586537621171,45.4085923806453,"-216177,69+161149,38",P,,,,R,2,30,C,1A,40.0,R,85.0,18,30,{'EB': 1.0},0.002418654540730585,1,-0.0,[3.675],[10.616667],[26.149426],[1082.6178],[23.3],[-17.3],[40.6],[16.483334],[-4.2166667],[16.483334],[-10.266666],[1255.],[137.],[79.],[15.50742],[372.],[254.],[372.],[278.]
4926163243,2024-08-15T18:32:47,2024,Québec,Turbinellus floccosus,https://www.inaturalist.org/observations/236012885,POINT (-71.911195 45.376397),21E,-71.9115915306234,45.3771797537733,"-267472,19+159862,43",,,,,F,2,50,C,1AY,30.0,F,85.0,18,50,"{'EO': 0.5, 'PE': 0.2, 'BG': 0.1, 'ES': 0.1, 'FT': 0.1}",0.0008774622526942436,5,1.3592367006650063,[5.3375],[10.591667],[25.645683],[1108.683],[25.4],[-15.9],[41.3],[18.433332],[-7.7666664],[18.433332],[-8.95],[1090.],[130.],[54.],[25.59598],[360.],[183.],[360.],[200.]
4921826677,2024-07-29T16:40:10,2024,Québec,Turbinellus floccosus,https://www.inaturalist.org/observations/232972393,POINT (-70.856464 45.280661),21E,-70.8571099979236,45.2810413528476,"-185138,11+145883,09",,,,,R,3,50,C,1A,30.0,R,85.0,14,50,"{'SB': 0.7, 'EU': 0.2, 'EB': 0.1}",0.0007496543243194147,3,0.8018185525433372,[1.9791666],[10.391666],[26.044277],[1058.7482],[21.3],[-18.6],[39.9],[14.650001],[-5.9666667],[14.650001],[-11.483334],[1401.],[142.],[93.],[13.832605],[407.],[287.],[407.],[318.]
4919311210,2024-07-21T14:50:39,2024,Québec,Turbinellus floccosus,https://www.inaturalist.org/observations/231297511,POINT (-70.897042 45.318478),21E,-70.8982771966516,45.3170400143476,"-188288,39+149948,44",,,,,M,3,50,B,3AN,40.0,MF,75.0,16,50,"{'BJ': 0.2, 'EO': 0.2, 'BP': 0.1, 'PE': 0.1, 'SB': 0.3, 'EU': 0.1}",0.001895656483821004,6,1.6957425341696346,[3.0708332],[10.975],[26.965601],[1071.4592],[22.7],[-18.],[40.7],[15.783333],[-4.8],[15.783333],[-10.65],[1239.],[128.],[78.],[15.095624],[371.],[249.],[371.],[274.]
4535610587,2022-07-27T18:01:18,2022,Québec,Turbinellus floccosus,https://www.inaturalist.org/observations/128225581,POINT (-70.740524 45.638191),21E,-70.7394041753231,45.6359164531373,"-174708,22+185006,50",,,,,F,3,50,A,1A,40.0,F,75.0,16,50,"{'PE': 0.8, 'BP': 0.1, 'SB': 0.1}",0.002535265417583873,3,0.639031859650177,[3.1875],[10.925],[26.581509],[1088.8403],[23.],[-18.1],[41.1],[16.066668],[-4.916667],[16.066668],[-10.8],[1170.],[126.],[74.],[16.549383],[359.],[234.],[359.],[252.]
4528158229,2023-08-11T18:08,2023,Québec,Turbinellus floccosus,https://www.inaturalist.org/observations/195230994,POINT (-71.870533 45.349243),21E,-71.8708936629072,45.3487021175589,"-264437,21+156549,02",,,,,M,1,VIN,D,1AY,30.0,MR,75.0,23,VIN,"{'PU': 0.6, 'BJ': 0.2, 'EO': 0.1, 'FT': 0.1}",0.0006501011826860853,4,1.0888999753452235,[5.375],[10.85],[26.271187],[1096.4166],[25.4],[-15.9],[41.3],[18.3],[-7.583333],[18.3],[-8.783333],[1034.],[122.],[52.],[24.657913],[339.],[174.],[339.],[195.]
4524898789,2021-09-19T17:12:48,2021,Québec,Turbinellus floccosus,https://www.inaturalist.org/observations/95586822,POINT (-71.943001 45.673065),21E,-71.9429746893416,45.6716996174118,"-268358,20+192710,69",,,,,F,2,JIN,B,1AY,30.0,F,85.0,19,JIN,"{'ES': 0.5, 'FT': 0.2, 'BJ': 0.1, 'FR': 0.1, 'HG': 0.1}",0.0013656360653253926,5,1.3592367006650063,[4.4125],[10.341666],[25.101133],[1114.0754],[24.3],[-16.9],[41.199997],[17.5],[-8.95],[17.5],[-9.933333],[1176.],[132.],[64.],[21.22742],[374.],[216.],[374.],[237.]
4400424687,2023-08-16T09:33:34,2023,Québec,Turbinellus floccosus,https://www.inaturalist.org/observations/179173814,POINT (-71.171653 45.841614),21E,-71.1724366857244,45.8419852188117,"-207727,10+209138,60",,,,,M,3,JIN,C,1A,30.0,MR,85.0,16,JIN,"{'SB': 0.5, 'RX': 0.1, 'EO': 0.2, 'BP': 0.1, 'PE': 0.1}",0.0008671601471406558,5,1.3592367006650063,[4.0166664],[10.066667],[24.733824],[1100.8062],[23.7],[-17.],[40.7],[17.066668],[-4.15],[17.066668],[-10.133333],[1130.],[132.],[69.],[19.322834],[357.],[220.],[357.],[241.]
4400358061,2023-08-11T19:29:05,2023,Québec,Turbinellus floccosus,https://www.inaturalist.org/observations/179726541,POINT (-71.606208 45.644297),21E,-71.607516032972,45.6433498863437,"-242206,24+188458,65",,,,,F,2,JIN,D,1AY,30.0,F,85.0,20,JIN,"{'BJ': 0.3, 'EO': 0.3, 'FO': 0.1, 'FR': 0.1, 'PE': 0.1, 'SB': 0.1}",0.0016149224544254293,6,1.6434177197931796,[4.4375],[10.325],[25.2445],[1102.9941],[24.2],[-16.7],[40.9],[17.433334],[-8.633333],[17.433334],[-9.783334],[1185.],[131.],[69.],[17.385609],[363.],[234.],[363.],[250.]
