gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
617552250	21705170-d2b6-42de-8904-c3bca4b83591	CMMF003072	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina (Schaeff.) Singer	(Schaeff.) Singer	CA	Rigaud	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.473408	-74.321286	9000.0						1997-08-21	21	8	1997	5241399	5241399	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF003072		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Dumont, Philippe			2024-01-24T16:38:16.664Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617551889	21705170-d2b6-42de-8904-c3bca4b83591	CMMF002906	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina (Schaeff.) Singer	(Schaeff.) Singer	CA	Montréal	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.509625	-73.662984	25000.0						1996-08-25	25	8	1996	5241399	5241399	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF002906		Nadon, Richard		CC0_1_0	Université de Montréal Biodiversity Centre	Nadon, Richard			2024-01-24T16:38:20.863Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548969	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001640	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina (Schaeff.) Singer	(Schaeff.) Singer	CA	Saint-Bruno-de-Montarville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.526599	-73.344507	5500.0						1992-07-08	8	7	1992	5241399	5241399	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001640		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.680Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548659	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001500	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina (Schaeff.) Singer	(Schaeff.) Singer	CA	Saint-Bruno-de-Montarville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.526599	-73.344507	5500.0						1991-09-16	16	9	1991	5241399	5241399	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001500		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.626Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
617548383	21705170-d2b6-42de-8904-c3bca4b83591	CMMF001378	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina (Schaeff.) Singer	(Schaeff.) Singer	CA	Saint-Bruno-de-Montarville	Québec	PRESENT		ff7bd5db-b724-4932-b496-10ea298851f9	45.526599	-73.344507	5500.0						1991-08-14	14	8	1991	5241399	5241399	PRESERVED_SPECIMEN	Université de Montréal Biodiversity Centre	CMMF	CMMF001378		Lamoureux, Yves		CC0_1_0	Université de Montréal Biodiversity Centre	Lamoureux, Yves			2024-01-24T16:38:17.535Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY;DIFFERENT_OWNER_INSTITUTION
4994225583	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/56115002	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.001436	-72.340946	27222.0						2020-08-10T12:09:51	10	8	2020	5241399	5241399	HUMAN_OBSERVATION	iNaturalist	Observations	56115002		wapiza	2020-08-20T04:06:08	CC_BY_NC_4_0	wapiza	wapiza			2025-01-14T12:14:11.208Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4976474248	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/249322240	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.501566	-73.593218	180.0						2024-08-07T10:51	7	8	2024	5241399	5241399	HUMAN_OBSERVATION	iNaturalist	Observations	249322240		mlfabiani	2024-10-27T13:42:31	CC_BY_NC_4_0	mlfabiani	mlfabiani			2025-01-14T13:43:37.009Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4954437338	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/246029698	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina		CA		Ontario	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.139811	-76.371313							2024-10-06T16:15:30	6	10	2024	5241399	5241399	HUMAN_OBSERVATION	iNaturalist	Observations	246029698		Alexis Williams	2024-10-12T21:02:34	CC_BY_4_0	Alexis Williams	Alexis Williams			2025-01-14T12:55:14.277Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4946330486	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/183495551	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.390875	-73.765503	4.0						2023-09-16T09:21:53	16	9	2023	5241399	5241399	HUMAN_OBSERVATION	iNaturalist	Observations	183495551		terence zahner	2023-09-16T13:22:11	CC_BY_NC_4_0	terence zahner	terence zahner			2025-01-14T13:32:23.429Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4945979853	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/184326663	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.390525	-73.759162	473.0						2023-09-16T09:21	16	9	2023	5241399	5241399	HUMAN_OBSERVATION	iNaturalist	Observations	184326663		terence zahner	2023-09-21T22:51:26	CC_BY_NC_4_0	terence zahner	terence zahner			2025-01-14T12:42:50.904Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4935864017	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/237373879	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.631141	-73.811291	31.0						2024-08-03T06:57	3	8	2024	5241399	5241399	HUMAN_OBSERVATION	iNaturalist	Observations	237373879		ramenramen	2024-08-22T23:22:31	CC_BY_NC_4_0	ramenramen	ramenramen			2025-01-14T13:42:58.713Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4923799571	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/235443908	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Pluteaceae	Volvariella	Volvariella bombycina		SPECIES	Volvariella bombycina (Schaeff.) Singer	Volvariella bombycina		CA		Québec	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	45.4987	-73.600593	1144.0						2024-08-12T11:45:56	12	8	2024	5241399	5241399	HUMAN_OBSERVATION	iNaturalist	Observations	235443908		Morphie	2024-08-13T00:37:45	CC_BY_NC_4_0	gazel123	gazel123			2025-01-14T13:42:45.063Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
