gbifID,eventDate,year,stateProvince,species,occurrenceID,geometry,region_code,X,Y,geoc_maj,origine,an_origine,perturb,an_perturb,type_couv,cl_haut,cl_age,cl_pent,dep_sur,cl_drai,ty_couv_et,densite,hauteur,cl_age_et,tree_cover,dist,tree_diversity_index,tree_shannon_index,bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19
4921787020,2024-07-28T19:53:01,2024,Québec,Volvariella bombycina,https://www.inaturalist.org/observations/232962268,POINT (-71.244562 46.783295),21L,-71.2437286136426,46.7807370189129,"-209224,44+313515,96",,,,,M,2,VIN,B,5S,20.0,MF,65.0,21,VIN,"{'FT': 0.3, 'EO': 0.2, 'ES': 0.2, 'PI': 0.2, 'RX': 0.1}",0.002690315978219854,5,1.5571130980576458,[5.1125],[10.258333],[23.528288],[1188.9474],[26.9],[-16.7],[43.6],[18.15],[-8.833333],[19.466667],[-10.],[1225.],[130.],[69.],[17.861032],[369.],[237.],[363.],[253.]
4910961567,2024-07-17T21:42,2024,Québec,Volvariella bombycina,https://www.inaturalist.org/observations/230213366,POINT (-70.805278 47.079722),21M,-70.8064992317505,47.0806769511747,"-174615,71+345545,13",,,,,M,2,VIN,F,1AM,20.0,MF,75.0,20,VIN,"{'BP': 0.2, 'EO': 0.2, 'BJ': 0.1, 'ES': 0.1, 'PI': 0.2, 'PU': 0.2}",0.0015502705359002476,6,1.7480673485460896,[3.75],[9.716666],[23.47021],[1121.3284],[23.7],[-17.7],[41.4],[14.45],[-10.733334],[16.916666],[-10.733334],[1188.],[124.],[60.],[23.025677],[358.],[205.],[357.],[205.]
617552250,1997-08-21,1997,Québec,Volvariella bombycina,CMMF003072,POINT (-74.321286 45.473408),31G,-74.3206069267839,45.4734671562722,"-455231,02+182746,83",,,,,F,3,JIR,B,1A,30.0,F,35.0,16,50,"{'FR': 0.5, 'OR': 0.2, 'PE': 0.2, 'EA': 0.1}",0.0006816449936528185,4,1.2206072645530173,[5.525],[10.],[23.696682],[1155.0177],[26.],[-16.2],[42.2],[19.05],[-8.35],[19.05],[-9.383333],[1040.],[107.],[62.],[17.32894],[302.],[197.],[302.],[210.]
4911000302,2024-07-17T14:01,2024,Québec,Volvariella bombycina,https://www.inaturalist.org/observations/230660692,POINT (-74.071997 45.037455),31G,-74.0737259888278,45.0378784232336,"-439652,76+132845,09",,,,,F,1,JIN,B,1A,30.0,F,95.0,22,JIN,"{'ES': 0.4, 'FT': 0.2, 'TA': 0.2, 'EO': 0.1, 'PE': 0.1}",0.0017800813468584137,5,1.4708084763221112,[6.2291665],[10.091667],[24.734476],[1104.8909],[26.2],[-14.6],[40.800003],[19.25],[-6.916667],[19.25],[-8.05],[997.],[100.],[60.],[14.81494],[289.],[196.],[289.],[208.]
4908787701,2024-07-07T15:21:08,2024,Québec,Volvariella bombycina,https://www.inaturalist.org/observations/227887772,POINT (-75.780005 45.81017),31G,-75.7785471868772,45.810666205931,"-564990,64+230464,29",,,CP,,F,2,JIR,D,R1A,20.0,F,75.0,21,JIN,"{'ES': 0.6, 'HG': 0.3, 'FT': 0.1}",0.0015399478650140587,3,0.8979457248567797,[3.775],[10.766666],[24.750957],[1161.3815],[24.7],[-18.8],[43.5],[17.266666],[-10.2],[17.266666],[-11.233334],[1074.],[108.],[71.],[13.027432],[302.],[220.],[302.],[230.]
4904272844,2024-06-22T10:06:42,2024,Québec,Volvariella bombycina,https://www.inaturalist.org/observations/224510256,POINT (-75.725022 45.653722),31G,-75.7252475555921,45.6540847173167,"-562636,93+212741,64",,,CP,,M,1,VIR,C,1AY,31.0,MM,65.0,23,VIN,"{'SB': 0.3, 'RX': 0.1, 'TO': 0.1, 'BJ': 0.3, 'ES': 0.1, 'FT': 0.1}",0.0004271289933546826,6,1.6434177197931796,[4.5291667],[10.675],[24.82558],[1152.4213],[25.3],[-17.7],[43.],[13.1],[-9.283334],[17.95],[-10.383333],[1039.],[102.],[67.],[14.038394],[295.],[207.],[289.],[220.]
4413717071,2023-09-14T09:21:29,2023,Québec,Volvariella bombycina,https://www.inaturalist.org/observations/183208485,POINT (-74.33115 45.512389),31G,-74.3282256154362,45.5118381981668,"-455394,12+186960,81",,,,,F,1,VIN,A,5A,50.0,F,75.0,26,VIN,"{'EA': 0.5, 'EO': 0.2, 'BJ': 0.1, 'FH': 0.1, 'FT': 0.1}",0.0029758037126858643,5,1.3592367006650063,[5.7166667],[9.916667],[23.49921],[1153.0874],[26.1],[-16.1],[42.2],[19.216667],[-8.2],[19.216667],[-9.133333],[1006.],[105.],[57.],[18.832582],[296.],[186.],[296.],[200.]
4172161010,2023-08-06T12:21:37,2023,Québec,Volvariella bombycina,https://www.inaturalist.org/observations/176990210,POINT (-75.916986 45.540119),31G,-75.9160283570464,45.541507292885,"-578720,08+201785,84",,,,,F,2,VIN,D,1AY,30.0,F,85.0,21,VIN,"{'ES': 0.5, 'CR': 0.2, 'FI': 0.1, 'FT': 0.1, 'TA': 0.1}",0.0016865459261817656,5,1.3592367006650063,[4.4500003],[10.533334],[24.610592],[1148.2081],[25.2],[-17.6],[42.800003],[13.033333],[-9.333333],[17.883333],[-10.366667],[1036.],[100.],[65.],[13.239779],[291.],[210.],[288.],[219.]
4153810891,2023-07-09T14:51,2023,Québec,Volvariella bombycina,https://www.inaturalist.org/observations/172066806,POINT (-75.817012 45.421933),31G,-75.8182318319309,45.4228923507869,"-572459,08+187874,48",,,CP,,F,1,VIR,A,R5A,30.0,F,75.0,22,VIN,"{'FT': 0.3, 'HG': 0.3, 'EO': 0.1, 'ES': 0.1, 'FI': 0.1, 'FR': 0.1}",0.0015518839750316674,6,1.6434177197931796,[5.4541664],[10.225],[23.946135],[1157.7181],[26.2],[-16.5],[42.7],[19.033333],[-8.433333],[19.033333],[-9.5],[934.],[89.],[59.],[13.660367],[263.],[187.],[263.],[204.]
3902406895,2022-08-28T11:07,2022,Québec,Volvariella bombycina,https://www.inaturalist.org/observations/132725074,POINT (-75.623935 45.490119),31G,-75.625595713745,45.4900241756347,"-556701,48+193781,49",,,,,F,2,JIN,C,5S,20.0,F,95.0,19,JIN,"{'EO': 0.3, 'ES': 0.3, 'PE': 0.3, 'FT': 0.1}",0.0016634187094881079,4,1.313834033192747,[5.7625],[10.491667],[24.4561],[1158.0256],[26.6],[-16.3],[42.9],[19.3],[-8.116667],[19.3],[-9.216666],[937.],[91.],[55.],[16.12552],[268.],[177.],[268.],[197.]
